,what,did,this,agreement,do,?
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2490699142217636,0.30239659547805786,0.22068053483963013
wars,0.20595821738243103,0.18421407043933868,0.29649364948272705,0.13853241503238678,0.09913754463195801,0.1526605486869812
finally,0.33623361587524414,0.284234881401062,0.3798079490661621,0.3156229853630066,0.15690606832504272,0.16868984699249268
ended,0.1532270610332489,0.33372020721435547,0.28715285658836365,0.3264996111392975,0.147813081741333,0.15429291129112244
with,0.2464839518070221,0.25472134351730347,0.36358317732810974,0.29106786847114563,0.23744353652000427,0.2433311939239502
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2490699142217636,0.30239659547805786,0.22068053483963013
granting,0.27958476543426514,0.2569417655467987,0.3343402147293091,0.3318915367126465,0.27507153153419495,0.28405317664146423
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.21259461343288422,0.26150479912757874,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2490699142217636,0.30239659547805786,0.22068053483963013
edict,0.16707053780555725,0.16355286538600922,0.2323581576347351,0.21267612278461456,0.1640235036611557,0.16218337416648865
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.21259461343288422,0.26150479912757874,0.1826142966747284
nantes,0.13674625754356384,0.1464715451002121,0.197783425450325,0.2507052719593048,0.13891464471817017,0.15215469896793365
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.23435252904891968,0.3283645510673523,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.6719430088996887,0.24597544968128204,0.31153854727745056,0.25814583897590637
granted,0.2214755117893219,0.23486477136611938,0.26363563537597656,0.29172787070274353,0.19622337818145752,0.22870221734046936
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2490699142217636,0.30239659547805786,0.22068053483963013
huguenots,0.22128188610076904,0.2420482039451599,0.2504573166370392,0.2618511915206909,0.13369423151016235,0.16010338068008423
substantial,0.33448854088783264,0.3070415258407593,0.40757736563682556,0.2130703181028366,0.24602283537387848,0.25194647908210754
religious,0.26794421672821045,0.2198762446641922,0.2454339861869812,0.15945880115032196,0.21927370131015778,0.15727058053016663
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.23435252904891968,0.3283645510673523,0.31091248989105225
political,0.21846716105937958,0.21022029221057892,0.19633908569812775,0.24437938630580902,0.16049352288246155,0.17130474746227264
and,0.31309178471565247,0.34479495882987976,0.42353692650794983,0.22375741600990295,0.276123583316803,0.20544172823429108
military,0.18809624016284943,0.17979979515075684,0.23135559260845184,0.18663598597049713,0.16099663078784943,0.1890317052602768
autonomy,0.28485414385795593,0.20261988043785095,0.23653647303581238,0.31326332688331604,0.2687077522277832,0.16934052109718323
.,0.3567904531955719,0.35288307070732117,0.500583827495575,0.20123955607414246,0.3613996207714081,0.4130953550338745
