,some,of,the,museum,'s,collection,of,korean,boxes,are,inlaid,with,what,objects,?
korean,0.21114930510520935,0.21011142432689667,0.2349277287721634,0.15509897470474243,0.03674664720892906,0.1264958530664444,0.21011142432689667,0.9999999403953552,0.1292075216770172,0.1655937284231186,0.11338412016630173,0.1639363318681717,0.19944964349269867,0.12028270214796066,0.1996629685163498
displays,0.2421106994152069,0.25520673394203186,0.287814199924469,0.3570519685745239,0.011306019499897957,0.30880412459373474,0.25520673394203186,0.20498143136501312,0.26641005277633667,0.3009634017944336,0.25669050216674805,0.2301906794309616,0.16693075001239777,0.30864834785461426,0.13452474772930145
include,0.5271874070167542,0.37431180477142334,0.2951717972755432,0.13027560710906982,-0.07849370688199997,0.30674809217453003,0.37431180477142334,0.1134847104549408,0.13466638326644897,0.5140694975852966,0.215594083070755,0.3391835689544678,0.1535889357328415,0.21569319069385529,0.14925788342952728
green-glazed,0.2961428463459015,0.22119276225566864,0.23452509939670563,0.18490538001060486,0.04913510009646416,0.20423391461372375,0.22119276225566864,0.2325170487165451,0.20865784585475922,0.19957728683948517,0.38686737418174744,0.3083241879940033,0.2023938149213791,0.31579115986824036,0.17018817365169525
ceramics,0.24672915041446686,0.27865979075431824,0.2034795880317688,0.2583732008934021,-0.002895970130339265,0.2409246265888214,0.27865979075431824,0.11370522528886795,0.12840749323368073,0.2688659131526947,0.24815106391906738,0.20983408391475677,0.18511289358139038,0.37168630957603455,0.13330718874931335
",",0.42400437593460083,0.4946078956127167,0.4933079481124878,0.20741747319698334,-0.0016132977325469255,0.2277175933122635,0.4946078956127167,0.2067025601863861,0.2348627746105194,0.4062570035457611,0.2536576986312866,0.4120737314224243,0.3087472915649414,0.21213118731975555,0.31091248989105225
silk,0.19081522524356842,0.17141656577587128,0.274575799703598,0.2114931046962738,0.04109915345907211,0.19272556900978088,0.17141656577587128,0.09293020516633987,0.14417771995067596,0.15500913560390472,0.307857871055603,0.17330104112625122,0.1456179916858673,0.26220202445983887,0.04509759321808815
embroideries,0.3401373624801636,0.30383050441741943,0.2604254186153412,0.24313025176525116,0.012010057456791401,0.3399096727371216,0.30383050441741943,0.1981307864189148,0.2503202557563782,0.28402432799339294,0.360037237405777,0.2337142825126648,0.2308296263217926,0.399819940328598,0.241377592086792
from,0.35210713744163513,0.4249346852302551,0.40150508284568787,0.20791949331760406,-0.01936490088701248,0.2754948139190674,0.4249346852302551,0.20504029095172882,0.20653298497200012,0.2674213647842407,0.23986560106277466,0.26272761821746826,0.2737620174884796,0.22604778409004211,0.19969791173934937
officials,0.28288504481315613,0.2648431658744812,0.36026763916015625,0.15218716859817505,-0.013425166718661785,0.09845036268234253,0.2648431658744812,0.19579792022705078,0.12881430983543396,0.24995027482509613,0.2155834436416626,0.15415415167808533,0.23964433372020721,0.16894614696502686,0.1505519449710846
',0.24786527454853058,0.39136970043182373,0.474788099527359,0.1479852944612503,0.07651367038488388,0.2383844554424286,0.39136970043182373,0.14969603717327118,0.14303253591060638,0.24618251621723175,0.19907604157924652,0.2546919286251068,0.3245812654495239,0.15449732542037964,0.330942302942276
robes,0.29699277877807617,0.29761645197868347,0.3000815510749817,0.12627044320106506,-0.0012269027065485716,0.1118980199098587,0.29761645197868347,0.14326272904872894,0.12997300922870636,0.3236224055290222,0.38212382793426514,0.22778193652629852,0.23907414078712463,0.3403024673461914,0.12175974994897842
and,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.21554097533226013,0.06895173341035843,0.2379438579082489,0.5116966962814331,0.24578310549259186,0.22700197994709015,0.48576638102531433,0.28836145997047424,0.5477725267410278,0.31309178471565247,0.2794862985610962,0.20544172823429108
gleaming,0.27028602361679077,0.20389358699321747,0.2216285616159439,0.182239830493927,-0.03732268884778023,0.2500302493572235,0.20389358699321747,0.13041426241397858,0.1732049286365509,0.2936183214187622,0.3013729751110077,0.32740724086761475,0.2577606439590454,0.2703040540218353,0.17767928540706635
boxes,0.25970757007598877,0.16295993328094482,0.2145986557006836,0.17842942476272583,0.0695219412446022,0.1558477133512497,0.16295993328094482,0.1292075216770172,1.0,0.24052834510803223,0.16246521472930908,0.1597297191619873,0.22161251306533813,0.28202536702156067,0.21614888310432434
inlaid,0.26800480484962463,0.304464191198349,0.29471835494041443,0.18188463151454926,-0.025577586144208908,0.22128280997276306,0.304464191198349,0.11338412016630173,0.16246521472930908,0.18337921798229218,1.0,0.25818324089050293,0.15765802562236786,0.2769337296485901,0.17906951904296875
with,0.3924338221549988,0.41827285289764404,0.4223487675189972,0.08185859024524689,-0.04624466598033905,0.16466663777828217,0.41827285289764404,0.1639363318681717,0.1597297191619873,0.38996943831443787,0.25818324089050293,0.9999999403953552,0.2464839518070221,0.21321995556354523,0.2433311939239502
mother-of-pearl,0.3020716607570648,0.311397910118103,0.33566877245903015,0.24018603563308716,0.03463394567370415,0.22894889116287231,0.311397910118103,0.21401362121105194,0.12183643877506256,0.29774990677833557,0.34532034397125244,0.2692709267139435,0.2629571557044983,0.24316133558750153,0.23549039661884308
made,0.37775149941444397,0.33167365193367004,0.3885267674922943,0.16088193655014038,0.08483956009149551,0.20294539630413055,0.33167365193367004,0.1843177229166031,0.2168019860982895,0.2941095530986786,0.27398791909217834,0.3459964990615845,0.23419176042079926,0.18952734768390656,0.17218779027462006
between,0.29038727283477783,0.3737983703613281,0.39067012071609497,0.13704949617385864,0.006096371449530125,0.1194501668214798,0.3737983703613281,0.15984217822551727,0.15079165995121002,0.2766000032424927,0.21288610994815826,0.3829993009567261,0.2462156116962433,0.21784023940563202,0.12887074053287506
500,-0.09060092270374298,-0.027781937271356583,-0.031206801533699036,0.04034475237131119,-0.052812546491622925,-0.07094909250736237,-0.027781937271356583,-0.04801967367529869,-0.022526007145643234,0.006612141616642475,-0.0956006720662117,-0.03725007548928261,-0.08255331963300705,-0.11731798946857452,0.05473969131708145
ad,0.13185028731822968,0.1761893332004547,0.24233382940292358,0.09436111897230148,-0.026603031903505325,0.10016218572854996,0.1761893332004547,0.0999675765633583,0.061824046075344086,0.11269818991422653,0.14864523708820343,0.09293986856937408,0.27659884095191956,0.12365254759788513,0.20824462175369263
and,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.21554097533226013,0.06895173341035843,0.2379438579082489,0.5116966962814331,0.24578310549259186,0.22700197994709015,0.48576638102531433,0.28836145997047424,0.5477725267410278,0.31309178471565247,0.2794862985610962,0.20544172823429108
2000,-0.08386191725730896,0.010344067588448524,-0.015081177465617657,-0.08852885663509369,-0.01496386993676424,0.030236417427659035,0.010344067588448524,-0.07847876846790314,-0.05306123569607735,-0.1486365646123886,-0.031556908041238785,-0.09037184715270996,-0.10562582314014435,-0.15720689296722412,-0.0824366956949234
.,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.19497929513454437,-0.003708066651597619,0.2516246736049652,0.5352458953857422,0.2172761708498001,0.24753229320049286,0.3452940285205841,0.3114525377750397,0.4446153938770294,0.3567904531955719,0.23188386857509613,0.4130953550338745
