,what,is,the,name,of,the,mystical,type,of,islam,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.26543304324150085,0.20604541897773743,0.5696388483047485,0.16687287390232086,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.27035820484161377,0.21819381415843964,0.733189046382904,0.2207694798707962,0.22068053483963013
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.15184196829795837,0.30478984117507935,0.39758381247520447,0.20095336437225342,0.2277899980545044,0.30478984117507935,0.20096534490585327,0.27894994616508484
spiritual,0.2431802898645401,0.1757679283618927,0.2149372547864914,0.08161307871341705,0.3108343183994293,0.2149372547864914,0.5658050179481506,0.12133684009313583,0.3108343183994293,0.455787718296051,0.1801415979862213
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.19621294736862183,0.3792596757411957,0.4174870550632477,0.22097672522068024,0.38183850049972534,0.3792596757411957,0.19456106424331665,0.32389625906944275
mystical,0.32192039489746094,0.18828941881656647,0.27035820484161377,0.11016478389501572,0.34756287932395935,0.27035820484161377,1.0000001192092896,0.06968668103218079,0.34756287932395935,0.4017845094203949,0.19277913868427277
islamic,0.2204568088054657,0.17644661664962769,0.27231070399284363,0.05511707812547684,0.25656506419181824,0.27231070399284363,0.39441362023353577,0.13606184720993042,0.25656506419181824,0.727012574672699,0.1692383587360382
tradition,0.24046438932418823,0.2601749897003174,0.2632053792476654,0.19450701773166656,0.2663337290287018,0.2632053792476654,0.3945792019367218,0.13880857825279236,0.2663337290287018,0.35391801595687866,0.15717756748199463
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.34756287932395935,0.18112817406654358,1.0,0.21728332340717316,0.1826142966747284
sufism,0.28989893198013306,0.1597481667995453,0.15941430628299713,0.06756824254989624,0.23099255561828613,0.15941430628299713,0.47650936245918274,0.11016429960727692,0.23099255561828613,0.6612723469734192,0.17693515121936798
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.28666427731513977,0.1804078221321106,0.4946078956127167,0.23459285497665405,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.27035820484161377,0.21819381415843964,0.733189046382904,0.2207694798707962,0.22068053483963013
position,0.22031237185001373,0.19614431262016296,0.3183514177799225,0.1538318544626236,0.23636478185653687,0.3183514177799225,0.09182830154895782,0.0891055017709732,0.23636478185653687,0.183896005153656,0.15529610216617584
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.34756287932395935,0.18112817406654358,1.0,0.21728332340717316,0.1826142966747284
spiritual,0.2431802898645401,0.1757679283618927,0.2149372547864914,0.08161307871341705,0.3108343183994293,0.2149372547864914,0.5658050179481506,0.12133684009313583,0.3108343183994293,0.455787718296051,0.1801415979862213
