,what,success,did,abercrombie,gain,out,of,the,defeat,at,carillon,?
abercrombie,0.16113899648189545,0.11788304150104523,0.13679982721805573,1.0,0.10671629011631012,0.22045490145683289,0.27341529726982117,0.2878928482532501,0.17279596626758575,0.25669729709625244,0.23183970153331757,0.19258330762386322
saved,0.23043100535869598,0.28406479954719543,0.23556722700595856,0.20412039756774902,0.26758497953414917,0.2554769217967987,0.2543809711933136,0.25493040680885315,0.22730201482772827,0.22821016609668732,0.20973436534404755,0.17632731795310974
something,0.6258514523506165,0.22304369509220123,0.31644681096076965,0.15982303023338318,0.22983922064304352,0.31745752692222595,0.2189858853816986,0.32640767097473145,0.11591347306966782,0.1780950427055359,0.215050607919693,0.4761815667152405
from,0.2737620174884796,0.13261239230632782,0.20248863101005554,0.19679704308509827,0.18999575078487396,0.3196950852870941,0.4249346852302551,0.40150508284568787,0.1982019692659378,0.3447161316871643,0.16798809170722961,0.19969791173934937
the,0.42745697498321533,0.2764457166194916,0.34736719727516174,0.2878928482532501,0.2682225704193115,0.39404502511024475,0.733189046382904,1.0,0.3182816207408905,0.457212895154953,0.3277492821216583,0.22068053483963013
disaster,0.23969987034797668,0.26254701614379883,0.15834394097328186,0.18296632170677185,0.1717061698436737,0.17959493398666382,0.22182804346084595,0.2506481409072876,0.2632288634777069,0.2109834849834442,0.15172147750854492,0.18600745499134064
when,0.4700249433517456,0.2036270797252655,0.3228907287120819,0.22637268900871277,0.2245345413684845,0.45263928174972534,0.3757161796092987,0.5091903209686279,0.1783166080713272,0.38876327872276306,0.1872512847185135,0.22841128706932068
he,0.3114890456199646,0.28670060634613037,0.3292143940925598,0.2120870053768158,0.20770590007305145,0.29240235686302185,0.38706058263778687,0.4571082592010498,0.2922247350215912,0.3280475437641144,0.2747882008552551,0.2089974731206894
sent,0.19595611095428467,0.1377813071012497,0.3411059081554413,0.1463039666414261,0.15793520212173462,0.2307390719652176,0.28923630714416504,0.3010627329349518,0.2276809811592102,0.2616238594055176,0.11750876903533936,0.10903520882129669
john,0.18237407505512238,0.14795033633708954,0.18785913288593292,0.33575737476348877,0.1309805065393448,0.15860803425312042,0.2407056987285614,0.2230520099401474,0.20027592778205872,0.2018798142671585,0.26562121510505676,0.13162356615066528
