,how,fast,do,objects,fall,on,earth,?
today,0.2630672752857208,0.20716328918933868,0.3082462251186371,0.16347794234752655,0.15119895339012146,0.2263319492340088,0.20168204605579376,0.17338968813419342
",",0.22659391164779663,0.25842827558517456,0.3283645510673523,0.21213118731975555,0.31587862968444824,0.49057599902153015,0.23186853528022766,0.31091248989105225
this,0.45272302627563477,0.30103516578674316,0.34963881969451904,0.29637277126312256,0.22021538019180298,0.4193967580795288,0.2956106662750244,0.3155723512172699
acceleration,0.29385942220687866,0.41333627700805664,0.22551968693733215,0.3859882652759552,0.24261778593063354,0.19412635266780853,0.3610192835330963,0.16905567049980164
due,0.19407185912132263,0.1975998878479004,0.15443827211856842,0.187599316239357,0.17777031660079956,0.3553527891635895,0.16260184347629547,0.10954997688531876
to,0.44169697165489197,0.2541990578174591,0.38876664638519287,0.2695634961128235,0.1966593861579895,0.41031414270401,0.2486501932144165,0.29463258385658264
gravity,0.2978796660900116,0.3049490451812744,0.1640278398990631,0.4730571508407593,0.2547568380832672,0.18129420280456543,0.4948450028896332,0.18354056775569916
towards,0.25326651334762573,0.2575218975543976,0.17889739573001862,0.2306264340877533,0.13792088627815247,0.29651278257369995,0.23982219398021698,0.13023285567760468
the,0.33890387415885925,0.24604609608650208,0.30239659547805786,0.24716724455356598,0.3639753758907318,0.5107308030128479,0.2801888585090637,0.22068053483963013
surface,0.25213223695755005,0.23463115096092224,0.17361098527908325,0.4039299488067627,0.16694051027297974,0.2674844264984131,0.49709221720695496,0.14613434672355652
of,0.2480744868516922,0.15237081050872803,0.26150479912757874,0.23814009130001068,0.2854328155517578,0.3966929316520691,0.2329314798116684,0.1826142966747284
the,0.33890387415885925,0.24604609608650208,0.30239659547805786,0.24716724455356598,0.3639753758907318,0.5107308030128479,0.2801888585090637,0.22068053483963013
earth,0.2756480276584625,0.18805089592933655,0.19425350427627563,0.4236848056316376,0.20881740748882294,0.20645220577716827,1.0,0.17717236280441284
is,0.22544461488723755,0.2422240674495697,0.30895981192588806,0.23756065964698792,0.13360679149627686,0.3635730445384979,0.26888176798820496,0.22961433231830597
usually,0.36801108717918396,0.33210745453834534,0.3498661518096924,0.36303216218948364,0.17517107725143433,0.25784361362457275,0.20119227468967438,0.19435347616672516
designated,0.07020457088947296,0.05108015239238739,0.08689224720001221,0.18727904558181763,0.054761648178100586,0.2070607841014862,0.10236552357673645,0.1318070888519287
as,0.33782753348350525,0.2357690930366516,0.38329678773880005,0.2573409080505371,0.19012849032878876,0.36047765612602234,0.22570030391216278,0.27043893933296204
and,0.33647966384887695,0.3021989166736603,0.276123583316803,0.2794862985610962,0.25737735629081726,0.4077630043029785,0.27524080872535706,0.20544172823429108
has,0.26820555329322815,0.21027341485023499,0.22084827721118927,0.15752013027668,0.09333419054746628,0.34604379534721375,0.16817981004714966,0.15994466841220856
a,0.29312583804130554,0.2884432375431061,0.26237669587135315,0.24898670613765717,0.21384748816490173,0.3848365545272827,0.21121151745319366,0.23916715383529663
