,when,did,luther,broaden,his,attacks,to,include,core,church,doctrines,?
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.303326278924942,0.3598145842552185,0.223388671875,0.45010748505592346,0.28694382309913635,0.16659320890903473,0.2493300437927246,0.18019697070121765,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.3136174976825714,0.4394008219242096,0.2845265567302704,0.535392165184021,0.2951717972755432,0.21890558302402496,0.23846197128295898,0.2412298023700714,0.22068053483963013
summer,0.267126202583313,0.2209298312664032,0.06572836637496948,0.14543819427490234,0.1866539865732193,0.1611485481262207,0.23132751882076263,0.12089525908231735,0.15505705773830414,0.08096501976251602,0.032242532819509506,0.11625723540782928
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.28248369693756104,0.38364991545677185,0.18891674280166626,0.41548454761505127,0.37431180477142334,0.2545962929725647,0.3079429268836975,0.2524394392967224,0.1826142966747284
1521,0.20012322068214417,0.09373841434717178,0.08881302922964096,0.057877857238054276,0.25104495882987976,0.126899853348732,0.1331201046705246,-0.0209176205098629,0.05936918407678604,0.018550416454672813,0.017366724088788033,0.0046399421989917755
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.2929009199142456,0.3378419280052185,0.25300389528274536,0.44245919585227966,0.35606324672698975,0.22361785173416138,0.2707274258136749,0.17925173044204712,0.31091248989105225
luther,0.14516782760620117,0.23667675256729126,1.0,0.234151691198349,0.27093374729156494,0.12795864045619965,0.18029534816741943,0.16170814633369446,0.060534536838531494,0.379041463136673,0.3006906807422638,0.1732746809720993
widened,0.260732501745224,0.2595752477645874,0.08468548953533173,0.37277868390083313,0.18800584971904755,0.15576282143592834,0.3002062141895294,0.1849035918712616,0.19480076432228088,0.17739644646644592,0.23645584285259247,0.09988578408956528
his,0.37120407819747925,0.3546801507472992,0.27093374729156494,0.18449853360652924,0.9999998807907104,0.22895324230194092,0.3715193271636963,0.15775534510612488,0.10254529118537903,0.20669284462928772,0.18103159964084625,0.18075084686279297
target,0.2709612548351288,0.14624325931072235,0.037606336176395416,0.2513256371021271,0.18017259240150452,0.25424790382385254,0.275001585483551,0.16026240587234497,0.20760509371757507,0.06317295879125595,0.19835945963859558,0.24974246323108673
from,0.405669629573822,0.20248863101005554,0.10716932266950607,0.19878961145877838,0.3195365369319916,0.16038696467876434,0.4069952368736267,0.2679238021373749,0.24897418916225433,0.1894836276769638,0.11689576506614685,0.19969791173934937
individual,0.24198006093502045,0.18747162818908691,0.1449064165353775,0.3613573908805847,0.23815003037452698,0.1383606493473053,0.3278317153453827,0.24214768409729004,0.2508714497089386,0.0837731584906578,0.272087424993515,0.2058374285697937
