,how,much,does,a,probationer,earn,",",initially,?
for,0.3308170735836029,0.2994346022605896,0.35159170627593994,0.44038116931915283,0.29702654480934143,0.29041293263435364,0.4464869201183319,0.2961968183517456,0.264628142118454
the,0.33890387415885925,0.35023224353790283,0.35928019881248474,0.5829201340675354,0.21078093349933624,0.21796688437461853,0.4933079481124878,0.2997018098831177,0.22068053483963013
salary,0.2101191282272339,0.2351851612329483,0.17287428677082062,0.2625115215778351,0.36463484168052673,0.4782879948616028,0.19489715993404388,0.16467876732349396,0.20685498416423798
year,0.19631797075271606,0.2093992531299591,0.16000528633594513,0.29350247979164124,0.19186973571777344,0.27883005142211914,0.28560417890548706,0.16950096189975739,0.18315006792545319
beginning,0.32424792647361755,0.25950881838798523,0.22459293901920319,0.31769853830337524,0.18584755063056946,0.19512563943862915,0.31347912549972534,0.3423982262611389,0.19413669407367706
april,0.10604981333017349,0.15072649717330933,0.14772741496562958,0.23283809423446655,0.31289228796958923,0.12768283486366272,0.4403347671031952,0.19869530200958252,0.25704094767570496
2008,-0.17135247588157654,-0.25726374983787537,-0.1751817762851715,-0.08630643039941788,0.09157676994800568,0.005214603152126074,-0.008566685020923615,-0.063798688352108,-0.09852470457553864
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.427140474319458,0.29740047454833984,0.2286224514245987,1.0000001192092896,0.23403345048427582,0.31091248989105225
unpromoted,0.25293782353401184,0.25138911604881287,0.21940308809280396,0.24059443175792694,0.31740084290504456,0.2586110532283783,0.2809302508831024,0.2882765233516693,0.2894577980041504
teachers,0.24127359688282013,0.20093302428722382,0.1685517579317093,0.2509842813014984,0.2318965345621109,0.3111092448234558,0.28049156069755554,0.15807969868183136,0.19522249698638916
in,0.2601168751716614,0.2725222110748291,0.214483380317688,0.539380669593811,0.22579973936080933,0.22422656416893005,0.5201468467712402,0.2391221970319748,0.20430970191955566
scotland,0.1224040538072586,0.16144686937332153,0.15574301779270172,0.2106660157442093,0.194141685962677,0.1683703511953354,0.21124857664108276,0.1526378095149994,0.09160218387842178
earned,0.16097167134284973,0.22217495739459991,0.2106437087059021,0.24639838933944702,0.20448127388954163,0.6558719277381897,0.290668249130249,0.2534371614456177,0.18173527717590332
from,0.22939439117908478,0.24480824172496796,0.1777622550725937,0.322764128446579,0.16574536263942719,0.1577579826116562,0.39760664105415344,0.1962183266878128,0.19969791173934937
"£20,427",0.08902840316295624,0.11863764375448227,0.06573371589183807,0.19747738540172577,0.18584893643856049,0.0816228911280632,0.21269123256206512,0.10382279753684998,0.10928968340158463
for,0.3308170735836029,0.2994346022605896,0.35159170627593994,0.44038116931915283,0.29702654480934143,0.29041293263435364,0.4464869201183319,0.2961968183517456,0.264628142118454
a,0.29312583804130554,0.2958075702190399,0.38201746344566345,1.0,0.24536538124084473,0.26034015417099,0.427140474319458,0.25532233715057373,0.23916715383529663
probationer,0.1931995153427124,0.1471918523311615,0.21277597546577454,0.24536538124084473,1.0000001192092896,0.24972692131996155,0.29740047454833984,0.2211628258228302,0.27236172556877136
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.427140474319458,0.29740047454833984,0.2286224514245987,1.0000001192092896,0.23403345048427582,0.31091248989105225
