,what,part,the,composition,of,the,earth,'s,atmosphere,is,comprised,of,oxygen,?
it,0.45803478360176086,0.4648587107658386,0.6251175999641418,0.2410309910774231,0.38761502504348755,0.6251175999641418,0.27391982078552246,0.06608816236257553,0.3151346743106842,0.6328473687171936,0.2070014923810959,0.38761502504348755,0.26699385046958923,0.25732165575027466
is,0.28837618231773376,0.4582172930240631,0.5823672413825989,0.21339751780033112,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.02396530658006668,0.1850086748600006,1.0,0.24423737823963165,0.4854315221309662,0.21825239062309265,0.22961433231830597
the,0.42745697498321533,0.527681291103363,1.0,0.2593342959880829,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.24429655075073242,0.5823672413825989,0.28885143995285034,0.733189046382904,0.20428593456745148,0.22068053483963013
form,0.15868011116981506,0.31082701683044434,0.29286009073257446,0.32866910099983215,0.29600051045417786,0.29286009073257446,0.17146925628185272,0.07059726119041443,0.1448398381471634,0.3218395411968231,0.246665820479393,0.29600051045417786,0.22106200456619263,0.1463010311126709
that,0.6297725439071655,0.37747326493263245,0.5473989248275757,0.22561553120613098,0.41498205065727234,0.5473989248275757,0.33014219999313354,0.04397977516055107,0.29804176092147827,0.3995479643344879,0.21353133022785187,0.41498205065727234,0.2717767655849457,0.32716336846351624
is,0.28837618231773376,0.4582172930240631,0.5823672413825989,0.21339751780033112,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.02396530658006668,0.1850086748600006,1.0,0.24423737823963165,0.4854315221309662,0.21825239062309265,0.22961433231830597
a,0.3320399522781372,0.3994528353214264,0.5829201340675354,0.25990504026412964,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.04866964742541313,0.17583811283111572,0.658733606338501,0.2067648470401764,0.5052502155303955,0.21662019193172455,0.23916715383529663
major,0.21026742458343506,0.22967763245105743,0.31775903701782227,0.14078451693058014,0.2641255557537079,0.31775903701782227,0.18192006647586823,-0.010959804058074951,0.13893276453018188,0.19079607725143433,0.20307596027851105,0.2641255557537079,0.1290738582611084,0.19788557291030884
part,0.3476244807243347,1.0,0.527681291103363,0.245966836810112,0.452393114566803,0.527681291103363,0.16151063144207,0.007562864106148481,0.1712636500597,0.4582172930240631,0.325838178396225,0.452393114566803,0.17520982027053833,0.08557961881160736
of,0.33290785551071167,0.452393114566803,0.733189046382904,0.3104008734226227,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.1981431096792221,0.4854315221309662,0.3694441318511963,1.0,0.16848602890968323,0.1826142966747284
the,0.42745697498321533,0.527681291103363,1.0,0.2593342959880829,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.24429655075073242,0.5823672413825989,0.28885143995285034,0.733189046382904,0.20428593456745148,0.22068053483963013
earth,0.25883176922798157,0.16151063144207,0.2801888585090637,0.3323502242565155,0.2329314798116684,0.2801888585090637,1.0,0.0661235973238945,0.5628719925880432,0.26888176798820496,0.025238949805498123,0.2329314798116684,0.3065866231918335,0.17717236280441284
's,0.02692362666130066,0.007562864106148481,-0.01540423184633255,-0.01932831108570099,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.9999999403953552,0.0077118780463933945,0.02396530658006668,0.0030715237371623516,-0.03817026689648628,-0.011648092418909073,-0.023395681753754616
atmosphere,0.2530241310596466,0.1712636500597,0.24429655075073242,0.3498537540435791,0.1981431096792221,0.24429655075073242,0.5628719925880432,0.0077118780463933945,1.0,0.1850086748600006,0.11123275011777878,0.1981431096792221,0.48839667439460754,0.15636961162090302
(,0.2411840260028839,0.2208257019519806,0.33289089798927307,0.16063784062862396,0.35032153129577637,0.33289089798927307,0.18478946387767792,0.0012731997994706035,0.15048934519290924,0.35393038392066956,0.12378822267055511,0.35032153129577637,0.189798504114151,0.40561532974243164
see,0.44941186904907227,0.2181103527545929,0.3770301640033722,0.1543234884738922,0.33962661027908325,0.3770301640033722,0.2596387565135956,-0.010140474885702133,0.21481609344482422,0.30759111046791077,0.19746509194374084,0.33962661027908325,0.20267128944396973,0.42005208134651184
occurrence,0.2810608446598053,0.14149272441864014,0.28576356172561646,0.1117912083864212,0.24011513590812683,0.28576356172561646,0.2555643916130066,0.02502196654677391,0.26676520705223083,0.2722100615501404,0.10797625035047531,0.24011513590812683,0.2524136006832123,0.25049254298210144
),0.26259949803352356,0.24734117090702057,0.3456730246543884,0.18510933220386505,0.3680361211299896,0.3456730246543884,0.18219341337680817,0.021107977256178856,0.14808179438114166,0.37732169032096863,0.13320320844650269,0.3680361211299896,0.19541971385478973,0.42300865054130554
.,0.3567904531955719,0.32817673683166504,0.5934505462646484,0.23635780811309814,0.5352458953857422,0.5934505462646484,0.2542925775051117,-0.003708066651597619,0.202870711684227,0.4569662809371948,0.18239986896514893,0.5352458953857422,0.2554275095462799,0.4130953550338745
