,what,was,notable,about,the,butterflies,?
horses,0.20263072848320007,0.20194707810878754,0.14909076690673828,0.22898094356060028,0.23117998242378235,0.26312559843063354,0.11661676317453384
in,0.30808621644973755,0.45514053106307983,0.25145605206489563,0.39797019958496094,0.6662389636039734,0.20530056953430176,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.21731382608413696,0.34171196818351746,0.5829201340675354,0.19232386350631714,0.23916715383529663
livery,0.08141788840293884,0.20457755029201508,0.09725645184516907,0.10952665656805038,0.25553396344184875,0.2363348752260208,0.09260664880275726
stable,0.19113974273204803,0.17652463912963867,0.2495046705007553,0.16366948187351227,0.19243422150611877,0.17467793822288513,0.11452282965183258
bolted,0.2103928029537201,0.32176005840301514,0.1335861086845398,0.16853463649749756,0.3186453878879547,0.19334688782691956,0.21719348430633545
from,0.2737620174884796,0.31171464920043945,0.17248059809207916,0.3421173691749573,0.40150508284568787,0.13940705358982086,0.19969791173934937
their,0.35142919421195984,0.2396296262741089,0.19220766425132751,0.25792208313941956,0.516537070274353,0.3157467842102051,0.1898253709077835
stalls,0.1416790634393692,0.20349787175655365,0.11083202064037323,0.10935837030410767,0.25642070174217224,0.22991935908794403,0.11744891107082367
after,0.21973377466201782,0.49306565523147583,0.15968087315559387,0.2603839039802551,0.4565047025680542,0.08792939782142639,0.16608688235282898
receiving,0.1824735403060913,0.1930893063545227,0.11990959197282791,0.1509346067905426,0.3056924641132355,0.15134689211845398,0.11734168976545334
shocks,0.26209455728530884,0.15994948148727417,0.20950211584568024,0.19177649915218353,0.2049379199743271,0.19446052610874176,0.20506036281585693
through,0.23167094588279724,0.21752823889255524,0.1192479133605957,0.29083409905433655,0.44071322679519653,0.1934088170528412,0.16913433372974396
their,0.35142919421195984,0.2396296262741089,0.19220766425132751,0.25792208313941956,0.516537070274353,0.3157467842102051,0.1898253709077835
metal,0.1684471070766449,0.22117844223976135,0.16970469057559967,0.11407997459173203,0.22397266328334808,0.17796258628368378,0.19767305254936218
shoes,0.15303649008274078,0.151775062084198,0.15780271589756012,0.14174260199069977,0.14278213679790497,0.23202982544898987,0.1815248429775238
.,0.3567904531955719,0.40146201848983765,0.2256665676832199,0.42038556933403015,0.5934505462646484,0.2682303488254547,0.4130953550338745
,what,was,notable,about,the,butterflies,?
butterflies,0.22692178189754486,0.1386428326368332,0.17119504511356354,0.19114238023757935,0.2666216194629669,0.9999999403953552,0.1883201152086258
were,0.22298263013362885,0.590133786201477,0.1756194680929184,0.29814305901527405,0.3906462490558624,0.2089822143316269,0.17890112102031708
electrified,0.1661221832036972,0.2584589421749115,0.1632014960050583,0.15216848254203796,0.2818971276283264,0.14365968108177185,0.15530817210674286
",",0.3087472915649414,0.45456063747406006,0.31026551127433777,0.3877100944519043,0.4933079481124878,0.24138960242271423,0.31091248989105225
swirling,0.22367116808891296,0.16627493500709534,0.12219822406768799,0.16488111019134521,0.26403379440307617,0.3656558692455292,0.12941749393939972
in,0.30808621644973755,0.45514053106307983,0.25145605206489563,0.39797019958496094,0.6662389636039734,0.20530056953430176,0.20430970191955566
circles,0.16733095049858093,0.12750405073165894,0.18938316404819489,0.19182437658309937,0.24430058896541595,0.25588473677635193,0.12514375150203705
with,0.2464839518070221,0.27411898970603943,0.1739683747291565,0.3347385823726654,0.4223487675189972,0.17019204795360565,0.2433311939239502
blue,0.17981211841106415,0.15539668500423431,0.1885923594236374,0.14882853627204895,0.2734997570514679,0.25942912697792053,0.15668673813343048
halos,0.3159472644329071,0.18791073560714722,0.16240055859088898,0.21079035103321075,0.3390873074531555,0.22427068650722504,0.2633611857891083
of,0.33290785551071167,0.4069072902202606,0.1985267549753189,0.40939709544181824,0.733189046382904,0.2475973516702652,0.1826142966747284
st.,0.10219959169626236,0.17142929136753082,-0.0007002789643593132,0.17985233664512634,0.18141359090805054,0.15488769114017487,0.13592876493930817
elmo,0.1893266886472702,0.23193834722042084,0.18268084526062012,0.2316451370716095,0.18813946843147278,0.20346646010875702,0.1688864529132843
's,0.02692362666130066,0.008974763564765453,0.003200544510036707,-0.020936643704771996,-0.01540423184633255,0.08875742554664612,-0.023395681753754616
fire,0.19359004497528076,0.24801933765411377,0.17130938172340393,0.11979687958955765,0.2911929488182068,0.16949589550495148,0.14396874606609344
around,0.27475327253341675,0.24039418995380402,0.20536306500434875,0.5043767690658569,0.40085816383361816,0.21310226619243622,0.14729668200016022
their,0.35142919421195984,0.2396296262741089,0.19220766425132751,0.25792208313941956,0.516537070274353,0.3157467842102051,0.1898253709077835
wings,0.15551695227622986,0.1891813725233078,0.15548187494277954,0.15258437395095825,0.24199563264846802,0.45507344603538513,0.14733357727527618
.,0.3567904531955719,0.40146201848983765,0.2256665676832199,0.42038556933403015,0.5934505462646484,0.2682303488254547,0.4130953550338745
