,what,do,counties,sometimes,offer,to,get,more,teachers,?
many,0.36131182312965393,0.38738366961479187,0.17799876630306244,0.4376986026763916,0.2887738347053528,0.40243685245513916,0.3039306700229645,0.48608261346817017,0.29123616218566895,0.2124512493610382
counties,0.18263769149780273,0.15277184545993805,1.0,0.17269833385944366,0.07525444030761719,0.19238705933094025,0.18536143004894257,0.16559869050979614,0.19582240283489227,0.09521792083978653
offer,0.20134106278419495,0.3177431523799896,0.07525444030761719,0.18072181940078735,0.9999998807907104,0.34615713357925415,0.33141666650772095,0.33814647793769836,0.27193784713745117,0.1774262934923172
alternative,0.1948106437921524,0.2668749690055847,0.16382330656051636,0.25066831707954407,0.27474266290664673,0.2616310119628906,0.26291945576667786,0.23558588325977325,0.1700136661529541,0.22607778012752533
licensing,0.2864918112754822,0.23638971149921417,0.17522534728050232,0.15171577036380768,0.28391727805137634,0.26254668831825256,0.2077576220035553,0.24272777140140533,0.15160031616687775,0.23048727214336395
programs,0.23178155720233917,0.25158262252807617,0.17610763013362885,0.26021409034729004,0.35558581352233887,0.23389451205730438,0.23796628415584564,0.29666051268577576,0.33633798360824585,0.16452431678771973
to,0.455847829580307,0.38876664638519287,0.19238705933094025,0.4055429697036743,0.34615713357925415,1.0,0.4388369917869568,0.47084665298461914,0.2668606638908386,0.29463258385658264
attract,0.2005894035100937,0.27987489104270935,0.05839218571782112,0.21915295720100403,0.27498605847358704,0.3283350169658661,0.2678229510784149,0.29171022772789,0.1960061490535736,0.12982657551765442
people,0.32444337010383606,0.2961650788784027,0.32486841082572937,0.310612291097641,0.13062013685703278,0.37275731563568115,0.2906142473220825,0.3351196348667145,0.34099945425987244,0.23739641904830933
into,0.2180619090795517,0.20546826720237732,0.20545795559883118,0.30640071630477905,0.19248323142528534,0.38810545206069946,0.29681822657585144,0.26544561982154846,0.11938746273517609,0.15662476420402527
teaching,0.27416905760765076,0.28052759170532227,0.15325412154197693,0.19655436277389526,0.2883254885673523,0.2762126624584198,0.19248607754707336,0.22176127135753632,0.6562570333480835,0.20424684882164001
",",0.3087472915649414,0.3283645510673523,0.2766191363334656,0.26600122451782227,0.2830800712108612,0.44245919585227966,0.2926318049430847,0.3696524500846863,0.28049156069755554,0.31091248989105225
especially,0.3590192496776581,0.2906690239906311,0.08828499913215637,0.4793219566345215,0.2169346809387207,0.37744608521461487,0.3219299912452698,0.45314404368400574,0.2615615427494049,0.19751401245594025
for,0.3017193675041199,0.29510271549224854,0.15031608939170837,0.28293126821517944,0.35623615980148315,0.4451248347759247,0.342695415019989,0.3891189992427826,0.274332195520401,0.264628142118454
hard-to-fill,0.3213159441947937,0.2987908720970154,0.2649083435535431,0.3291803002357483,0.21674704551696777,0.3724935054779053,0.3558962941169739,0.3149169683456421,0.23991155624389648,0.31001055240631104
positions,0.19736577570438385,0.2390868216753006,0.24348467588424683,0.19148671627044678,0.19479776918888092,0.23584577441215515,0.17148995399475098,0.26773789525032043,0.22365830838680267,0.126787006855011
.,0.3567904531955719,0.3613996207714081,0.21356114745140076,0.24956031143665314,0.23210087418556213,0.4645031690597534,0.39392393827438354,0.4070230722427368,0.24628326296806335,0.4130953550338745
