,when,did,the,germanic,tribes,claim,territory,in,north,and,west,europe,?
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.24026349186897278,0.12463679164648056,0.1602199673652649,0.25426751375198364,0.4274188280105591,0.3180590271949768,0.3601827025413513,0.2389117330312729,0.18114914000034332,0.19969791173934937
their,0.3682888448238373,0.38078752160072327,0.516537070274353,0.26715853810310364,0.26845473051071167,0.22127701342105865,0.24145734310150146,0.34976133704185486,0.14030487835407257,0.45114588737487793,0.1645018458366394,0.24921712279319763,0.1898253709077835
original,0.2014450877904892,0.2664784789085388,0.4037000238895416,0.18752886354923248,0.09898634254932404,0.1739695519208908,0.1663077026605606,0.2534193694591522,0.16718865931034088,0.29575109481811523,0.20977401733398438,0.11989625543355942,0.17256900668144226
homelands,0.18554513156414032,0.18301740288734436,0.3133435845375061,0.3983248174190521,0.46387651562690735,0.24813449382781982,0.4214538037776947,0.24069930613040924,0.2938157618045807,0.2995586097240448,0.2992543876171112,0.2900928258895874,0.11115454882383347
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.24217848479747772,0.19281157851219177,0.16881313920021057,0.2756796181201935,1.0,0.39050599932670593,0.4954058527946472,0.34078434109687805,0.33061710000038147,0.20430970191955566
scandinavia,0.1253659874200821,0.18483243882656097,0.24652571976184845,0.43807458877563477,0.2543203830718994,0.18916969001293182,0.22880779206752777,0.2452246993780136,0.28859415650367737,0.2822973132133484,0.23460428416728973,0.5262895822525024,0.13888707756996155
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2491096705198288,0.2041163444519043,0.22851447761058807,0.278890460729599,0.4954058527946472,0.2776443064212799,1.0,0.273951917886734,0.3463572859764099,0.20544172823429108
northern,0.20532405376434326,0.14611519873142242,0.3422943353652954,0.2739127278327942,0.21473228931427002,0.14667171239852905,0.44764360785484314,0.3545122444629669,0.5398455858230591,0.2852024435997009,0.43300768733024597,0.2788044214248657,0.13149388134479523
europe,0.18744638562202454,0.22473940253257751,0.34463706612586975,0.32132285833358765,0.22549261152744293,0.14875593781471252,0.1874454766511917,0.33061710000038147,0.3906383514404297,0.3463572859764099,0.20070433616638184,1.0000001192092896,0.18278923630714417
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.22153666615486145,0.19590550661087036,0.2664267122745514,0.2454550564289093,0.5201468467712402,0.31834840774536133,0.6633074283599854,0.28857502341270447,0.2542513906955719,0.31091248989105225
germanic,0.20272000133991241,0.2060786336660385,0.3006645441055298,1.0000001192092896,0.5284436941146851,0.23079299926757812,0.23127613961696625,0.24217848479747772,0.2743636667728424,0.2491096705198288,0.28941529989242554,0.32132285833358765,0.18380945920944214
