,in,what,state,were,the,original,launching,facilities,for,missions,?
it,0.5130809545516968,0.45803478360176086,0.32295069098472595,0.25487732887268066,0.6251175999641418,0.3096504509449005,0.17892129719257355,0.2069532871246338,0.32171204686164856,0.19098643958568573,0.25732165575027466
was,0.45514053106307983,0.22111038863658905,0.22072885930538177,0.590133786201477,0.48711544275283813,0.32203906774520874,0.2076065093278885,0.14303629100322723,0.3863949179649353,0.1960911750793457,0.18412111699581146
also,0.5073733329772949,0.42747777700424194,0.30592310428619385,0.31877249479293823,0.6021018624305725,0.2950311005115509,0.239823117852211,0.26343247294425964,0.5373267531394958,0.27933046221733093,0.21848613023757935
clear,0.23860304057598114,0.4239453375339508,0.16300180554389954,0.1849471926689148,0.3209454417228699,0.255083292722702,0.18065524101257324,0.15382741391658783,0.2821788191795349,0.12167048454284668,0.2738020122051239
nasa,0.15705716609954834,0.21178755164146423,0.17700983583927155,0.13781481981277466,0.19786997139453888,0.14387735724449158,0.39144718647003174,0.22083403170108795,0.17481353878974915,0.38373640179634094,0.1809994876384735
would,0.30461156368255615,0.45766422152519226,0.17657263576984406,0.37426912784576416,0.4133751392364502,0.2826281189918518,0.27629807591438293,0.2233332395553589,0.39877474308013916,0.24290740489959717,0.37178951501846313
soon,0.2957788109779358,0.3005380630493164,0.16275884211063385,0.34740501642227173,0.3431394100189209,0.15308254957199097,0.24132047593593597,0.17847129702568054,0.3119761347770691,0.21516944468021393,0.17460282146930695
outgrow,0.2671677768230438,0.35129299759864807,0.24724411964416504,0.26572826504707336,0.3259515166282654,0.19163770973682404,0.2804851233959198,0.2962661683559418,0.29380151629447937,0.19944573938846588,0.2573668658733368
its,0.3793783485889435,0.30393704771995544,0.3171643614768982,0.20452921092510223,0.559237003326416,0.38020971417427063,0.2306424379348755,0.2581722140312195,0.2992613911628723,0.18961894512176514,0.15103481709957123
practice,0.24572531878948212,0.2749895751476288,0.1713540256023407,0.25205129384994507,0.27333036065101624,0.1418694108724594,0.19517365097999573,0.2696276307106018,0.3276185989379883,0.23550103604793549,0.21386858820915222
