,what,publication,did,philip,howard,work,for,?
responding,0.44756078720092773,0.2558334171772003,0.265728235244751,0.057118047028779984,0.12985952198505402,0.35320037603378296,0.3643947243690491,0.3013480305671692
to,0.455847829580307,0.1878795325756073,0.4452643394470215,0.17181846499443054,0.11114994436502457,0.3482864499092102,0.4451248347759247,0.29463258385658264
the,0.42745697498321533,0.24080322682857513,0.34736719727516174,0.21499985456466675,0.23961152136325836,0.2704800069332123,0.4739971458911896,0.22068053483963013
findings,0.29346638917922974,0.3247145414352417,0.2558821141719818,0.1489185392856598,0.1874951869249344,0.35414552688598633,0.2538018822669983,0.16064861416816711
of,0.33290785551071167,0.20938149094581604,0.2513895630836487,0.24375313520431519,0.19389913976192474,0.23473061621189117,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.24080322682857513,0.34736719727516174,0.21499985456466675,0.23961152136325836,0.2704800069332123,0.4739971458911896,0.22068053483963013
survey,0.2753312289714813,0.31742098927497864,0.13662408292293549,0.1604010909795761,0.11838265508413315,0.25198987126350403,0.20146101713180542,0.17650416493415833
in,0.30808621644973755,0.2110367715358734,0.2593238651752472,0.26558998227119446,0.24723754823207855,0.2753349542617798,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.24080322682857513,0.34736719727516174,0.21499985456466675,0.23961152136325836,0.2704800069332123,0.4739971458911896,0.22068053483963013
times,0.21414996683597565,0.21146930754184723,0.23068773746490479,0.09473656117916107,0.07666713744401932,0.16195295751094818,0.2999500632286072,0.18880689144134521
newspaper,0.19692619144916534,0.4641689360141754,0.17824643850326538,0.14890892803668976,0.18270671367645264,0.19023504853248596,0.17878255248069763,0.12645277380943298
",",0.3087472915649414,0.2531280815601349,0.3015086054801941,0.28930366039276123,0.2676442265510559,0.3283594250679016,0.4464869201183319,0.31091248989105225
journalist,0.1052299290895462,0.33194220066070557,0.15346233546733856,0.24940529465675354,0.2376435250043869,0.17306461930274963,0.15852820873260498,0.09252665191888809
philip,0.11288820952177048,0.15411388874053955,0.16742472350597382,1.0,0.24314863979816437,0.1360880434513092,0.2110455334186554,0.11887923628091812
howard,0.11493710428476334,0.1863049566745758,0.18126767873764038,0.24314863979816437,1.0,0.19319294393062592,0.21044890582561493,0.0705622211098671
maintained,0.20107032358646393,0.2767488956451416,0.23758384585380554,0.08403846621513367,0.07478775829076767,0.2338026911020279,0.2379247099161148,0.17174425721168518
that,0.6297725439071655,0.2636457681655884,0.47518548369407654,0.1331724375486374,0.1378842294216156,0.34257015585899353,0.4137635827064514,0.32716336846351624
",",0.3087472915649414,0.2531280815601349,0.3015086054801941,0.28930366039276123,0.2676442265510559,0.3283594250679016,0.4464869201183319,0.31091248989105225
