,where,are,bills,typically,gestated,in,stage,1,?
stage,0.1781195104122162,0.168104350566864,0.13866868615150452,0.1332261711359024,0.22811156511306763,0.2011467069387436,1.0000001192092896,-0.14677542448043823,0.14916576445102692
1,-0.12200809270143509,-0.2175680249929428,-0.28224170207977295,-0.23301802575588226,-0.3252076804637909,-0.10660158097743988,-0.14677542448043823,1.0,-0.249979168176651
usually,0.4019157886505127,0.5635237097740173,0.29367542266845703,0.7066826820373535,0.2926933169364929,0.28848564624786377,0.21502064168453217,-0.2224985808134079,0.19435347616672516
takes,0.2697744369506836,0.20556128025054932,0.08127125352621078,0.24935506284236908,0.23295477032661438,0.2945663630962372,0.19530260562896729,-0.1857132464647293,0.10935472697019577
place,0.4786618947982788,0.25836262106895447,0.03437449410557747,0.15078452229499817,0.21336866915225983,0.38128477334976196,0.27504783868789673,-0.0861462727189064,0.2455766350030899
",",0.3149496018886566,0.4062570035457611,0.23442044854164124,0.18964512646198273,0.27027788758277893,0.5201468467712402,0.2630990147590637,-0.15742997825145721,0.31091248989105225
initially,0.24913983047008514,0.22341181337833405,0.1207660511136055,0.36722004413604736,0.28654274344444275,0.2391221970319748,0.16376882791519165,-0.17533496022224426,0.0699334517121315
",",0.3149496018886566,0.4062570035457611,0.23442044854164124,0.18964512646198273,0.27027788758277893,0.5201468467712402,0.2630990147590637,-0.15742997825145721,0.31091248989105225
in,0.5344807505607605,0.3841303884983063,0.14907318353652954,0.22473083436489105,0.2498950958251953,1.0,0.2011467069387436,-0.10660158097743988,0.20430970191955566
the,0.5003893971443176,0.40399202704429626,0.2371491938829422,0.33345210552215576,0.3134598731994629,0.6662389636039734,0.22652170062065125,-0.1554475575685501,0.22068053483963013
relevant,0.30061838030815125,0.3357330858707428,0.18612481653690338,0.31999120116233826,0.2708475589752197,0.2808280289173126,0.2096683830022812,-0.3025735318660736,0.37889617681503296
committee,0.15980705618858337,0.14231987297534943,0.1678713709115982,0.1350039392709732,0.17945919930934906,0.2107008546590805,0.10081899166107178,-0.1651066243648529,0.12144632637500763
or,0.3651050925254822,0.5374364256858826,0.266512006521225,0.558444619178772,0.2667253911495209,0.3586423695087433,0.1695668250322342,-0.21893133223056793,0.32389625906944275
committees,0.19598813354969025,0.280746728181839,0.28123608231544495,0.22909586131572723,0.22812089323997498,0.2531541585922241,0.08477667719125748,-0.21920925378799438,0.1382787674665451
and,0.43859338760375977,0.48576638102531433,0.2781215310096741,0.3137528598308563,0.25703585147857666,0.4954058527946472,0.17654182016849518,-0.20516018569469452,0.20544172823429108
is,0.3586711287498474,0.5330929756164551,0.13326987624168396,0.3483496606349945,0.1979748159646988,0.5394441485404968,0.19676770269870758,-0.12491171807050705,0.22961433231830597
then,0.5403340458869934,0.23076686263084412,0.22816701233386993,0.229110985994339,0.17036153376102448,0.36253848671913147,0.172125905752182,-0.2419365793466568,0.2884598970413208
submitted,0.18387629091739655,0.1398223489522934,0.18749119341373444,0.15282632410526276,0.28945595026016235,0.1980462521314621,0.15107908844947815,-0.2505325973033905,0.2415507286787033
to,0.47735077142715454,0.3504326641559601,0.24257683753967285,0.3589242696762085,0.27387160062789917,0.45010748505592346,0.1484832912683487,-0.2769182622432709,0.29463258385658264
the,0.5003893971443176,0.40399202704429626,0.2371491938829422,0.33345210552215576,0.3134598731994629,0.6662389636039734,0.22652170062065125,-0.1554475575685501,0.22068053483963013
whole,0.3123922348022461,0.27209654450416565,0.1559857875108719,0.3366612493991852,0.22757017612457275,0.30267009139060974,0.12314857542514801,-0.15350832045078278,0.21052291989326477
parliament,0.14109039306640625,0.09480422735214233,0.26832765340805054,0.09170794486999512,0.15953922271728516,0.2323146015405655,0.22801706194877625,-0.13962455093860626,0.1586504578590393
for,0.38599511981010437,0.3895993232727051,0.24164816737174988,0.3479194939136505,0.266642302274704,0.4322226941585541,0.2402065247297287,-0.31088897585868835,0.264628142118454
a,0.40997210144996643,0.265255331993103,0.24252058565616608,0.37909039855003357,0.23381365835666656,0.539380669593811,0.2036506086587906,-0.20817746222019196,0.23916715383529663
full,0.19476696848869324,0.16167086362838745,0.23492193222045898,0.28681057691574097,0.24513407051563263,0.20023053884506226,0.138039231300354,-0.2580138146877289,0.168479785323143
debate,0.18342231214046478,0.16443191468715668,0.20973344147205353,0.1523723602294922,0.26927801966667175,0.1971871554851532,0.17446625232696533,-0.1534537672996521,0.227684885263443
in,0.5344807505607605,0.3841303884983063,0.14907318353652954,0.22473083436489105,0.2498950958251953,1.0,0.2011467069387436,-0.10660158097743988,0.20430970191955566
