,what,was,the,name,of,the,locomotive,that,debuted,in,1808,?
trevithick,0.19898971915245056,0.353197306394577,0.31533631682395935,0.24343229830265045,0.2999076247215271,0.31533631682395935,0.3617221713066101,0.22604554891586304,0.20922335982322693,0.3304753005504608,0.0196983702480793,0.2125524878501892
continued,0.17878234386444092,0.40578481554985046,0.29953038692474365,0.14872042834758759,0.2527073323726654,0.29953038692474365,0.10419856756925583,0.20345619320869446,0.2543536424636841,0.2845509350299835,0.17469273507595062,0.10404038429260254
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.4394008219242096,0.13632729649543762,0.3173833191394806,0.21692512929439545,0.3598145842552185,0.0720648467540741,0.18075084686279297
own,0.35062843561172485,0.19632458686828613,0.334675133228302,0.24912263453006744,0.3269667625427246,0.334675133228302,0.15689539909362793,0.37425005435943604,0.1441117376089096,0.31893372535705566,0.12208283692598343,0.1937696635723114
experiments,0.3106561601161957,0.24334195256233215,0.21008943021297455,0.09447889775037766,0.16935081779956818,0.21008943021297455,0.12602593004703522,0.34689804911613464,0.13129015266895294,0.21977302432060242,0.09544721990823746,0.14564716815948486
using,0.27984681725502014,0.18766598403453827,0.28364112973213196,0.19703111052513123,0.24298200011253357,0.28364112973213196,0.15398341417312622,0.4372335970401764,0.0922999382019043,0.2717311978340149,0.1913241446018219,0.2804589569568634
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.22328422963619232,0.47537946701049805,0.22790193557739258,0.539380669593811,0.13508273661136627,0.23916715383529663
trio,0.16976548731327057,0.1528177410364151,0.18003785610198975,0.16535021364688873,0.18805783987045288,0.18003785610198975,0.1829850822687149,0.15798555314540863,0.23508109152317047,0.19909727573394775,-0.08090241998434067,0.10676770657300949
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.21016043424606323,0.41498205065727234,0.18094587326049805,0.5696388483047485,0.2053232043981552,0.1826142966747284
locomotives,0.12965811789035797,0.15560707449913025,0.20427684485912323,0.1697438508272171,0.18200701475143433,0.20427684485912323,0.9529002904891968,0.1548958271741867,0.11561362445354462,0.17941859364509583,-0.017335444688796997,0.13195066154003143
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.19542674720287323,0.4137537479400635,0.23864160478115082,0.5201468467712402,0.08561437577009201,0.31091248989105225
concluding,0.3054657280445099,0.21305862069129944,0.3353133499622345,0.11598365008831024,0.3219040036201477,0.3353133499622345,0.06662771105766296,0.42201268672943115,0.1618758738040924,0.3111434280872345,0.13253480195999146,0.18368390202522278
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.16325969994068146,0.4154358208179474,0.20936383306980133,0.4080928862094879,0.11926116794347763,0.2433311939239502
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.22304096817970276,0.5473989248275757,0.28418588638305664,0.6662389636039734,0.20552591979503632,0.22068053483963013
catch,0.247139111161232,0.16668148338794708,0.22350099682807922,0.14825734496116638,0.14268046617507935,0.22350099682807922,0.1042737066745758,0.3169138729572296,0.158412903547287,0.22515015304088593,0.15207350254058838,0.28881779313087463
me,0.3969229757785797,0.20387347042560577,0.20063884556293488,0.1368783861398697,0.11113286763429642,0.20063884556293488,0.10779502987861633,0.324773907661438,0.17719446122646332,0.14430944621562958,0.032259751111269,0.4646095037460327
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.3733934462070465,0.1508799046278,0.45444270968437195,0.10703007131814957,0.2792111933231354,-0.0024571081157773733,0.26220351457595825
can,0.34502777457237244,0.23099195957183838,0.312528520822525,0.1310177892446518,0.2603091299533844,0.312528520822525,0.12524272501468658,0.4522190988063812,0.12039190530776978,0.26527702808380127,0.24067534506320953,0.3226337134838104
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.19649046659469604,0.435920387506485,0.25110283493995667,1.0,0.1761905997991562,0.20430970191955566
1808,0.1315474510192871,0.05824797973036766,0.20552591979503632,0.052428994327783585,0.2053232043981552,0.20552591979503632,0.02115037851035595,0.20614483952522278,0.004341937601566315,0.1761905997991562,1.0,0.06109285727143288
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.23093467950820923,0.4460422694683075,0.2639025151729584,0.5591574311256409,0.1481378674507141,0.4130953550338745
