,when,did,luther,receive,a,degree,in,biblical,studies,?
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.21994081139564514,0.4393508732318878,0.25816109776496887,0.41690486669540405,0.16184215247631073,0.25417426228523254,0.2089974731206894
received,0.17342817783355713,0.3125181496143341,0.1771141141653061,0.7047652006149292,0.22444266080856323,0.30802205204963684,0.2772020101547241,0.1889900118112564,0.22874553501605988,0.11905962228775024
a,0.44397395849227905,0.2552328109741211,0.17967689037322998,0.25780048966407776,1.0,0.25289660692214966,0.539380669593811,0.11185035854578018,0.24775946140289307,0.23916715383529663
bachelor,0.17059847712516785,0.18267612159252167,0.13543689250946045,0.3043002188205719,0.22000035643577576,0.6971407532691956,0.2620902359485626,0.18467830121517181,0.3823414146900177,0.07728833705186844
's,-0.03368149697780609,0.05069678649306297,-0.009990512393414974,-0.03961443156003952,0.04866964742541313,-0.019614629447460175,-0.037580832839012146,0.0188311580568552,-0.04059765115380287,-0.023395681753754616
degree,0.202690988779068,0.18228070437908173,0.1314706653356552,0.25023093819618225,0.25289660692214966,0.9999999403953552,0.28089648485183716,0.1639806479215622,0.44417306780815125,0.1060895025730133
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.19334688782691956,0.539380669593811,0.28089648485183716,1.0,0.13338269293308258,0.30442532896995544,0.20430970191955566
biblical,0.17529597878456116,0.2030898928642273,0.31112417578697205,0.136956587433815,0.11185035854578018,0.1639806479215622,0.13338269293308258,1.0,0.2935817837715149,0.1909967064857483
studies,0.18905548751354218,0.2509125769138336,0.12289933860301971,0.17581287026405334,0.24775946140289307,0.44417306780815125,0.30442532896995544,0.2935817837715149,0.9999998807907104,0.1388726830482483
on,0.37706470489501953,0.2670976221561432,0.19090485572814941,0.2056528776884079,0.3848365545272827,0.16243389248847961,0.46853652596473694,0.10641814768314362,0.19778205454349518,0.2714994251728058
9,-0.062115494161844254,0.038853127509355545,-0.05422545224428177,0.0004138731164857745,0.010403415188193321,-0.0008985458989627659,0.002698394237086177,-0.04444579407572746,0.14468897879123688,-0.026682810857892036
march,0.22895319759845734,0.27992504835128784,0.21289081871509552,0.19468656182289124,0.23374363780021667,0.10137155652046204,0.29730337858200073,0.16577111184597015,0.09346308559179306,0.2802562415599823
1508,-0.0033881282433867455,0.03166724368929863,-0.043351780623197556,0.045983970165252686,0.025585876777768135,0.08256698399782181,-0.0351046584546566,-0.0327141173183918,-0.04509688913822174,0.005418457556515932
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.26574233174324036,0.427140474319458,0.1912073791027069,0.5201468467712402,0.20474766194820404,0.26373082399368286,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.20796556770801544,0.27304521203041077,0.3739250600337982,0.2947183847427368,0.4954058527946472,0.21185402572155,0.30504533648490906,0.20544172823429108
another,0.48569372296333313,0.29175329208374023,0.16183584928512573,0.20911704003810883,0.6191956996917725,0.20272378623485565,0.3397690951824188,0.17872337996959686,0.18882779777050018,0.295511931180954
bachelor,0.17059847712516785,0.18267612159252167,0.13543689250946045,0.3043002188205719,0.22000035643577576,0.6971407532691956,0.2620902359485626,0.18467830121517181,0.3823414146900177,0.07728833705186844
's,-0.03368149697780609,0.05069678649306297,-0.009990512393414974,-0.03961443156003952,0.04866964742541313,-0.019614629447460175,-0.037580832839012146,0.0188311580568552,-0.04059765115380287,-0.023395681753754616
degree,0.202690988779068,0.18228070437908173,0.1314706653356552,0.25023093819618225,0.25289660692214966,0.9999999403953552,0.28089648485183716,0.1639806479215622,0.44417306780815125,0.1060895025730133
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.19334688782691956,0.539380669593811,0.28089648485183716,1.0,0.13338269293308258,0.30442532896995544,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.2726488411426544,0.5829201340675354,0.20765221118927002,0.6662389636039734,0.20867225527763367,0.22738903760910034,0.22068053483963013
sentences,0.2732432782649994,0.2248407006263733,0.16136953234672546,0.13756918907165527,0.2867121696472168,0.22464148700237274,0.2279798984527588,0.19711437821388245,0.19922302663326263,0.290255606174469
by,0.4376842677593231,0.18574509024620056,0.15382802486419678,0.1698799580335617,0.32094135880470276,0.16076983511447906,0.370934396982193,0.20696145296096802,0.17011062800884247,0.17966607213020325
peter,0.17303507030010223,0.1588931679725647,0.2545919418334961,0.12951619923114777,0.1912786215543747,0.09579368680715561,0.168073832988739,0.2420550435781479,0.09340672940015793,0.11650477349758148
lombard,0.19241560995578766,0.17860069870948792,0.1911504566669464,0.08425483852624893,0.12772047519683838,0.09667433798313141,0.2096066176891327,0.20268486440181732,0.09604637324810028,0.1444772183895111
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.19334688782691956,0.539380669593811,0.28089648485183716,1.0,0.13338269293308258,0.30442532896995544,0.20430970191955566
1509,0.061366334557533264,0.11313288658857346,-0.0023287683725357056,0.12893502414226532,0.13979719579219818,0.08999447524547577,0.15817199647426605,0.08300860226154327,0.1605229377746582,0.10793846100568771
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.24563279747962952,0.50484299659729,0.20956046879291534,0.5591574311256409,0.15590158104896545,0.22173671424388885,0.4130953550338745
