,what,did,the,ipcc,apologize,for,?
they,0.4431931674480438,0.4879390597343445,0.49925389885902405,0.2271517813205719,0.2995915710926056,0.3466525673866272,0.2753053903579712
expressed,0.20227427780628204,0.17606444656848907,0.25207287073135376,0.17925073206424713,0.30314597487449646,0.29098325967788696,0.17175263166427612
regret,0.39002886414527893,0.31181928515434265,0.22917360067367554,0.3036353290081024,0.446196973323822,0.24004128575325012,0.2684967517852783
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.19251582026481628,0.2505345344543457,0.9999999403953552,0.264628142118454
``,0.008517155423760414,-0.029888948425650597,0.029072100296616554,-0.017391569912433624,0.05491074174642563,0.01270448137074709,0.0685480609536171
the,0.42745697498321533,0.34736719727516174,1.0,0.24925659596920013,0.22660286724567413,0.4739971458911896,0.22068053483963013
poor,0.2570318877696991,0.27971774339675903,0.21093174815177917,0.1417849212884903,0.22062787413597107,0.2900572121143341,0.12937016785144806
application,0.2565309405326843,0.14525571465492249,0.2483029067516327,0.3224750757217407,0.16934797167778015,0.35991108417510986,0.1966315507888794
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.20174051821231842,0.14217142760753632,0.4185989499092102,0.1826142966747284
well-established,0.18398816883563995,0.2507045269012451,0.3998594880104065,0.23770901560783386,0.07396279275417328,0.22830966114997864,0.18433251976966858
ipcc,0.33176189661026,0.2459706962108612,0.24925659596920013,1.0000001192092896,0.24523396790027618,0.19251582026481628,0.22295254468917847
procedures,0.33542415499687195,0.2599021792411804,0.23226140439510345,0.32989388704299927,0.29868000745773315,0.3478333055973053,0.2716922461986542
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.1257958561182022,0.19409310817718506,0.4322226941585541,0.20430970191955566
this,0.5489566326141357,0.3609912693500519,0.6274310946464539,0.2609120011329651,0.3503137528896332,0.5082864165306091,0.3155723512172699
instance,0.3862040638923645,0.21199829876422882,0.3539782464504242,0.18539005517959595,0.2869205176830292,0.4085063934326172,0.30205854773521423
'',0.08143015950918198,0.01978493109345436,0.041273195296525955,-0.04113392531871796,-0.04482556879520416,-0.04479556903243065,0.018684765323996544
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.20098818838596344,0.2297496646642685,0.4726039469242096,0.4130953550338745
