,when,did,the,second,series,of,torchwood,play,?
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.3655064105987549,0.23966510593891144,0.5052502155303955,0.252493292093277,0.21130098402500153,0.23916715383529663
second,0.28561660647392273,0.20727969706058502,0.4620301127433777,1.0,0.24665457010269165,0.353416383266449,0.19297976791858673,0.22584517300128937,0.17239587008953094
series,0.2194245308637619,0.15581852197647095,0.31376904249191284,0.24665457010269165,1.0000001192092896,0.22268271446228027,0.49095726013183594,0.24509210884571075,0.1709602326154709
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.353416383266449,0.22268271446228027,1.0,0.2499234825372696,0.15350224077701569,0.1826142966747284
torchwood,0.28483304381370544,0.18417656421661377,0.3267632722854614,0.19297976791858673,0.49095726013183594,0.2499234825372696,1.0000001192092896,0.17678359150886536,0.18952997028827667
aired,0.19673508405685425,0.1378907710313797,0.2525516450405121,0.22894616425037384,0.5169695615768433,0.15519371628761292,0.39115509390830994,0.1869189292192459,0.22283338010311127
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.34510284662246704,0.2914260923862457,0.5696388483047485,0.2696547210216522,0.24321173131465912,0.20430970191955566
2008,-0.08004710078239441,-0.07680223137140274,-0.06530369818210602,0.08985432982444763,0.07235892117023468,-0.10678710788488388,-0.025526605546474457,0.15305106341838837,-0.09852470457553864
;,0.022927695885300636,0.10727239400148392,0.09152708947658539,0.037661533802747726,0.029867203906178474,0.054534342139959335,0.03432246297597885,0.08712074160575867,0.10349778085947037
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.25438159704208374,0.2715710699558258,0.4185989499092102,0.2628765404224396,0.27811455726623535,0.264628142118454
three,0.2820437252521515,0.2043166607618332,0.43452659249305725,0.3514942526817322,0.2951010465621948,0.3844621181488037,0.21413996815681458,0.2596930265426636,0.20928427577018738
episodes,0.20127248764038086,0.1200496256351471,0.1889590173959732,0.21286538243293762,0.5597400069236755,0.19166667759418488,0.4391910135746002,0.1997431218624115,0.21740183234214783
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.24060699343681335,0.4946078956127167,0.2555104196071625,0.2231253683567047,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.4620301127433777,0.31376904249191284,0.733189046382904,0.3267632722854614,0.24793598055839539,0.22068053483963013
cast,0.1976369172334671,0.20570258796215057,0.2840540409088135,0.15494267642498016,0.3168802261352539,0.2314109057188034,0.39846596121788025,0.267254501581192,0.16641536355018616
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.3858029544353485,0.2261398285627365,0.4069072902202606,0.24895407259464264,0.23784595727920532,0.18412111699581146
joined,0.2696928381919861,0.2579648792743683,0.2943263649940491,0.18614263832569122,0.16519109904766083,0.24761945009231567,0.17724061012268066,0.21872153878211975,0.06566751003265381
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.2977677285671234,0.267352432012558,0.3646814823150635,0.20084117352962494,0.20151817798614502,0.17966607213020325
freema,0.13233084976673126,0.13381411135196686,0.1477806121110916,0.13879550993442535,0.17018339037895203,0.20662853121757507,0.2834911644458771,0.097377248108387,0.10373307764530182
agyeman,0.2860923707485199,0.2096102088689804,0.3451703190803528,0.29701539874076843,0.3389725685119629,0.29283347725868225,0.34814202785491943,0.30965131521224976,0.23365311324596405
reprising,0.17417386174201965,0.19489139318466187,0.243859201669693,0.18325474858283997,0.2670947313308716,0.24621637165546417,0.34846118092536926,0.2531771957874298,0.16599051654338837
her,0.3416576683521271,0.3056010603904724,0.354963481426239,0.24210356175899506,0.20402689278125763,0.27399197220802307,0.4205455482006073,0.22999481856822968,0.20310723781585693
doctor,0.16867952048778534,0.18673314154148102,0.2820442318916321,0.20181342959403992,0.2712797522544861,0.16895952820777893,0.45518022775650024,0.1542135328054428,0.1462511420249939
who,0.48282691836357117,0.34038686752319336,0.3733934462070465,0.21920166909694672,0.21484537422657013,0.2827862501144409,0.2899830639362335,0.2742305099964142,0.26220351457595825
role,0.2170606553554535,0.16237343847751617,0.26607486605644226,0.2024078071117401,0.34679755568504333,0.1797693818807602,0.28977254033088684,0.2634873688220978,0.18676944077014923
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.353416383266449,0.22268271446228027,1.0,0.2499234825372696,0.15350224077701569,0.1826142966747284
martha,0.1578478366136551,0.19556604325771332,0.16404779255390167,0.1812649667263031,0.21347549557685852,0.13761059939861298,0.3223995566368103,0.17867344617843628,0.16339485347270966
jones,0.21522517502307892,0.15087854862213135,0.24446700513362885,0.1322731375694275,0.22645285725593567,0.2007877230644226,0.3610959053039551,0.1753314584493637,0.1838836669921875
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.346034437417984,0.3121925890445709,0.5352458953857422,0.2708266079425812,0.25552695989608765,0.4130953550338745
