,to,luther,",",what,were,all,baptized,christians,considered,to,be,?
his,0.3715193271636963,0.27093374729156494,0.3378419280052185,0.26976513862609863,0.3142043352127075,0.30359330773353577,0.27092647552490234,0.20611931383609772,0.2883375287055969,0.3715193271636963,0.21738691627979279,0.18075084686279297
theology,0.23310686647891998,0.3810495138168335,0.23964712023735046,0.322174996137619,0.15446975827217102,0.1608080416917801,0.406083881855011,0.46431973576545715,0.20731176435947418,0.23310686647891998,0.16809691488742828,0.1560962051153183
challenged,0.2755841314792633,0.2325112223625183,0.26190248131752014,0.2690076231956482,0.25421831011772156,0.23372450470924377,0.2313641756772995,0.26886478066444397,0.30020856857299805,0.2755841314792633,0.25483497977256775,0.224136084318161
the,0.535392165184021,0.1759674996137619,0.4933079481124878,0.42745697498321533,0.3906462490558624,0.4860881567001343,0.18283669650554657,0.24734680354595184,0.4028765559196472,0.535392165184021,0.4248143136501312,0.22068053483963013
authority,0.2155669927597046,0.17736110091209412,0.22133024036884308,0.23046736419200897,0.17060819268226624,0.20837058126926422,0.22871381044387817,0.2536636292934418,0.22886131703853607,0.2155669927597046,0.2007540911436081,0.18404170870780945
and,0.48971283435821533,0.20796556770801544,0.6633074283599854,0.31309178471565247,0.42175528407096863,0.4542157053947449,0.18915601074695587,0.2351800501346588,0.3359341621398926,0.48971283435821533,0.41766801476478577,0.20544172823429108
office,0.20860034227371216,0.1683998852968216,0.25194036960601807,0.12159775197505951,0.14171291887760162,0.16533730924129486,0.11191736906766891,0.11283545941114426,0.1253003180027008,0.20860034227371216,0.15714344382286072,0.16497313976287842
of,0.41548454761505127,0.1719115972518921,0.4946078956127167,0.33290785551071167,0.34038281440734863,0.42798417806625366,0.23367582261562347,0.25621283054351807,0.4190242290496826,0.41548454761505127,0.33904364705085754,0.1826142966747284
the,0.535392165184021,0.1759674996137619,0.4933079481124878,0.42745697498321533,0.3906462490558624,0.4860881567001343,0.18283669650554657,0.24734680354595184,0.4028765559196472,0.535392165184021,0.4248143136501312,0.22068053483963013
pope,0.25680112838745117,0.27229586243629456,0.21447758376598358,0.20446611940860748,0.1655239313840866,0.12968339025974274,0.3659433424472809,0.37561270594596863,0.1602504402399063,0.25680112838745117,0.2083645910024643,0.25004681944847107
by,0.33534231781959534,0.15382802486419678,0.3680937886238098,0.2455483376979828,0.4406847059726715,0.2944089472293854,0.18867579102516174,0.2433931976556778,0.23957760632038116,0.33534231781959534,0.43158695101737976,0.17966607213020325
teaching,0.2762126624584198,0.2627531886100769,0.2547089457511902,0.27416905760765076,0.1876843124628067,0.2787666916847229,0.3308849334716797,0.34218692779541016,0.1915973424911499,0.2762126624584198,0.2096574753522873,0.20424684882164001
that,0.5436353087425232,0.21746599674224854,0.4137537479400635,0.6297725439071655,0.35517072677612305,0.53305584192276,0.24318808317184448,0.306755006313324,0.37593913078308105,0.5436353087425232,0.6036020517349243,0.32716336846351624
