,which,thesis,questions,the,pope,'s,actions,in,building,the,basilica,of,st.,peter,with,the,money,of,the,poor,?
hillerbrand,0.28018835186958313,0.20088665187358856,0.22789545357227325,0.3427819311618805,0.295879602432251,0.0024959484580904245,0.13170042634010315,0.3091890215873718,0.16191019117832184,0.3427819311618805,0.2301994264125824,0.29433974623680115,0.2863532304763794,0.24986669421195984,0.3537295460700989,0.3427819311618805,0.193586528301239,0.29433974623680115,0.3427819311618805,0.1187172383069992,0.2166219800710678
writes,0.24785876274108887,0.24867457151412964,0.26341143250465393,0.1939418613910675,0.19417522847652435,-0.025202874094247818,0.20119738578796387,0.19626611471176147,0.1286594271659851,0.1939418613910675,0.14757488667964935,0.2183077037334442,0.12897221744060516,0.1877129226922989,0.18263375759124756,0.1939418613910675,0.20026348531246185,0.2183077037334442,0.1939418613910675,0.209210604429245,0.17896029353141785
that,0.6894589066505432,0.28562554717063904,0.3304099440574646,0.5473989248275757,0.2279791384935379,0.04397977516055107,0.35350626707077026,0.435920387506485,0.2585349678993225,0.5473989248275757,0.18389195203781128,0.41498205065727234,0.13783733546733856,0.1561819165945053,0.4154358208179474,0.5473989248275757,0.3115869462490082,0.41498205065727234,0.5473989248275757,0.29014962911605835,0.32716336846351624
there,0.45256471633911133,0.19000554084777832,0.32175299525260925,0.47025805711746216,0.18109939992427826,-0.04860968142747879,0.27766501903533936,0.5361666083335876,0.26125210523605347,0.47025805711746216,0.1910121738910675,0.44397735595703125,0.11620745807886124,0.129071906208992,0.37390366196632385,0.47025805711746216,0.2350270301103592,0.44397735595703125,0.47025805711746216,0.22122766077518463,0.29405656456947327
is,0.4457404911518097,0.19085513055324554,0.2165350317955017,0.5823672413825989,0.1855526864528656,0.02396530658006668,0.17133161425590515,0.5394441485404968,0.20087163150310516,0.5823672413825989,0.19475068151950836,0.4854315221309662,0.16120703518390656,0.1711069494485855,0.3250955045223236,0.5823672413825989,0.19318200647830963,0.4854315221309662,0.5823672413825989,0.18218109011650085,0.22961433231830597
nevertheless,0.39764660596847534,0.1973821520805359,0.30403897166252136,0.29583513736724854,0.16931018233299255,0.06140727177262306,0.22155624628067017,0.2971154749393463,0.1763191521167755,0.29583513736724854,0.22019487619400024,0.2589026987552643,0.09475308656692505,0.10660869628190994,0.27039390802383423,0.29583513736724854,0.1682761311531067,0.2589026987552643,0.29583513736724854,0.2343287616968155,0.12207362055778503
an,0.3611921966075897,0.20775923132896423,0.2066657394170761,0.4207492768764496,0.19457045197486877,0.025255560874938965,0.21414895355701447,0.2605783939361572,0.09766699373722076,0.4207492768764496,0.09698792546987534,0.32280945777893066,0.10032729804515839,0.12764568626880646,0.2730048894882202,0.4207492768764496,0.13617588579654694,0.32280945777893066,0.4207492768764496,0.18795853853225708,0.19793890416622162
undercurrent,0.411500483751297,0.18001773953437805,0.29356491565704346,0.3858206868171692,0.14923077821731567,-0.030072197318077087,0.2565305829048157,0.2834548354148865,0.2109421193599701,0.3858206868171692,0.17865946888923645,0.3511829078197479,0.10582870990037918,0.10661585628986359,0.28473663330078125,0.3858206868171692,0.21884453296661377,0.3511829078197479,0.3858206868171692,0.23216426372528076,0.23354102671146393
of,0.5011631846427917,0.2590109705924988,0.2210283875465393,0.733189046382904,0.23057007789611816,-0.03817026689648628,0.27202147245407104,0.5696388483047485,0.26200541853904724,0.733189046382904,0.2774850130081177,1.0,0.19887582957744598,0.14779731631278992,0.41827285289764404,0.733189046382904,0.23114095628261566,1.0,0.733189046382904,0.23458099365234375,0.1826142966747284
challenge,0.2209889143705368,0.19717048108577728,0.3785671293735504,0.28209173679351807,0.09458015859127045,-0.03546872362494469,0.22753655910491943,0.2110528200864792,0.1585683971643448,0.28209173679351807,0.062005914747714996,0.1816699355840683,0.12701059877872467,0.10214275121688843,0.22841988503932953,0.28209173679351807,0.30756470561027527,0.1816699355840683,0.28209173679351807,0.19315581023693085,0.2207598239183426
in,0.4840516746044159,0.24000997841358185,0.19608618319034576,0.6662389636039734,0.19509877264499664,-0.037580832839012146,0.2084859013557434,1.0,0.3256937265396118,0.6662389636039734,0.22311991453170776,0.5696388483047485,0.15931649506092072,0.168073832988739,0.4080928862094879,0.6662389636039734,0.2393328845500946,0.5696388483047485,0.6662389636039734,0.23408232629299164,0.20430970191955566
several,0.4863804280757904,0.1587432324886322,0.19588856399059296,0.40559855103492737,0.16158370673656464,-0.012985157780349255,0.2523054778575897,0.39405709505081177,0.22200118005275726,0.40559855103492737,0.15068089962005615,0.3271615505218506,0.08467939496040344,0.14704789221286774,0.3401424288749695,0.40559855103492737,0.1774231642484665,0.3271615505218506,0.40559855103492737,0.16182589530944824,0.15595775842666626
of,0.5011631846427917,0.2590109705924988,0.2210283875465393,0.733189046382904,0.23057007789611816,-0.03817026689648628,0.27202147245407104,0.5696388483047485,0.26200541853904724,0.733189046382904,0.2774850130081177,1.0,0.19887582957744598,0.14779731631278992,0.41827285289764404,0.733189046382904,0.23114095628261566,1.0,0.733189046382904,0.23458099365234375,0.1826142966747284
the,0.6521818041801453,0.22074155509471893,0.23562853038311005,1.0,0.2285010814666748,-0.01540423184633255,0.297427237033844,0.6662389636039734,0.3159640431404114,1.0,0.24948042631149292,0.733189046382904,0.18141359090805054,0.24086274206638336,0.4223487675189972,1.0,0.2699695825576782,0.733189046382904,1.0,0.21093174815177917,0.22068053483963013
theses,0.2983837425708771,0.4738409221172333,0.38215816020965576,0.32067108154296875,0.2869024872779846,0.054575804620981216,0.3210945725440979,0.26951003074645996,0.2151350975036621,0.32067108154296875,0.23128050565719604,0.27413663268089294,0.14583395421504974,0.21943701803684235,0.25926825404167175,0.32067108154296875,0.2404394894838333,0.27413663268089294,0.32067108154296875,0.10210007429122925,0.19188037514686584
",",0.3658004403114319,0.19271056354045868,0.2808963656425476,0.4933079481124878,0.21447758376598358,-0.0016132977325469255,0.24007150530815125,0.5201468467712402,0.2374238669872284,0.4933079481124878,0.2143588364124298,0.4946078956127167,0.26603782176971436,0.2641889452934265,0.4120737314224243,0.4933079481124878,0.24156853556632996,0.4946078956127167,0.4933079481124878,0.24018602073192596,0.31091248989105225
particularly,0.4413786828517914,0.14870470762252808,0.3161557614803314,0.32132959365844727,0.1684127002954483,0.0002085742016788572,0.2750818133354187,0.33242201805114746,0.16949638724327087,0.32132959365844727,0.2035854458808899,0.30258041620254517,0.11732090264558792,0.16172552108764648,0.34844154119491577,0.32132959365844727,0.17853081226348877,0.30258041620254517,0.32132959365844727,0.278951495885849,0.2644225060939789
in,0.4840516746044159,0.24000997841358185,0.19608618319034576,0.6662389636039734,0.19509877264499664,-0.037580832839012146,0.2084859013557434,1.0,0.3256937265396118,0.6662389636039734,0.22311991453170776,0.5696388483047485,0.15931649506092072,0.168073832988739,0.4080928862094879,0.6662389636039734,0.2393328845500946,0.5696388483047485,0.6662389636039734,0.23408232629299164,0.20430970191955566
thesis,0.25399377942085266,0.9999999403953552,0.3304818272590637,0.22074155509471893,0.1867227405309677,0.024769244715571404,0.2569389343261719,0.24000997841358185,0.1944228708744049,0.22074155509471893,0.14524443447589874,0.2590109705924988,0.16249185800552368,0.15064817667007446,0.18710929155349731,0.22074155509471893,0.19195285439491272,0.2590109705924988,0.22074155509471893,0.1406586617231369,0.21227407455444336
86,0.09648215025663376,0.22404257953166962,0.2192239761352539,0.10089810192584991,0.14816772937774658,-0.03938351199030876,0.12403018772602081,0.10622552782297134,0.13345187902450562,0.10089810192584991,0.052095476537942886,0.17001870274543762,-0.09099521487951279,0.0033324097748845816,0.024781404063105583,0.10089810192584991,0.0857144445180893,0.17001870274543762,0.10089810192584991,0.06545201689004898,0.10934870690107346
",",0.3658004403114319,0.19271056354045868,0.2808963656425476,0.4933079481124878,0.21447758376598358,-0.0016132977325469255,0.24007150530815125,0.5201468467712402,0.2374238669872284,0.4933079481124878,0.2143588364124298,0.4946078956127167,0.26603782176971436,0.2641889452934265,0.4120737314224243,0.4933079481124878,0.24156853556632996,0.4946078956127167,0.4933079481124878,0.24018602073192596,0.31091248989105225
which,1.0,0.25399377942085266,0.25654274225234985,0.6521818041801453,0.19186033308506012,0.03856118768453598,0.3084428310394287,0.4840516746044159,0.3029557466506958,0.6521818041801453,0.22083799540996552,0.5011631846427917,0.16463634371757507,0.15755018591880798,0.46403205394744873,0.6521818041801453,0.2905809283256531,0.5011631846427917,0.6521818041801453,0.2719274163246155,0.25814583897590637
