,where,does,warsaw,rank,in,terms,of,population,in,the,eu,?
its,0.27530840039253235,0.33437713980674744,0.19152112305164337,0.12665368616580963,0.3793783485889435,0.23987792432308197,0.48690423369407654,0.33083978295326233,0.3793783485889435,0.559237003326416,0.16840960085391998,0.15103481709957123
population,0.1827353984117508,0.14702445268630981,0.1863958090543747,0.2345428466796875,0.3268454372882843,0.1874503195285797,0.3060894012451172,1.0,0.3268454372882843,0.32044094800949097,0.1793912798166275,0.14449454843997955
is,0.3586711287498474,0.4403602182865143,0.09741193056106567,0.15803313255310059,0.5394441485404968,0.27452221512794495,0.4854315221309662,0.2727566361427307,0.5394441485404968,0.5823672413825989,0.12234814465045929,0.22961433231830597
estimated,0.16549085080623627,0.12240004539489746,0.11282374709844589,0.20360372960567474,0.2508986294269562,0.22591911256313324,0.30473583936691284,0.5198360681533813,0.2508986294269562,0.29184040427207947,0.19834929704666138,0.18149758875370026
at,0.4402937591075897,0.17465277016162872,0.20140162110328674,0.1545201987028122,0.4374977946281433,0.12392114847898483,0.42558613419532776,0.15945716202259064,0.4374977946281433,0.457212895154953,0.18760159611701965,0.21978627145290375
1.740,0.10589899867773056,0.05869097262620926,0.07432372123003006,0.08764325827360153,0.19738692045211792,0.045774195343256,0.13286446034908295,0.12027658522129059,0.19738692045211792,0.13006961345672607,-0.021850591525435448,0.17895950376987457
million,0.16446907818317413,0.10680846869945526,0.07597553730010986,0.11613500863313675,0.2596224844455719,0.18958783149719238,0.21686489880084991,0.3087695837020874,0.2596224844455719,0.277012437582016,0.208483025431633,0.23092924058437347
residents,0.2537643313407898,0.1642918884754181,0.13838742673397064,0.12266427278518677,0.27393898367881775,0.23617327213287354,0.28795862197875977,0.45314475893974304,0.27393898367881775,0.28274044394493103,0.20011232793331146,0.09602975845336914
within,0.3611587882041931,0.29514265060424805,0.14228931069374084,0.15099406242370605,0.40576374530792236,0.2320554107427597,0.39594778418540955,0.18120217323303223,0.40576374530792236,0.39827480912208557,0.18834546208381653,0.1870293766260147
a,0.40997210144996643,0.38201746344566345,0.19591784477233887,0.19437101483345032,0.539380669593811,0.2931654751300812,0.5052502155303955,0.2345738559961319,0.539380669593811,0.5829201340675354,0.13932566344738007,0.23916715383529663
greater,0.16651363670825958,0.20582076907157898,0.17170822620391846,0.13345453143119812,0.26627716422080994,0.2530845105648041,0.34470728039741516,0.26071324944496155,0.26627716422080994,0.2814446687698364,0.08840272575616837,0.09723397344350815
metropolitan,0.22143173217773438,0.20880821347236633,0.23090645670890808,0.1573089212179184,0.27762067317962646,0.13614273071289062,0.2863157391548157,0.35963642597198486,0.27762067317962646,0.24378018081188202,0.18650084733963013,0.1861504763364792
area,0.3338260352611542,0.13779224455356598,0.19728557765483856,0.14920096099376678,0.33632898330688477,0.16405314207077026,0.3409860134124756,0.49808502197265625,0.33632898330688477,0.37834644317626953,0.1697073131799698,0.12640461325645447
of,0.38066378235816956,0.3119818866252899,0.19253842532634735,0.22729025781154633,0.5696388483047485,0.2767748534679413,1.0,0.3060894012451172,0.5696388483047485,0.733189046382904,0.1579294353723526,0.1826142966747284
2.666,0.06973270326852798,0.04021430015563965,0.05567126348614693,0.03304748609662056,-0.009885638952255249,0.08011811226606369,0.03271184861660004,0.002394383307546377,-0.009885638952255249,-0.00478667626157403,0.01836635172367096,0.11242707818746567
million,0.16446907818317413,0.10680846869945526,0.07597553730010986,0.11613500863313675,0.2596224844455719,0.18958783149719238,0.21686489880084991,0.3087695837020874,0.2596224844455719,0.277012437582016,0.208483025431633,0.23092924058437347
residents,0.2537643313407898,0.1642918884754181,0.13838742673397064,0.12266427278518677,0.27393898367881775,0.23617327213287354,0.28795862197875977,0.45314475893974304,0.27393898367881775,0.28274044394493103,0.20011232793331146,0.09602975845336914
",",0.3149496018886566,0.28617382049560547,0.25300899147987366,0.2213623821735382,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.2967977225780487,0.5201468467712402,0.4933079481124878,0.1565755307674408,0.31091248989105225
which,0.5477990508079529,0.39111801981925964,0.16906329989433289,0.15126049518585205,0.4840516746044159,0.29791849851608276,0.5011631846427917,0.2151837795972824,0.4840516746044159,0.6521818041801453,0.15620915591716766,0.25814583897590637
makes,0.23640434443950653,0.5149580240249634,0.10966989398002625,0.10916776210069656,0.22258508205413818,0.20007354021072388,0.2927091419696808,0.11389067023992538,0.22258508205413818,0.3029823303222656,0.1223955750465393,0.22145044803619385
