,who,broadcast,the,super,bowl,on,tv,?
cbs,0.16542650759220123,0.5521507263183594,0.2283918708562851,0.23111854493618011,0.2528696060180664,0.25146469473838806,0.5679857730865479,0.14594407379627228
broadcast,0.18632595241069794,1.0,0.2713715434074402,0.1449931412935257,0.18237876892089844,0.2845228910446167,0.5626955032348633,0.15760008990764618
super,0.1819351613521576,0.1449931412935257,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.1569211632013321,0.2682373523712158,0.166326642036438
bowl,0.09189514070749283,0.18237876892089844,0.21576224267482758,0.4848237931728363,1.0,0.1334993690252304,0.1964709460735321,0.21118052303791046
50,0.0322180911898613,-0.01586120016872883,0.03602437674999237,0.0833745002746582,0.005446359980851412,0.05590687692165375,0.019886968657374382,0.030512850731611252
in,0.2792111933231354,0.26723843812942505,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.46853652596473694,0.17989183962345123,0.20430970191955566
the,0.3733934462070465,0.2713715434074402,1.0,0.21959073841571808,0.21576224267482758,0.5107308030128479,0.20034731924533844,0.22068053483963013
u.s.,0.19341465830802917,-0.020555395632982254,0.06592652946710587,0.18026593327522278,0.1647888869047165,0.0330372117459774,0.029226766899228096,0.07886100560426712
",",0.3365725874900818,0.24917922914028168,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.49057599902153015,0.2778550088405609,0.31091248989105225
and,0.41279885172843933,0.22526025772094727,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.4077630043029785,0.2652006149291992,0.20544172823429108
charged,0.23286627233028412,0.11582323908805847,0.2047804892063141,0.1307750940322876,0.13330021500587463,0.21428802609443665,0.10414056479930878,0.1305682212114334
an,0.2848317325115204,0.19117678701877594,0.4207492768764496,0.09755856543779373,0.13908697664737701,0.3192969560623169,0.14825421571731567,0.19793890416622162
average,0.1699700504541397,0.200475811958313,0.27058175206184387,0.127910777926445,0.1515442579984665,0.2780454754829407,0.07376675307750702,0.21764592826366425
of,0.2827862501144409,0.20155203342437744,0.733189046382904,0.14718765020370483,0.2243070751428604,0.3966929316520691,0.19364769756793976,0.1826142966747284
$,0.14688296616077423,0.1414363831281662,0.23367542028427124,0.14851532876491547,0.24415016174316406,0.16966626048088074,0.15141546726226807,0.2786129117012024
5,0.05488086864352226,0.0004579016240313649,0.09255307912826538,0.024198191240429878,0.052770476788282394,0.1658337414264679,-0.017878055572509766,0.06222071498632431
million,0.20240086317062378,0.22229152917861938,0.277012437582016,0.15958677232265472,0.18768401443958282,0.1741691380739212,0.16554377973079681,0.23092924058437347
for,0.37110671401023865,0.2546502649784088,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.36199691891670227,0.22924813628196716,0.264628142118454
a,0.36608949303627014,0.2046348601579666,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.3848365545272827,0.2169625610113144,0.23916715383529663
30-second,0.1135486513376236,0.1799066960811615,0.3721327483654022,0.2004479467868805,0.19167320430278778,0.22231197357177734,0.17336660623550415,0.18454498052597046
commercial,0.05230569466948509,0.2591072916984558,0.23051398992538452,0.20105868577957153,0.16026756167411804,0.242442324757576,0.24342778325080872,0.04216946288943291
during,0.30551859736442566,0.24461494386196136,0.4838213622570038,0.16951335966587067,0.22041946649551392,0.3347817361354828,0.19223935902118683,0.1325719803571701
the,0.3733934462070465,0.2713715434074402,1.0,0.21959073841571808,0.21576224267482758,0.5107308030128479,0.20034731924533844,0.22068053483963013
game,0.2523840069770813,0.2862359285354614,0.285271555185318,0.3480181396007538,0.2413962334394455,0.22967135906219482,0.32472875714302063,0.1829071193933487
.,0.3541337847709656,0.2280997633934021,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.49257001280784607,0.27196308970451355,0.4130953550338745
