,local,church,and,certified,are,two,types,of,what,?
there,0.2495916485786438,0.2438279539346695,0.4242868423461914,0.17348788678646088,0.5433560013771057,0.40416133403778076,0.37238845229148865,0.44397735595703125,0.35085538029670715,0.29405656456947327
are,0.19665704667568207,0.16039738059043884,0.48576638102531433,0.17178936302661896,1.0,0.46276170015335083,0.4691450595855713,0.39081433415412903,0.29724663496017456,0.24591213464736938
two,0.10719843953847885,0.14373718202114105,0.4671151638031006,0.21014422178268433,0.46276170015335083,1.0000001192092896,0.33505547046661377,0.37726253271102905,0.23363454639911652,0.19645625352859497
categories,0.2144412100315094,0.05438860505819321,0.2893967628479004,0.22211915254592896,0.34090813994407654,0.2992170751094818,0.35034382343292236,0.18317048251628876,0.27071893215179443,0.3382010757923126
of,0.20668989419937134,0.3079429268836975,0.5116966962814331,0.19884441792964935,0.39081433415412903,0.37726253271102905,0.2447618544101715,1.0,0.33290785551071167,0.1826142966747284
lay,0.13565626740455627,0.25351858139038086,0.244028240442276,0.15098454058170319,0.21933284401893616,0.15954171121120453,0.18811525404453278,0.24545599520206451,0.16848115622997284,0.19041578471660614
servants,0.13617901504039764,0.30795207619667053,0.3165348768234253,0.18462418019771576,0.25798866152763367,0.22470968961715698,0.1720828264951706,0.28044411540031433,0.1960030347108841,0.15403048694133759
:,-0.1023949533700943,-0.07043963670730591,-0.04625999182462692,0.07808776944875717,-0.1189703419804573,0.016365518793463707,-0.10021550953388214,-0.08807745575904846,-0.12022944539785385,-0.07156077772378922
local,1.0,0.2117328941822052,0.2468787580728531,0.11550687998533249,0.19665704667568207,0.10719843953847885,0.14817994832992554,0.20668989419937134,0.18981902301311493,0.15022775530815125
church,0.2117328941822052,0.9999999403953552,0.1976170688867569,0.09169837832450867,0.16039738059043884,0.14373718202114105,0.061885759234428406,0.3079429268836975,0.1944202184677124,0.18081501126289368
lay,0.13565626740455627,0.25351858139038086,0.244028240442276,0.15098454058170319,0.21933284401893616,0.15954171121120453,0.18811525404453278,0.24545599520206451,0.16848115622997284,0.19041578471660614
servant,0.1003083735704422,0.24410399794578552,0.2720182240009308,0.16766369342803955,0.10182894021272659,0.12108489871025085,0.007567133754491806,0.22546939551830292,0.1746111363172531,0.16730746626853943
",",0.20673875510692596,0.2707274258136749,0.6633074283599854,0.2597894072532654,0.4062570035457611,0.35859420895576477,0.24108222126960754,0.4946078956127167,0.3087472915649414,0.31091248989105225
who,0.20416545867919922,0.19418756663799286,0.41279885172843933,0.11774442344903946,0.27294138073921204,0.2791741192340851,0.16785739362239838,0.2827862501144409,0.40942975878715515,0.26220351457595825
serve,0.17824366688728333,0.1487906128168106,0.27672067284584045,0.13506825268268585,0.28864505887031555,0.2198297083377838,0.17542894184589386,0.2656401991844177,0.23061832785606384,0.19925682246685028
in,0.2223825752735138,0.2493300437927246,0.4954058527946472,0.21843811869621277,0.3841303884983063,0.36463531851768494,0.18516337871551514,0.5696388483047485,0.30808621644973755,0.20430970191955566
and,0.2468787580728531,0.1976170688867569,1.0,0.2191307097673416,0.48576638102531433,0.4671151638031006,0.3014242649078369,0.5116966962814331,0.31309178471565247,0.20544172823429108
through,0.12768027186393738,0.13149389624595642,0.3666759729385376,0.1599206030368805,0.2637137472629547,0.24710188806056976,0.14159397780895233,0.3647414743900299,0.23167094588279724,0.16913433372974396
their,0.22085392475128174,0.17209430038928986,0.45114588737487793,0.17716336250305176,0.46887820959091187,0.401440292596817,0.29275110363960266,0.4329940676689148,0.35142919421195984,0.1898253709077835
local,1.0,0.2117328941822052,0.2468787580728531,0.11550687998533249,0.19665704667568207,0.10719843953847885,0.14817994832992554,0.20668989419937134,0.18981902301311493,0.15022775530815125
churches,0.2413250207901001,0.7955681681632996,0.27674582600593567,0.13359934091567993,0.29156017303466797,0.193576842546463,0.19613254070281982,0.29080384969711304,0.17877253890037537,0.19824735820293427
",",0.20673875510692596,0.2707274258136749,0.6633074283599854,0.2597894072532654,0.4062570035457611,0.35859420895576477,0.24108222126960754,0.4946078956127167,0.3087472915649414,0.31091248989105225
and,0.2468787580728531,0.1976170688867569,1.0,0.2191307097673416,0.48576638102531433,0.4671151638031006,0.3014242649078369,0.5116966962814331,0.31309178471565247,0.20544172823429108
certified,0.11550687998533249,0.09169837832450867,0.2191307097673416,1.0,0.17178936302661896,0.21014422178268433,0.15006937086582184,0.19884441792964935,0.13830743730068207,0.20531779527664185
lay,0.13565626740455627,0.25351858139038086,0.244028240442276,0.15098454058170319,0.21933284401893616,0.15954171121120453,0.18811525404453278,0.24545599520206451,0.16848115622997284,0.19041578471660614
servants,0.13617901504039764,0.30795207619667053,0.3165348768234253,0.18462418019771576,0.25798866152763367,0.22470968961715698,0.1720828264951706,0.28044411540031433,0.1960030347108841,0.15403048694133759
",",0.20673875510692596,0.2707274258136749,0.6633074283599854,0.2597894072532654,0.4062570035457611,0.35859420895576477,0.24108222126960754,0.4946078956127167,0.3087472915649414,0.31091248989105225
who,0.20416545867919922,0.19418756663799286,0.41279885172843933,0.11774442344903946,0.27294138073921204,0.2791741192340851,0.16785739362239838,0.2827862501144409,0.40942975878715515,0.26220351457595825
serve,0.17824366688728333,0.1487906128168106,0.27672067284584045,0.13506825268268585,0.28864505887031555,0.2198297083377838,0.17542894184589386,0.2656401991844177,0.23061832785606384,0.19925682246685028
in,0.2223825752735138,0.2493300437927246,0.4954058527946472,0.21843811869621277,0.3841303884983063,0.36463531851768494,0.18516337871551514,0.5696388483047485,0.30808621644973755,0.20430970191955566
their,0.22085392475128174,0.17209430038928986,0.45114588737487793,0.17716336250305176,0.46887820959091187,0.401440292596817,0.29275110363960266,0.4329940676689148,0.35142919421195984,0.1898253709077835
own,0.31353041529655457,0.17754799127578735,0.3142828047275543,0.0949934870004654,0.29801490902900696,0.27524054050445557,0.19374234974384308,0.3269667625427246,0.35062843561172485,0.1937696635723114
churches,0.2413250207901001,0.7955681681632996,0.27674582600593567,0.13359934091567993,0.29156017303466797,0.193576842546463,0.19613254070281982,0.29080384969711304,0.17877253890037537,0.19824735820293427
",",0.20673875510692596,0.2707274258136749,0.6633074283599854,0.2597894072532654,0.4062570035457611,0.35859420895576477,0.24108222126960754,0.4946078956127167,0.3087472915649414,0.31091248989105225
