,what,can,scales,and,spring,balances,measure,between,two,forces,by,using,static,equilibrium,?
a,0.3320399522781372,0.3915780484676361,0.22156277298927307,0.3739250600337982,0.23113512992858887,0.2853788435459137,0.2953258156776428,0.29385313391685486,0.3289857804775238,0.17848460376262665,0.32094135880470276,0.32226553559303284,0.21898198127746582,0.1780584305524826,0.23916715383529663
static,0.2510988116264343,0.2974742650985718,0.18074560165405273,0.20515210926532745,0.14502711594104767,0.2853497564792633,0.3087332546710968,0.19515173137187958,0.17812635004520416,0.23756571114063263,0.20874249935150146,0.26531320810317993,1.0,0.3437974452972412,0.22167910635471344
equilibrium,0.2799043655395508,0.30360147356987,0.33470845222473145,0.21893297135829926,0.18468539416790009,0.5131465196609497,0.45719462633132935,0.23017297685146332,0.19932135939598083,0.3022625148296356,0.1854620724916458,0.20239876210689545,0.3437974452972412,1.0,0.14204584062099457
between,0.2462156116962433,0.23827335238456726,0.22048762440681458,0.40645647048950195,0.13238631188869476,0.30356329679489136,0.23890213668346405,0.9999999403953552,0.4709945023059845,0.252635657787323,0.28115302324295044,0.19968627393245697,0.19515173137187958,0.23017297685146332,0.12887074053287506
two,0.23363454639911652,0.282000333070755,0.2346077412366867,0.4671151638031006,0.19002436101436615,0.2884531319141388,0.1940694898366928,0.4709945023059845,1.0000001192092896,0.20150142908096313,0.33852577209472656,0.22335101664066315,0.17812635004520416,0.19932135939598083,0.19645625352859497
forces,0.2112482488155365,0.15958181023597717,0.1334642916917801,0.26456665992736816,0.22854956984519958,0.3002159297466278,0.12168500572443008,0.252635657787323,0.20150142908096313,1.0,0.294624388217926,0.13638299703598022,0.23756571114063263,0.3022625148296356,0.16984491050243378
is,0.28837618231773376,0.44256699085235596,0.21023213863372803,0.3859752118587494,0.1606760323047638,0.23750978708267212,0.2864217460155487,0.26809602975845337,0.2315155267715454,0.18792390823364258,0.3899846076965332,0.26543745398521423,0.16519774496555328,0.1829221099615097,0.22961433231830597
the,0.42745697498321533,0.312528520822525,0.21475687623023987,0.5171257257461548,0.316989928483963,0.29917407035827637,0.2528008222579956,0.39067012071609497,0.43858039379119873,0.3134811818599701,0.4408751428127289,0.28364112973213196,0.13053004443645477,0.18578028678894043,0.22068053483963013
most,0.3219912350177765,0.3452373743057251,0.17300169169902802,0.4309377074241638,0.1777634471654892,0.2506329119205475,0.186997652053833,0.24144990742206573,0.3709908723831177,0.20437899231910706,0.270847886800766,0.25117412209510803,0.18466816842556,0.1585465967655182,0.2107497900724411
usual,0.2923804521560669,0.3906105160713196,0.3217451274394989,0.3183724880218506,0.2701892852783203,0.30133363604545593,0.2327427864074707,0.23543524742126465,0.2867760956287384,0.13856983184814453,0.16895191371440887,0.3493795692920685,0.1907038688659668,0.2797544598579407,0.19873492419719696
way,0.4835909903049469,0.4469449520111084,0.2094907909631729,0.32150545716285706,0.13704942166805267,0.37818652391433716,0.34418898820877075,0.30898401141166687,0.3041468858718872,0.23307357728481293,0.3228684663772583,0.4523937702178955,0.24559728801250458,0.28185686469078064,0.31575819849967957
of,0.33290785551071167,0.2603091299533844,0.2164524644613266,0.5116966962814331,0.2455621361732483,0.27821409702301025,0.22469913959503174,0.3737983703613281,0.37726253271102905,0.3090144991874695,0.3646814823150635,0.24298200011253357,0.16022148728370667,0.18700768053531647,0.1826142966747284
