,who,did,martin,luther,say,was,the,lone,granter,of,forgiveness,?
he,0.5500732064247131,0.3292143940925598,0.24538953602313995,0.2454872578382492,0.2822306752204895,0.5410010814666748,0.4571082592010498,0.17606046795845032,0.22167682647705078,0.38706058263778687,0.24409478902816772,0.2089974731206894
insisted,0.3234142065048218,0.49533259868621826,0.1774943619966507,0.27878543734550476,0.3278830051422119,0.3803028464317322,0.22402240335941315,0.15595743060112,0.20953208208084106,0.2745477259159088,0.3226635754108429,0.20097918808460236
that,0.45444270968437195,0.47518548369407654,0.1594845950603485,0.21746599674224854,0.5852095484733582,0.33670201897621155,0.5473989248275757,0.18992885947227478,0.24509376287460327,0.41498205065727234,0.37079185247421265,0.32716336846351624
",",0.3365725874900818,0.3015086054801941,0.27058324217796326,0.23255878686904907,0.35129812359809875,0.45456063747406006,0.4933079481124878,0.25948193669319153,0.3049652576446533,0.4946078956127167,0.20873713493347168,0.31091248989105225
since,0.27765995264053345,0.27613121271133423,0.17470768094062805,0.11990752816200256,0.28568893671035767,0.4384658932685852,0.4054957628250122,0.20129655301570892,0.19344808161258698,0.35513219237327576,0.11729983985424042,0.2876587212085724
forgiveness,0.2950792610645294,0.2670504152774811,0.14653322100639343,0.24628107249736786,0.3894975185394287,0.1123548224568367,0.1926071047782898,0.12779639661312103,0.28009745478630066,0.18838636577129364,1.0,0.27390724420547485
was,0.3318818509578705,0.41399896144866943,0.2089129239320755,0.19185513257980347,0.24911612272262573,1.0000001192092896,0.48711544275283813,0.14034457504749298,0.20479923486709595,0.4069072902202606,0.1123548224568367,0.18412111699581146
god,0.30252742767333984,0.2420882135629654,0.1581551879644394,0.2238161414861679,0.3750264644622803,0.20121176540851593,0.24689088761806488,0.1341516226530075,0.14581887423992157,0.2159487009048462,0.4810992181301117,0.23396754264831543
's,0.05599616840481758,0.05069678649306297,0.07599356025457382,-0.009990512393414974,0.02346254698932171,0.008974763564765453,-0.01540423184633255,-0.005408390890806913,-0.08326493948698044,-0.03817026689648628,0.021315572783350945,-0.023395681753754616
alone,0.3550184369087219,0.21312527358531952,0.10654821991920471,0.13457900285720825,0.3172813653945923,0.17050841450691223,0.2769272029399872,0.4252776503562927,0.11153963953256607,0.2295283079147339,0.29279738664627075,0.25589054822921753
