,how,many,native,american,people,resided,in,fresno,in,2010,?
the,0.33890387415885925,0.4335206151008606,0.24374492466449738,0.24562937021255493,0.36838498711586,0.32044243812561035,0.6662389636039734,0.22571885585784912,0.6662389636039734,0.31722962856292725,0.22068053483963013
racial,0.17012618482112885,0.2423551231622696,0.2672390043735504,0.25869300961494446,0.29471778869628906,0.2009056806564331,0.2016519159078598,0.21812303364276886,0.2016519159078598,0.3001973628997803,0.13234834372997284
makeup,0.14875441789627075,0.23125562071800232,0.23906241357326508,0.2303656041622162,0.2983430027961731,0.16496355831623077,0.23974141478538513,0.1863396316766739,0.23974141478538513,0.20294934511184692,0.16080723702907562
of,0.2480744868516922,0.37253960967063904,0.2524676024913788,0.22180068492889404,0.3251037895679474,0.3769811987876892,0.5696388483047485,0.1875009983778,0.5696388483047485,0.26419875025749207,0.1826142966747284
fresno,0.06638962775468826,0.1503066122531891,0.23129141330718994,0.31123173236846924,0.20639443397521973,0.2824450433254242,0.26126348972320557,1.0000001192092896,0.26126348972320557,0.12794002890586853,0.13224096596240997
was,0.16678167879581451,0.260356068611145,0.1733950972557068,0.31632548570632935,0.2518421411514282,0.2928296625614166,0.45514053106307983,0.2749030292034149,0.45514053106307983,0.23825319111347198,0.18412111699581146
"245,306",-0.006032169796526432,-0.019276002421975136,0.092310331761837,0.03681004047393799,0.05134423449635506,-0.021573495119810104,0.0006404128507710993,0.06349658221006393,0.0006404128507710993,-0.0313538983464241,0.07214553654193878
(,0.1676948219537735,0.1455259770154953,0.18371321260929108,0.3044136166572571,0.17817604541778564,0.1014781966805458,0.3087427020072937,0.188642680644989,0.3087427020072937,0.08905135095119476,0.40561532974243164
49.6,0.11973357200622559,0.20140597224235535,0.29252001643180847,-0.04669805243611336,0.12073970586061478,0.009687631390988827,0.05657079070806503,0.021388713270425797,0.05657079070806503,0.11573996394872665,0.23727431893348694
%,0.1237400695681572,0.24948352575302124,0.32014983892440796,0.06834287941455841,0.26192399859428406,0.1455192118883133,0.19465309381484985,0.16213113069534302,0.19465309381484985,0.26349833607673645,0.21441808342933655
),0.17939934134483337,0.16602720320224762,0.202372208237648,0.30758509039878845,0.18634183704853058,0.11144528537988663,0.3326910734176636,0.20478583872318268,0.3326910734176636,0.09984386712312698,0.42300865054130554
white,0.22510305047035217,0.18459662795066833,0.2683289349079132,0.2204173058271408,0.11149398982524872,0.17807312309741974,0.1821274310350418,0.20274634659290314,0.1821274310350418,0.16832806169986725,0.124679796397686
",",0.22659391164779663,0.40610817074775696,0.30732813477516174,0.3048616647720337,0.36644625663757324,0.2688181400299072,0.5201468467712402,0.2561432421207428,0.5201468467712402,0.24006164073944092,0.31091248989105225
"40,960",0.1059720441699028,0.11962943524122238,0.12918692827224731,0.31855180859565735,0.07527054101228714,0.12773889303207397,0.23392429947853088,0.21568334102630615,0.23392429947853088,0.16567689180374146,0.30066511034965515
(,0.1676948219537735,0.1455259770154953,0.18371321260929108,0.3044136166572571,0.17817604541778564,0.1014781966805458,0.3087427020072937,0.188642680644989,0.3087427020072937,0.08905135095119476,0.40561532974243164
8.3,0.08518166840076447,0.16958342492580414,0.31410565972328186,0.13770338892936707,0.07038049399852753,0.08730459958314896,0.18014004826545715,0.20733642578125,0.18014004826545715,0.10282612591981888,0.088871531188488
