,what,crew,sent,the,first,ever,live,images,of,the,earth,and,moon,to,earth,?
the,0.42745697498321533,0.25329816341400146,0.3010627329349518,1.0,0.49448907375335693,0.3474041819572449,0.2995128035545349,0.22232814133167267,0.733189046382904,1.0,0.2801888585090637,0.5171257257461548,0.23613092303276062,0.535392165184021,0.2801888585090637,0.22068053483963013
crew,0.17533187568187714,1.0,0.21368008852005005,0.25329816341400146,0.22136586904525757,0.22299619019031525,0.2158636599779129,0.09011673927307129,0.20427432656288147,0.25329816341400146,0.1996253877878189,0.22802916169166565,0.24565747380256653,0.21819929778575897,0.1996253877878189,0.16586194932460785
of,0.33290785551071167,0.20427432656288147,0.28923630714416504,0.733189046382904,0.3536086082458496,0.22901833057403564,0.27734068036079407,0.2139289528131485,1.0,0.733189046382904,0.2329314798116684,0.5116966962814331,0.18815091252326965,0.41548454761505127,0.2329314798116684,0.1826142966747284
apollo,0.13561789691448212,0.36530131101608276,0.2000766545534134,0.2169172167778015,0.21067003905773163,0.2141718715429306,0.13241203129291534,0.18773365020751953,0.1786269098520279,0.2169172167778015,0.3316074311733246,0.15251155197620392,0.512973427772522,0.23190522193908691,0.3316074311733246,0.191528782248497
8,-0.005443718284368515,-0.00203023967333138,0.11586551368236542,0.0063715726137161255,-0.0460638664662838,-0.0863538533449173,0.01601403020322323,0.01703602448105812,0.03280399739742279,0.0063715726137161255,-0.015306207351386547,-0.0012589808320626616,0.01711699180305004,-0.013905820436775684,-0.015306207351386547,-0.04056251794099808
sent,0.19595611095428467,0.21368008852005005,1.0,0.3010627329349518,0.28519389033317566,0.1465352326631546,0.13810299336910248,0.17430387437343597,0.28923630714416504,0.3010627329349518,0.14674870669841766,0.32548439502716064,0.1755635142326355,0.34694167971611023,0.14674870669841766,0.10903520882129669
the,0.42745697498321533,0.25329816341400146,0.3010627329349518,1.0,0.49448907375335693,0.3474041819572449,0.2995128035545349,0.22232814133167267,0.733189046382904,1.0,0.2801888585090637,0.5171257257461548,0.23613092303276062,0.535392165184021,0.2801888585090637,0.22068053483963013
first,0.28086137771606445,0.22136586904525757,0.28519389033317566,0.49448907375335693,1.0,0.4429802894592285,0.20244593918323517,0.13583897054195404,0.3536086082458496,0.49448907375335693,0.23709720373153687,0.3167642652988434,0.2546434998512268,0.3792489171028137,0.23709720373153687,0.18701928853988647
live,0.20532001554965973,0.2158636599779129,0.13810299336910248,0.2995128035545349,0.20244593918323517,0.19415858387947083,1.0,0.10334262251853943,0.27734068036079407,0.2995128035545349,0.201178640127182,0.29040172696113586,0.08024363964796066,0.298321396112442,0.201178640127182,0.19481121003627777
televised,0.16330711543560028,0.13281585276126862,0.1959739327430725,0.32855433225631714,0.3656581938266754,0.2794223129749298,0.19210736453533173,0.11687391251325607,0.23927952349185944,0.32855433225631714,0.1571720689535141,0.25074225664138794,0.14682771265506744,0.23923970758914948,0.1571720689535141,0.12888526916503906
pictures,0.25560304522514343,0.1624433994293213,0.22729933261871338,0.2478199452161789,0.1680396944284439,0.17060352861881256,0.1682519167661667,0.539196789264679,0.19921936094760895,0.2478199452161789,0.20589600503444672,0.23214755952358246,0.17847485840320587,0.20347432792186737,0.20589600503444672,0.20528490841388702
of,0.33290785551071167,0.20427432656288147,0.28923630714416504,0.733189046382904,0.3536086082458496,0.22901833057403564,0.27734068036079407,0.2139289528131485,1.0,0.733189046382904,0.2329314798116684,0.5116966962814331,0.18815091252326965,0.41548454761505127,0.2329314798116684,0.1826142966747284
