,what,is,an,example,of,illegal,disobedience,?
bedau,0.1564604640007019,0.23747612535953522,0.17082901298999786,0.13752073049545288,0.29930275678634644,0.11595591902732849,0.29452526569366455,0.1762317717075348
writes,0.31006428599357605,0.2639923393726349,0.2211119532585144,0.24634401500225067,0.2183077037334442,0.17736732959747314,0.3484453856945038,0.17896029353141785
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.20470735430717468,0.2878543734550476,0.31091248989105225
``,0.008517155423760414,0.058766357600688934,0.03770720958709717,0.17130611836910248,0.06780257821083069,0.009510893374681473,0.06214885041117668,0.0685480609536171
there,0.35085538029670715,0.3904260993003845,0.22476400434970856,0.346343457698822,0.44397735595703125,0.19803547859191895,0.23306922614574432,0.29405656456947327
is,0.28837618231773376,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.17237605154514313,0.21453623473644257,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.20074772834777832,0.25352153182029724,0.23916715383529663
whole,0.38441845774650574,0.32541996240615845,0.27026090025901794,0.3286898136138916,0.4001069962978363,0.1116572916507721,0.23540908098220825,0.21052291989326477
class,0.16880196332931519,0.1275252103805542,0.16298675537109375,0.22914035618305206,0.19740594923496246,0.13652950525283813,0.1857849508523941,0.12778934836387634
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.19375135004520416,0.31932318210601807,0.1826142966747284
acts,0.24949195981025696,0.253656268119812,0.27118363976478577,0.18815334141254425,0.26445579528808594,0.27242225408554077,0.3582419753074646,0.07075770199298859
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.20470735430717468,0.2878543734550476,0.31091248989105225
undertaken,0.21811716258525848,0.18082045018672943,0.19816210865974426,0.15610411763191223,0.27399179339408875,0.167806938290596,0.31694141030311584,0.15510587394237518
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.21311107277870178,0.3054615259170532,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.18815846741199493,0.30963727831840515,0.22068053483963013
name,0.18623162806034088,0.3359788954257965,0.22033736109733582,0.252185195684433,0.24075818061828613,0.19801850616931915,0.09590744972229004,0.15381577610969543
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.19375135004520416,0.31932318210601807,0.1826142966747284
civil,0.15091551840305328,0.16941262781620026,0.15803322196006775,0.2001555860042572,0.24698495864868164,0.17244401574134827,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.21453623473644257,0.24747906625270844,0.24911116063594818,0.31932318210601807,0.35090160369873047,1.0,0.19890835881233215
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.20470735430717468,0.2878543734550476,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.3611921966075897,0.45943138003349304,0.5011631846427917,0.25010383129119873,0.3121037483215332,0.25814583897590637
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.20470735430717468,0.2878543734550476,0.31091248989105225
even,0.40872135758399963,0.28202980756759644,0.2349194884300232,0.4638634920120239,0.34735506772994995,0.3526194393634796,0.2743259370326996,0.30082517862319946
if,0.5277165174484253,0.30927813053131104,0.26347705721855164,0.5037236213684082,0.2557544410228729,0.26481735706329346,0.20446431636810303,0.4441644251346588
they,0.4431931674480438,0.330102801322937,0.2435421496629715,0.32425805926322937,0.3426007330417633,0.3087536692619324,0.3148254156112671,0.2753053903579712
were,0.22298263013362885,0.29386836290359497,0.08893381804227829,0.21319323778152466,0.34038281440734863,0.21291743218898773,0.28859755396842957,0.17890112102031708
widely,0.22598060965538025,0.3153131604194641,0.17829953134059906,0.248770073056221,0.22028475999832153,0.2319917529821396,0.20440645515918732,0.10354958474636078
practiced,0.19797801971435547,0.18294063210487366,0.10524246841669083,0.15085405111312866,0.24753569066524506,0.3404186964035034,0.3719169497489929,0.07469849288463593
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.20470735430717468,0.2878543734550476,0.31091248989105225
would,0.45766422152519226,0.33626067638397217,0.2650099992752075,0.3423042595386505,0.3353942930698395,0.2691091001033783,0.29806897044181824,0.37178951501846313
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.21311107277870178,0.3054615259170532,0.20430970191955566
themselves,0.34807315468788147,0.16502061486244202,0.1979273408651352,0.2773352265357971,0.2638634443283081,0.2645741105079651,0.3207814395427704,0.20170879364013672
constitute,0.30935925245285034,0.2940891981124878,0.1880539506673813,0.18185065686702728,0.36595216393470764,0.2570769488811493,0.2719399631023407,0.23319922387599945
hardly,0.4088069200515747,0.229164719581604,0.22818437218666077,0.21691691875457764,0.2213401049375534,0.10587157309055328,0.21170854568481445,0.34698784351348877
more,0.3484537899494171,0.2946030795574188,0.316240519285202,0.35535088181495667,0.30478984117507935,0.20592167973518372,0.2029244303703308,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.2493579238653183,0.3422342538833618,0.33036211133003235,0.1898910403251648,0.1432173252105713,0.24917294085025787
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.20074772834777832,0.25352153182029724,0.23916715383529663
nuisance,0.3584858775138855,0.26325708627700806,0.26662012934684753,0.2686561644077301,0.25584888458251953,0.2678397595882416,0.40227484703063965,0.34980157017707825
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.11165259033441544,0.14515410363674164,0.40561532974243164
