,where,by,mass,is,oxygen,a,major,part,?
oxygen,0.1672561913728714,0.1292176991701126,0.28330692648887634,0.21825239062309265,0.9999999403953552,0.21662019193172455,0.1290738582611084,0.17520982027053833,0.16786395013332367
constitutes,0.15531717240810394,0.16347359120845795,0.19704946875572205,0.3203865885734558,0.16383196413516998,0.2325153648853302,0.15727032721042633,0.3015614151954651,0.2611486315727234
49.2,0.0501909963786602,-0.05117000639438629,0.0609462708234787,0.0068962229415774345,0.1889040768146515,0.026801692321896553,-0.0692809596657753,0.03483093902468681,-0.07731907069683075
%,0.1553906351327896,0.13780950009822845,0.18895988166332245,0.18672586977481842,0.25139331817626953,0.17798779904842377,0.15979990363121033,0.13443820178508759,0.21441808342933655
of,0.38066378235816956,0.3646814823150635,0.26915112137794495,0.4854315221309662,0.16848602890968323,0.5052502155303955,0.2641255557537079,0.452393114566803,0.1826142966747284
the,0.5003893971443176,0.4408751428127289,0.2284930944442749,0.5823672413825989,0.20428593456745148,0.5829201340675354,0.31775903701782227,0.527681291103363,0.22068053483963013
earth,0.23126177489757538,0.1861492097377777,0.23690102994441986,0.26888176798820496,0.3065866231918335,0.21121151745319366,0.18192006647586823,0.16151063144207,0.17717236280441284
's,0.0007701900321990252,-0.010884488001465797,0.022538112476468086,0.02396530658006668,-0.011648092418909073,0.04866964742541313,-0.010959804058074951,0.007562864106148481,-0.023395681753754616
crust,0.183332622051239,0.14212141931056976,0.25962385535240173,0.2493407428264618,0.35231712460517883,0.17277196049690247,0.17667120695114136,0.22978553175926208,0.1887258142232895
by,0.2641284465789795,1.0000001192092896,0.21824167668819427,0.3899846076965332,0.1292176991701126,0.32094135880470276,0.19764594733715057,0.28271573781967163,0.17966607213020325
mass,0.18837785720825195,0.21824167668819427,1.0000001192092896,0.21063528954982758,0.28330692648887634,0.21558082103729248,0.11274272203445435,0.20446710288524628,0.2076406031847
and,0.43859338760375977,0.4289871156215668,0.21843883395195007,0.3859752118587494,0.22261030972003937,0.3739250600337982,0.29795366525650024,0.35301485657691956,0.20544172823429108
is,0.3586711287498474,0.3899846076965332,0.21063528954982758,1.0,0.21825239062309265,0.658733606338501,0.19079607725143433,0.4582172930240631,0.22961433231830597
the,0.5003893971443176,0.4408751428127289,0.2284930944442749,0.5823672413825989,0.20428593456745148,0.5829201340675354,0.31775903701782227,0.527681291103363,0.22068053483963013
major,0.20240604877471924,0.19764594733715057,0.11274272203445435,0.19079607725143433,0.1290738582611084,0.22990699112415314,0.9999998807907104,0.22967763245105743,0.19788557291030884
component,0.23334157466888428,0.17991994321346283,0.21826495230197906,0.327473908662796,0.2735797166824341,0.3017847537994385,0.22527745366096497,0.3099422752857208,0.14409896731376648
of,0.38066378235816956,0.3646814823150635,0.26915112137794495,0.4854315221309662,0.16848602890968323,0.5052502155303955,0.2641255557537079,0.452393114566803,0.1826142966747284
the,0.5003893971443176,0.4408751428127289,0.2284930944442749,0.5823672413825989,0.20428593456745148,0.5829201340675354,0.31775903701782227,0.527681291103363,0.22068053483963013
world,0.29259413480758667,0.22306372225284576,0.17252978682518005,0.24458536505699158,0.16971558332443237,0.22239887714385986,0.24147333204746246,0.25128042697906494,0.17579582333564758
's,0.0007701900321990252,-0.010884488001465797,0.022538112476468086,0.02396530658006668,-0.011648092418909073,0.04866964742541313,-0.010959804058074951,0.007562864106148481,-0.023395681753754616
oceans,0.2562922239303589,0.17161746323108673,0.1958574652671814,0.2352764904499054,0.39005953073501587,0.15618158876895905,0.18298666179180145,0.21781831979751587,0.16026286780834198
(,0.1970011591911316,0.20696312189102173,0.16710513830184937,0.35393038392066956,0.189798504114151,0.3206180930137634,0.19543711841106415,0.2208257019519806,0.40561532974243164
88.8,0.04128670692443848,0.10092385113239288,0.08621852099895477,-0.025020314380526543,-0.06533997505903244,0.09964489191770554,0.10131976753473282,0.047020215541124344,0.035742662847042084
%,0.1553906351327896,0.13780950009822845,0.18895988166332245,0.18672586977481842,0.25139331817626953,0.17798779904842377,0.15979990363121033,0.13443820178508759,0.21441808342933655
