,what,are,some,of,the,causes,of,child,labor,?
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.2518732249736786,0.733189046382904,0.19800683856010437,0.21506793797016144,0.22068053483963013
causes,0.1426164209842682,0.21512891352176666,0.25202733278274536,0.2544642984867096,0.2518732249736786,0.9999998807907104,0.2544642984867096,0.16126622259616852,0.08926387131214142,0.19991323351860046
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.2544642984867096,1.0,0.17253053188323975,0.23769748210906982,0.1826142966747284
child,0.21805857121944427,0.1422968953847885,0.17962506413459778,0.17253053188323975,0.19800683856010437,0.16126622259616852,0.17253053188323975,1.0000001192092896,0.26145240664482117,0.1979578584432602
labour,0.11658018827438354,0.1386631727218628,0.14529122412204742,0.18614540994167328,0.1636447161436081,0.13801822066307068,0.18614540994167328,0.2664102017879486,0.6383106112480164,0.15689024329185486
include,0.1535889357328415,0.5140694975852966,0.5271874070167542,0.37431180477142334,0.2951717972755432,0.2473497837781906,0.37431180477142334,0.13482581079006195,0.11673103272914886,0.14925788342952728
poverty,0.20925714075565338,0.14178235828876495,0.20960646867752075,0.2334604412317276,0.20494918525218964,0.23941728472709656,0.2334604412317276,0.29611656069755554,0.2877017855644226,0.16537553071975708
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.3057606518268585,0.4946078956127167,0.24469749629497528,0.2110631912946701,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.2518732249736786,0.733189046382904,0.19800683856010437,0.21506793797016144,0.22068053483963013
lack,0.28247135877609253,0.32981225848197937,0.42776554822921753,0.2861039936542511,0.2674623131752014,0.250794917345047,0.2861039936542511,0.15031540393829346,0.16338315606117249,0.16953514516353607
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.2544642984867096,1.0,0.17253053188323975,0.23769748210906982,0.1826142966747284
access,0.2685140371322632,0.26493874192237854,0.3065975308418274,0.22348599135875702,0.22827552258968353,0.15027077496051788,0.22348599135875702,0.1784585416316986,0.2511519193649292,0.2482174038887024
to,0.455847829580307,0.3504326641559601,0.4636894166469574,0.41548454761505127,0.535392165184021,0.2537674903869629,0.41548454761505127,0.1868607997894287,0.21037620306015015,0.29463258385658264
education,0.19940856099128723,0.14324818551540375,0.17574875056743622,0.3015166223049164,0.23982903361320496,0.1418030858039856,0.3015166223049164,0.30404531955718994,0.32527196407318115,0.18067774176597595
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.2964467406272888,0.5116966962814331,0.22121839225292206,0.22200584411621094,0.20544172823429108
weak,0.2838204503059387,0.22773078083992004,0.30554890632629395,0.19737732410430908,0.19635674357414246,0.2727785110473633,0.19737732410430908,0.13191215693950653,0.14462503790855408,0.1458035111427307
government,0.28074538707733154,0.20126859843730927,0.2568245828151703,0.3475167155265808,0.31798112392425537,0.1489202082157135,0.3475167155265808,0.16732050478458405,0.34798455238342285,0.18851417303085327
institutions,0.22018329799175262,0.24231413006782532,0.33144935965538025,0.3371490240097046,0.2776423394680023,0.20647652447223663,0.3371490240097046,0.13326677680015564,0.2945884168148041,0.19119486212730408
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.26090872287750244,0.5352458953857422,0.21665646135807037,0.2150036245584488,0.4130953550338745
