,besides,abc,news,",",what,other,division,was,roone,arledge,president,of,?
in,0.3447916507720947,0.1697147786617279,0.19753123819828033,0.5201468467712402,0.30808621644973755,0.39989137649536133,0.2658538520336151,0.45514053106307983,0.19310562312602997,0.3222145140171051,0.18811661005020142,0.5696388483047485,0.20430970191955566
1977,0.006259096320718527,-0.03946845605969429,-0.012250939384102821,0.03737548738718033,-0.14419497549533844,0.0855221226811409,0.028865119442343712,0.047073230147361755,-0.010399964638054371,0.07060518115758896,-0.007808472495526075,0.09827802330255508,-0.059247612953186035
",",0.340058833360672,0.2097204476594925,0.25081464648246765,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.24344468116760254,0.45456063747406006,0.28593817353248596,0.38625943660736084,0.26552814245224,0.4946078956127167,0.31091248989105225
roone,0.168870747089386,0.30657878518104553,0.20402652025222778,0.28593817353248596,0.17437835037708282,0.16807973384857178,0.19655370712280273,0.2372283935546875,1.0000001192092896,0.3567717671394348,0.2821989953517914,0.21601058542728424,0.21176548302173615
arledge,0.22474513947963715,0.31692740321159363,0.21971860527992249,0.38625943660736084,0.3535206913948059,0.26579350233078003,0.18766266107559204,0.23825472593307495,0.3567717671394348,1.0,0.168301522731781,0.382069855928421,0.30967646837234497
was,0.24878661334514618,0.21565799415111542,0.1809975951910019,0.45456063747406006,0.22111038863658905,0.14651623368263245,0.2174251824617386,1.0000001192092896,0.2372283935546875,0.23825472593307495,0.2505730390548706,0.4069072902202606,0.18412111699581146
named,0.23466262221336365,0.2247007191181183,0.13983704149723053,0.2530003488063812,0.1525408923625946,0.1899193674325943,0.21097950637340546,0.37528327107429504,0.23372623324394226,0.1689491868019104,0.15809892117977142,0.2820465862751007,0.1297498345375061
president,0.1363532841205597,0.20593604445457458,0.1919996291399002,0.26552814245224,0.1870913952589035,0.11147172003984451,0.1618221253156662,0.2505730390548706,0.2821989953517914,0.168301522731781,1.0000001192092896,0.21610750257968903,0.14148259162902832
of,0.3665722906589508,0.14607268571853638,0.1894020140171051,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.23579144477844238,0.4069072902202606,0.21601058542728424,0.382069855928421,0.21610750257968903,1.0,0.1826142966747284
the,0.367077499628067,0.2068762183189392,0.2294066995382309,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.26203617453575134,0.48711544275283813,0.24336695671081543,0.38004153966903687,0.24330610036849976,0.733189046382904,0.22068053483963013
new,0.19977866113185883,0.20663127303123474,0.19536228477954865,0.36073189973831177,0.2130378633737564,0.2957918047904968,0.18144427239894867,0.2748313844203949,0.20817528665065765,0.30596715211868286,0.14439737796783447,0.343457967042923,0.14782847464084625
abc,0.10945095121860504,1.0000001192092896,0.40620431303977966,0.2097204476594925,0.1317344456911087,0.10159935057163239,0.24142871797084808,0.21565799415111542,0.30657878518104553,0.31692740321159363,0.20593604445457458,0.14607268571853638,0.19065172970294952
news,0.20068779587745667,0.40620431303977966,0.9999999403953552,0.25081464648246765,0.2584491968154907,0.20755094289779663,0.15417103469371796,0.1809975951910019,0.20402652025222778,0.21971860527992249,0.1919996291399002,0.1894020140171051,0.1899169683456421
in,0.3447916507720947,0.1697147786617279,0.19753123819828033,0.5201468467712402,0.30808621644973755,0.39989137649536133,0.2658538520336151,0.45514053106307983,0.19310562312602997,0.3222145140171051,0.18811661005020142,0.5696388483047485,0.20430970191955566
addition,0.4132236838340759,0.15853777527809143,0.16933903098106384,0.3040202856063843,0.20643717050552368,0.3792383074760437,0.21975094079971313,0.2078816294670105,0.17796608805656433,0.20015493035316467,0.0852181538939476,0.27503931522369385,0.19187232851982117
to,0.3272998631000519,0.1762417107820511,0.2372783124446869,0.44245919585227966,0.455847829580307,0.4193183183670044,0.20332986116409302,0.3636345863342285,0.19877086579799652,0.4098800718784332,0.21247753500938416,0.41548454761505127,0.29463258385658264
being,0.3255082964897156,0.10816651582717896,0.19596634805202484,0.34499165415763855,0.3760843276977539,0.37174108624458313,0.1483956128358841,0.5201660394668579,0.1825326681137085,0.23258332908153534,0.14944888651371002,0.34885138273239136,0.26743772625923157
president,0.1363532841205597,0.20593604445457458,0.1919996291399002,0.26552814245224,0.1870913952589035,0.11147172003984451,0.1618221253156662,0.2505730390548706,0.2821989953517914,0.168301522731781,1.0000001192092896,0.21610750257968903,0.14148259162902832
of,0.3665722906589508,0.14607268571853638,0.1894020140171051,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.23579144477844238,0.4069072902202606,0.21601058542728424,0.382069855928421,0.21610750257968903,1.0,0.1826142966747284
abc,0.10945095121860504,1.0000001192092896,0.40620431303977966,0.2097204476594925,0.1317344456911087,0.10159935057163239,0.24142871797084808,0.21565799415111542,0.30657878518104553,0.31692740321159363,0.20593604445457458,0.14607268571853638,0.19065172970294952
sports,0.2191578596830368,0.20410163700580597,0.3389986753463745,0.2693314254283905,0.13245077431201935,0.20540708303451538,0.18151158094406128,0.19941140711307526,0.19914017617702484,0.24245014786720276,0.19719795882701874,0.24392472207546234,0.04557104781270027
.,0.28636154532432556,0.2567209303379059,0.18083259463310242,0.6812511086463928,0.3567904531955719,0.41511186957359314,0.27855971455574036,0.40146201848983765,0.27208390831947327,0.3501335084438324,0.26255303621292114,0.5352458953857422,0.4130953550338745
