,what,does,it,mean,for,a,disease,to,be,enzootic,?
the,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.25977957248687744,0.4739971458911896,0.5829201340675354,0.22720423340797424,0.535392165184021,0.4248143136501312,0.3183557093143463,0.22068053483963013
plague,0.22263506054878235,0.11111249774694443,0.28122323751449585,0.15488354861736298,0.1471073478460312,0.22077761590480804,0.43937912583351135,0.21845681965351105,0.15983276069164276,0.2647716999053955,0.11872942000627518
disease,0.2391042411327362,0.15054139494895935,0.2126798927783966,0.13677535951137543,0.21683698892593384,0.18050196766853333,1.0,0.261801153421402,0.19325241446495056,0.30285605788230896,0.16159942746162415
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
caused,0.22264783084392548,0.2070610225200653,0.16968581080436707,0.2496805638074875,0.1862620860338211,0.22472180426120758,0.3802638053894043,0.2414499819278717,0.22316482663154602,0.21725311875343323,0.20679491758346558
by,0.2455483376979828,0.143477201461792,0.40926623344421387,0.1560223549604416,0.3248702883720398,0.32094135880470276,0.15786179900169373,0.33534231781959534,0.43158695101737976,0.27086296677589417,0.17966607213020325
yersinia,0.2697097361087799,0.1652965545654297,0.26298657059669495,0.21169263124465942,0.14848415553569794,0.274239182472229,0.41797149181365967,0.26062262058258057,0.2656007707118988,0.4549185633659363,0.22753337025642395
pestis,0.20065881311893463,0.1334441602230072,0.2283667027950287,0.15742400288581848,0.18700870871543884,0.1855652928352356,0.4636770486831665,0.20381589233875275,0.27711811661720276,0.4087072014808655,0.2471543848514557
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
is,0.28837618231773376,0.4403602182865143,0.6328473687171936,0.3152560591697693,0.43268078565597534,0.658733606338501,0.23218606412410736,0.42745086550712585,0.4819129705429077,0.27891701459884644,0.22961433231830597
enzootic,0.20999540388584137,0.1929263174533844,0.3153429627418518,0.1966400444507599,0.3116777837276459,0.3722282946109772,0.30285605788230896,0.32058417797088623,0.34567591547966003,0.9999998807907104,0.17021062970161438
(,0.2411840260028839,0.2728188931941986,0.2745298147201538,0.24319502711296082,0.3357032239437103,0.3206180930137634,0.18480074405670166,0.30882009863853455,0.2349044382572174,0.28202834725379944,0.40561532974243164
commonly,0.18122613430023193,0.15731781721115112,0.2820725440979004,0.22418612241744995,0.27418190240859985,0.27022549510002136,0.186463862657547,0.2571072280406952,0.3145580291748047,0.31042876839637756,0.13546277582645416
present,0.30940163135528564,0.19336256384849548,0.20883789658546448,0.1285189688205719,0.2564438581466675,0.14277903735637665,0.17745144665241241,0.2453051209449768,0.1725894659757614,0.20876461267471313,0.21759982407093048
),0.26259949803352356,0.2575884759426117,0.28560304641723633,0.2426333725452423,0.3639558255672455,0.3640355169773102,0.17245085537433624,0.31236231327056885,0.24578070640563965,0.28642523288726807,0.42300865054130554
in,0.30808621644973755,0.214483380317688,0.5130809545516968,0.2099098116159439,0.4322226941585541,0.539380669593811,0.2769028842449188,0.45010748505592346,0.3481820821762085,0.3270629048347473,0.20430970191955566
populations,0.19647875428199768,0.20781418681144714,0.2608520984649658,0.25845128297805786,0.16319143772125244,0.20712152123451233,0.3000733256340027,0.21785755455493927,0.22982792556285858,0.2675227224826813,0.17519071698188782
