,how,many,of,the,network,'s,stations,are,owned-and-operated,?
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.27187061309814453,-0.01540423184633255,0.24762700498104095,0.40399202704429626,0.27652397751808167,0.22068053483963013
television,0.20427560806274414,0.23433995246887207,0.21995750069618225,0.24569597840309143,0.4371747076511383,0.11021530628204346,0.3494590222835541,0.1666387915611267,0.2781490981578827,0.16825827956199646
network,0.22464405000209808,0.21386827528476715,0.21800683438777924,0.27187061309814453,1.0000001192092896,0.07819218933582306,0.4009798467159271,0.2036537528038025,0.40070033073425293,0.17853789031505585
has,0.26820555329322815,0.4266262650489807,0.3909035325050354,0.4177538752555847,0.18401741981506348,-0.040683966130018234,0.2237684279680252,0.4313911199569702,0.24421635270118713,0.15994466841220856
eight,0.222213014960289,0.348200261592865,0.3220755457878113,0.34254369139671326,0.18263043463230133,-0.0007583110127598047,0.2167072892189026,0.28273332118988037,0.2391359508037567,0.11634626984596252
owned-and-operated,0.18262343108654022,0.21607306599617004,0.27541932463645935,0.27652397751808167,0.40070033073425293,0.05051472410559654,0.3868453800678253,0.25821736454963684,1.0,0.2376745194196701
and,0.33647966384887695,0.5296266674995422,0.5116966962814331,0.5171257257461548,0.27591994404792786,0.06895173341035843,0.2687023878097534,0.48576638102531433,0.29700908064842224,0.20544172823429108
over,0.31446483731269836,0.47131630778312683,0.36136594414711,0.39856547117233276,0.2158103585243225,0.016215575858950615,0.2766588032245636,0.2778770923614502,0.2722322940826416,0.25742942094802856
232,-0.03431374207139015,0.04284070059657097,0.03472590819001198,0.014044596813619137,-0.01898353546857834,0.020085511729121208,-0.03325878456234932,0.07817833125591278,0.12463977187871933,0.14184536039829254
affiliated,0.07409363240003586,0.19444812834262848,0.23497317731380463,0.2365114837884903,0.3800021708011627,0.0344148613512516,0.3117665648460388,0.19866521656513214,0.4463087320327759,0.09345421195030212
television,0.20427560806274414,0.23433995246887207,0.21995750069618225,0.24569597840309143,0.4371747076511383,0.11021530628204346,0.3494590222835541,0.1666387915611267,0.2781490981578827,0.16825827956199646
stations,0.18198855221271515,0.2893238365650177,0.20414425432682037,0.24762700498104095,0.4009798467159271,0.029389679431915283,1.0,0.28331783413887024,0.3868453800678253,0.13192185759544373
throughout,0.2546801269054413,0.4781026542186737,0.35374847054481506,0.4158564507961273,0.22571468353271484,0.002080083591863513,0.2462133914232254,0.29618778824806213,0.2683098018169403,0.12665234506130219
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.27187061309814453,-0.01540423184633255,0.24762700498104095,0.40399202704429626,0.27652397751808167,0.22068053483963013
united,0.19034643471240997,0.2670816481113434,0.3187655806541443,0.34367692470550537,0.1803126037120819,-0.03853745758533478,0.2495407909154892,0.16919764876365662,0.3435363173484802,0.17266890406608582
states,0.20841296017169952,0.29976361989974976,0.30884552001953125,0.3463578522205353,0.18116310238838196,-0.004298824816942215,0.2534271776676178,0.1846873015165329,0.3037812113761902,0.16272737085819244
and,0.33647966384887695,0.5296266674995422,0.5116966962814331,0.5171257257461548,0.27591994404792786,0.06895173341035843,0.2687023878097534,0.48576638102531433,0.29700908064842224,0.20544172823429108
its,0.22449488937854767,0.3319723308086395,0.48690423369407654,0.559237003326416,0.25264307856559753,0.03202139586210251,0.2549050748348236,0.30942749977111816,0.25718459486961365,0.15103481709957123
territories,0.12893031537532806,0.20857103168964386,0.2877243757247925,0.30191943049430847,0.17898979783058167,0.04436424747109413,0.18687975406646729,0.23005296289920807,0.3517554998397827,0.11298645287752151
.,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.23909442126750946,-0.003708066651597619,0.22839494049549103,0.3452940285205841,0.3145162761211395,0.4130953550338745
