,what,else,did,the,new,consitution,change,?
among,0.21154822409152985,0.11787237972021103,0.2415449470281601,0.3507058024406433,0.1640370488166809,0.22368066012859344,0.15442907810211182,0.14343059062957764
other,0.341873437166214,0.2914620637893677,0.31707024574279785,0.44152235984802246,0.2957918047904968,0.26955294609069824,0.3061826229095459,0.24682199954986572
things,0.5577362775802612,0.4013567268848419,0.362071692943573,0.30825191736221313,0.21526657044887543,0.27998313307762146,0.409891813993454,0.36181706190109253
",",0.3087472915649414,0.2643522322177887,0.3015086054801941,0.4933079481124878,0.36073189973831177,0.24608995020389557,0.2752361297607422,0.31091248989105225
the,0.42745697498321533,0.19370581209659576,0.34736719727516174,1.0,0.3845241069793701,0.35714125633239746,0.3641999065876007,0.22068053483963013
new,0.2130378633737564,0.18226130306720734,0.227974995970726,0.3845241069793701,0.9999999403953552,0.2605225741863251,0.24499863386154175,0.14782847464084625
constitution,0.26995089650154114,0.20326316356658936,0.2324613779783249,0.3381718397140503,0.2695517838001251,0.7500621676445007,0.25646474957466125,0.23706454038619995
delegates,0.21572017669677734,0.22054101526737213,0.20380783081054688,0.2935996651649475,0.21426527202129364,0.4149481952190399,0.1839054524898529,0.1611657589673996
more,0.3484537899494171,0.3299073874950409,0.2803135812282562,0.39758381247520447,0.3023035526275635,0.3392849862575531,0.34770509600639343,0.27894994616508484
power,0.22216427326202393,0.16889753937721252,0.2120266556739807,0.2647338807582855,0.20792555809020996,0.36338070034980774,0.20856714248657227,0.15304024517536163
to,0.455847829580307,0.36551961302757263,0.4452643394470215,0.535392165184021,0.33159172534942627,0.33904922008514404,0.3581787943840027,0.29463258385658264
local,0.18981902301311493,0.2662591338157654,0.1319427639245987,0.2130540907382965,0.19920945167541504,0.18975159525871277,0.1653207242488861,0.15022775530815125
governments,0.2814749777317047,0.22469690442085266,0.30091071128845215,0.2835306227207184,0.22201107442378998,0.5088868737220764,0.23870821297168732,0.18805137276649475
and,0.31309178471565247,0.2664144039154053,0.34479495882987976,0.5171257257461548,0.31402453780174255,0.30887335538864136,0.2438346892595291,0.20544172823429108
gives,0.20556846261024475,0.20161665976047516,0.21164275705814362,0.3072636127471924,0.10220396518707275,0.25769567489624023,0.2894805371761322,0.2204105257987976
kenyans,0.20263339579105377,0.1856309175491333,0.2702021896839142,0.24414950609207153,0.14690281450748444,0.20072050392627716,0.20743755996227264,0.18293815851211548
a,0.3320399522781372,0.22029639780521393,0.2552328109741211,0.5829201340675354,0.3214259147644043,0.3165115416049957,0.3047741651535034,0.23916715383529663
bill,0.16425743699073792,0.14775414764881134,0.1905326098203659,0.24155211448669434,0.20413362979888916,0.2190542072057724,0.17680735886096954,0.12855131924152374
of,0.33290785551071167,0.1318979412317276,0.2513895630836487,0.733189046382904,0.343457967042923,0.34844863414764404,0.2569013833999634,0.1826142966747284
rights,0.2386135458946228,0.19432352483272552,0.2525300085544586,0.2579100430011749,0.18532176315784454,0.3649064004421234,0.22180216014385223,0.21814769506454468
.,0.3567904531955719,0.30548352003097534,0.35288307070732117,0.5934505462646484,0.35031336545944214,0.23655034601688385,0.3244723975658417,0.4130953550338745
