,how,are,eggs,and,sperm,released,?
the,0.33890387415885925,0.40399202704429626,0.18844112753868103,0.5171257257461548,0.22325800359249115,0.24578391015529633,0.22068053483963013
gonads,0.2757374942302704,0.3674849569797516,0.41829508543014526,0.29444146156311035,0.5883470177650452,0.3016680181026459,0.14164458215236664
are,0.311818927526474,1.0,0.3175458312034607,0.48576638102531433,0.26711368560791016,0.17719070613384247,0.24591213464736938
located,0.09566320478916168,0.24096766114234924,0.08418508619070053,0.24183952808380127,0.11980173736810684,0.11746343970298767,0.08983194828033447
in,0.2601168751716614,0.3841303884983063,0.15860499441623688,0.4954058527946472,0.163544163107872,0.2659924626350403,0.20430970191955566
the,0.33890387415885925,0.40399202704429626,0.18844112753868103,0.5171257257461548,0.22325800359249115,0.24578391015529633,0.22068053483963013
parts,0.264614999294281,0.3642873466014862,0.19909197092056274,0.3901200294494629,0.18376153707504272,0.17248591780662537,0.12310896813869476
of,0.2480744868516922,0.39081433415412903,0.16213075816631317,0.5116966962814331,0.19975972175598145,0.17721395194530487,0.1826142966747284
the,0.33890387415885925,0.40399202704429626,0.18844112753868103,0.5171257257461548,0.22325800359249115,0.24578391015529633,0.22068053483963013
internal,0.19838258624076843,0.22819802165031433,0.1692523956298828,0.2423776090145111,0.26745176315307617,0.1562928706407547,0.1665428727865219
canal,0.07712540030479431,0.11149616539478302,0.13721014559268951,0.22985301911830902,0.27831101417541504,0.051496993750333786,0.1123519018292427
network,0.22464405000209808,0.2036537528038025,0.12220669537782669,0.27591994404792786,0.1380128264427185,0.22116902470588684,0.17853789031505585
under,0.23006081581115723,0.2196284979581833,0.15696971118450165,0.3005301356315613,0.14895685017108917,0.20054972171783447,0.18233340978622437
the,0.33890387415885925,0.40399202704429626,0.18844112753868103,0.5171257257461548,0.22325800359249115,0.24578391015529633,0.22068053483963013
comb,0.26035574078559875,0.29309141635894775,0.23300613462924957,0.28039759397506714,0.3364364802837372,0.1125611737370491,0.2510223686695099
rows,0.23732048273086548,0.38430702686309814,0.22948314249515533,0.28445664048194885,0.22898316383361816,0.1224481612443924,0.1265581250190735
",",0.22659391164779663,0.4062570035457611,0.22180765867233276,0.6633074283599854,0.1869887113571167,0.2775750756263733,0.31091248989105225
and,0.33647966384887695,0.48576638102531433,0.23515591025352478,1.0,0.22000087797641754,0.2706851661205292,0.20544172823429108
eggs,0.21213866770267487,0.3175458312034607,1.0,0.23515591025352478,0.5058096051216125,0.17352427542209625,0.1739477664232254
and,0.33647966384887695,0.48576638102531433,0.23515591025352478,1.0,0.22000087797641754,0.2706851661205292,0.20544172823429108
sperm,0.21602705121040344,0.26711368560791016,0.5058096051216125,0.22000087797641754,1.0,0.22845526039600372,0.16449850797653198
are,0.311818927526474,1.0,0.3175458312034607,0.48576638102531433,0.26711368560791016,0.17719070613384247,0.24591213464736938
released,0.17113035917282104,0.17719070613384247,0.17352427542209625,0.2706851661205292,0.22845526039600372,1.0,0.20329579710960388
via,0.13460594415664673,0.16915540397167206,0.010027360171079636,0.20018906891345978,0.16659386456012726,0.1704833060503006,0.19443516433238983
pores,0.22087989747524261,0.31859415769577026,0.3578914999961853,0.25870856642723083,0.46942585706710815,0.20353826880455017,0.1381843090057373
in,0.2601168751716614,0.3841303884983063,0.15860499441623688,0.4954058527946472,0.163544163107872,0.2659924626350403,0.20430970191955566
the,0.33890387415885925,0.40399202704429626,0.18844112753868103,0.5171257257461548,0.22325800359249115,0.24578391015529633,0.22068053483963013
epidermis,0.19622032344341278,0.28434187173843384,0.39404425024986267,0.29016411304473877,0.5340720415115356,0.2646738886833191,0.17589372396469116
.,0.3287222981452942,0.3452940285205841,0.2508009970188141,0.588965117931366,0.21084541082382202,0.298698753118515,0.4130953550338745
