,the,rhine,forms,an,inland,delta,into,which,lake,?
the,1.0,0.30735138058662415,0.2950737178325653,0.4207492768764496,0.28756555914878845,0.22022446990013123,0.39493247866630554,0.6521818041801453,0.24325428903102875,0.22068053483963013
mouth,0.3073960244655609,0.2271108478307724,0.2466898113489151,0.15102826058864594,0.30955177545547485,0.2508765459060669,0.2825087904930115,0.2868998646736145,0.24189504981040955,0.21761061251163483
of,0.733189046382904,0.2548927664756775,0.33835989236831665,0.32280945777893066,0.2589372992515564,0.20736707746982574,0.32255905866622925,0.5011631846427917,0.23993153870105743,0.1826142966747284
the,1.0,0.30735138058662415,0.2950737178325653,0.4207492768764496,0.28756555914878845,0.22022446990013123,0.39493247866630554,0.6521818041801453,0.24325428903102875,0.22068053483963013
rhine,0.30735138058662415,1.0,0.20136399567127228,0.07200640439987183,0.24103295803070068,0.21930839121341705,0.1991104632616043,0.18744276463985443,0.22246339917182922,0.13754533231258392
into,0.39493247866630554,0.1991104632616043,0.30808964371681213,0.2105669528245926,0.24008716642856598,0.2030922770500183,1.0,0.4405161738395691,0.1555050164461136,0.15662476420402527
lake,0.24325428903102875,0.22246339917182922,0.18536002933979034,0.143422931432724,0.41285714507102966,0.20466861128807068,0.1555050164461136,0.2097730040550232,1.0000001192092896,0.07226386666297913
constance,0.23177717626094818,0.33406126499176025,0.13276493549346924,0.13987959921360016,0.18023110926151276,0.17872406542301178,0.16675768792629242,0.12851473689079285,0.30982735753059387,0.1427515298128128
forms,0.2950737178325653,0.20136399567127228,1.0,0.20661139488220215,0.2009487897157669,0.21614815294742584,0.30808964371681213,0.4084344804286957,0.18536002933979034,0.1196754202246666
an,0.4207492768764496,0.07200640439987183,0.20661139488220215,1.0,0.16114823520183563,0.14560812711715698,0.2105669528245926,0.3611921966075897,0.143422931432724,0.19793890416622162
inland,0.28756555914878845,0.24103295803070068,0.2009487897157669,0.16114823520183563,1.0000001192092896,0.3055308163166046,0.24008716642856598,0.2825321853160858,0.41285714507102966,0.1506642997264862
delta,0.22022446990013123,0.21930839121341705,0.21614815294742584,0.14560812711715698,0.3055308163166046,1.0000001192092896,0.2030922770500183,0.2308332473039627,0.20466861128807068,0.14208948612213135
.,0.5934505462646484,0.2089352011680603,0.24305115640163422,0.3581749200820923,0.280521422624588,0.20923152565956116,0.26250120997428894,0.45942068099975586,0.18603695929050446,0.4130953550338745
