,what,kind,of,destruction,did,the,1994,earthquake,cause,the,most,of,in,us,history,?
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.24201256036758423,0.2993364930152893,0.6251175999641418,0.02145816758275032,0.23454011976718903,0.26461511850357056,0.6251175999641418,0.4001435935497284,0.38761502504348755,0.5130809545516968,0.28048714995384216,0.2701857089996338,0.25732165575027466
caused,0.22264783084392548,0.23614826798439026,0.29665443301200867,0.4045335352420807,0.2858860194683075,0.24990202486515045,0.036817844957113266,0.3355231285095215,0.7314810156822205,0.24990202486515045,0.21835558116436005,0.29665443301200867,0.2494886964559555,0.153914213180542,0.14824819564819336,0.20679491758346558
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3148382306098938,0.34736719727516174,1.0,-0.03378653898835182,0.23442360758781433,0.2551237642765045,1.0,0.47635307908058167,0.733189046382904,0.6662389636039734,0.25727739930152893,0.33215048909187317,0.22068053483963013
most,0.3219912350177765,0.3164631724357605,0.4178851246833801,0.2286584973335266,0.2822507321834564,0.47635307908058167,-0.016082359477877617,0.19002923369407654,0.2901781499385834,0.47635307908058167,1.0,0.4178851246833801,0.41416558623313904,0.180059552192688,0.3151164948940277,0.2107497900724411
property,0.24978817999362946,0.19268450140953064,0.2299845814704895,0.29865795373916626,0.17186422646045685,0.2061677873134613,-0.016510535031557083,0.14119315147399902,0.2582155466079712,0.2061677873134613,0.16551312804222107,0.2299845814704895,0.19798405468463898,0.1808849275112152,0.1313663274049759,0.16865147650241852
damage,0.2590121924877167,0.19095481932163239,0.23761005699634552,0.5132837295532227,0.24770227074623108,0.2545957863330841,0.047214824706315994,0.4076651632785797,0.5174788236618042,0.2545957863330841,0.21740946173667908,0.23761005699634552,0.21804088354110718,0.20650336146354675,0.1680355668067932,0.2121051400899887
of,0.33290785551071167,0.2285657674074173,1.0,0.30908554792404175,0.2513895630836487,0.733189046382904,-0.07057395577430725,0.2380685806274414,0.25979894399642944,0.733189046382904,0.4178851246833801,1.0,0.5696388483047485,0.23568789660930634,0.31014925241470337,0.1826142966747284
any,0.43670421838760376,0.3670198917388916,0.3769088089466095,0.250813364982605,0.37563082575798035,0.4525727927684784,0.010141977109014988,0.1409754902124405,0.42662984132766724,0.4525727927684784,0.3733811676502228,0.3769088089466095,0.3135753571987152,0.2470182180404663,0.2853676676750183,0.4113408327102661
earthquake,0.2103385031223297,0.053655363619327545,0.2380685806274414,0.3091372847557068,0.11400901526212692,0.23442360758781433,0.0531698539853096,1.0,0.2246326506137848,0.23442360758781433,0.19002923369407654,0.2380685806274414,0.254849374294281,0.08071679621934891,0.18615040183067322,0.1966235339641571
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2888343632221222,0.2593238651752472,0.6662389636039734,0.007567534223198891,0.254849374294281,0.24822883307933807,0.6662389636039734,0.41416558623313904,0.5696388483047485,1.0,0.19746538996696472,0.29215577244758606,0.20430970191955566
