,what,other,health,issues,did,luther,have,?
in,0.30808621644973755,0.39989137649536133,0.2500189542770386,0.17748555541038513,0.2593238651752472,0.20523880422115326,0.36843645572662354,0.20430970191955566
1536,0.1077212318778038,0.13335537910461426,0.09345118701457977,0.16348735988140106,0.0897965133190155,0.11354392021894455,0.04631354287266731,0.32498520612716675
",",0.3087472915649414,0.4446498453617096,0.2331448197364807,0.2560703754425049,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.31091248989105225
he,0.3114890456199646,0.24213658273220062,0.2846643030643463,0.23803909122943878,0.3292143940925598,0.2454872578382492,0.3020331561565399,0.2089974731206894
began,0.1665823757648468,0.2022596150636673,0.1331481784582138,0.1609167903661728,0.4415510594844818,0.17262868583202362,0.1338469535112381,0.1370266228914261
to,0.455847829580307,0.4193183183670044,0.29985085129737854,0.27458062767982483,0.4452643394470215,0.18029534816741943,0.4544740617275238,0.29463258385658264
suffer,0.3221397399902344,0.29521051049232483,0.3364117741584778,0.29557889699935913,0.2755928337574005,0.11103121936321259,0.39230644702911377,0.15359681844711304
from,0.2737620174884796,0.30141791701316833,0.17037683725357056,0.19454032182693481,0.20248863101005554,0.10716932266950607,0.30702701210975647,0.19969791173934937
kidney,0.22124111652374268,0.2139320820569992,0.31922802329063416,0.10412154346704483,0.13669174909591675,0.15951386094093323,0.17095796763896942,0.21399319171905518
and,0.31309178471565247,0.5504306554794312,0.3215619623661041,0.2817770540714264,0.34479495882987976,0.20796556770801544,0.4711785912513733,0.20544172823429108
bladder,0.19749939441680908,0.2205892652273178,0.25968170166015625,0.20679518580436707,0.1060047447681427,0.15474480390548706,0.21036680042743683,0.19116520881652832
stones,0.16966110467910767,0.2698829174041748,0.1595463752746582,0.18546903133392334,0.18296179175376892,0.1890476942062378,0.24886299669742584,0.14384394884109497
",",0.3087472915649414,0.4446498453617096,0.2331448197364807,0.2560703754425049,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.5504306554794312,0.3215619623661041,0.2817770540714264,0.34479495882987976,0.20796556770801544,0.4711785912513733,0.20544172823429108
arthritis,0.21903404593467712,0.20061218738555908,0.43555617332458496,0.2843106985092163,0.18527059257030487,0.1431461125612259,0.25819334387779236,0.2226410061120987
",",0.3087472915649414,0.4446498453617096,0.2331448197364807,0.2560703754425049,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.5504306554794312,0.3215619623661041,0.2817770540714264,0.34479495882987976,0.20796556770801544,0.4711785912513733,0.20544172823429108
an,0.2821882665157318,0.1556563824415207,0.1369510293006897,0.15693901479244232,0.22598257660865784,0.10983039438724518,0.22897054255008698,0.19793890416622162
ear,0.1741301566362381,0.1697833240032196,0.20833171904087067,0.15984900295734406,0.19169488549232483,0.16973145306110382,0.25917574763298035,0.1579822301864624
infection,0.17579561471939087,0.235726997256279,0.3950081765651703,0.1579902619123459,0.13334374129772186,0.14841525256633759,0.24533464014530182,0.18650056421756744
ruptured,0.12169227749109268,0.17639341950416565,0.1964488923549652,0.16074705123901367,0.15292508900165558,0.15471765398979187,0.19482289254665375,0.15989695489406586
an,0.2821882665157318,0.1556563824415207,0.1369510293006897,0.15693901479244232,0.22598257660865784,0.10983039438724518,0.22897054255008698,0.19793890416622162
ear,0.1741301566362381,0.1697833240032196,0.20833171904087067,0.15984900295734406,0.19169488549232483,0.16973145306110382,0.25917574763298035,0.1579822301864624
drum,0.20805194973945618,0.20681555569171906,0.05527419596910477,0.1079147607088089,0.1597478687763214,0.12497886270284653,0.13915681838989258,0.1273449808359146
.,0.3567904531955719,0.41511186957359314,0.25832483172416687,0.23493336141109467,0.35288307070732117,0.24907569587230682,0.41614407300949097,0.4130953550338745
