,what,first,opened,in,1837,?
the,0.42745697498321533,0.49448907375335693,0.28544309735298157,0.6662389636039734,-0.04265937954187393,0.22068053483963013
largest,0.13463157415390015,0.25420719385147095,0.261300653219223,0.3017216920852661,0.026395248249173164,0.12401245534420013
",",0.3087472915649414,0.34503069519996643,0.24598844349384308,0.5201468467712402,-0.054723117500543594,0.31091248989105225
the,0.42745697498321533,0.49448907375335693,0.28544309735298157,0.6662389636039734,-0.04265937954187393,0.22068053483963013
theatre,0.12211663275957108,0.22594355046749115,0.35501691699028015,0.26776230335235596,-0.20522870123386383,0.1159285232424736
royal,0.16189028322696686,0.2593725025653839,0.18340325355529785,0.22172321379184723,-0.19336417317390442,0.11453001946210861
on,0.34226128458976746,0.3120559751987457,0.2514764964580536,0.46853652596473694,0.07342919707298279,0.2714994251728058
grey,0.13404807448387146,0.1758413463830948,0.0854237824678421,0.2611379623413086,-0.011204520240426064,0.1291438490152359
street,0.14271703362464905,0.16979321837425232,0.3323839604854584,0.2281111478805542,-0.028215715661644936,0.07315441966056824
",",0.3087472915649414,0.34503069519996643,0.24598844349384308,0.5201468467712402,-0.054723117500543594,0.31091248989105225
first,0.28086137771606445,1.0,0.2630454897880554,0.4127444326877594,-0.14556998014450073,0.18701928853988647
opened,0.14500318467617035,0.2630454897880554,1.0,0.2972770035266876,-0.03020554967224598,0.1934700310230255
in,0.30808621644973755,0.4127444326877594,0.2972770035266876,1.0,-0.045662105083465576,0.20430970191955566
1837,0.1255304515361786,-0.14556998014450073,-0.03020554967224598,-0.045662105083465576,1.0000001192092896,0.020591329783201218
",",0.3087472915649414,0.34503069519996643,0.24598844349384308,0.5201468467712402,-0.054723117500543594,0.31091248989105225
designed,0.15902110934257507,0.201524555683136,0.3401327133178711,0.22657902538776398,0.04828276485204697,0.11213942617177963
by,0.2455483376979828,0.3877052962779999,0.17930090427398682,0.370934396982193,-0.04719213396310806,0.17966607213020325
john,0.18237407505512238,0.2870165705680847,0.1271437406539917,0.22177861630916595,-0.13052082061767578,0.13162356615066528
and,0.31309178471565247,0.3167642652988434,0.22545495629310608,0.4954058527946472,0.008132380433380604,0.20544172823429108
benjamin,0.18476101756095886,0.22370125353336334,0.18689917027950287,0.20055828988552094,-0.164326474070549,0.20336422324180603
green,0.16762696206569672,0.17298316955566406,0.13244645297527313,0.22731968760490417,0.019511478021740913,0.11409882456064224
.,0.3567904531955719,0.4345304071903229,0.26111578941345215,0.5591574311256409,0.009645800106227398,0.4130953550338745
