,what,revolutionary,war,midnight,rider,was,a,huguenot,descendant,?
paul,0.11217030137777328,0.15267615020275116,0.14847950637340546,0.22005625069141388,0.1258554309606552,0.24299268424510956,0.13667120039463043,0.3097890317440033,0.14949946105480194,0.16611461341381073
revere,0.2159319370985031,0.28754013776779175,0.2375880479812622,0.3263978660106659,0.2587532103061676,0.2628856897354126,0.2416078895330429,0.28013601899147034,0.21979400515556335,0.1960376799106598
was,0.22111038863658905,0.3165914714336395,0.3560331463813782,0.15151886641979218,0.1976262480020523,1.0000001192092896,0.4508470594882965,0.24281072616577148,0.2843533754348755,0.18412111699581146
descended,0.20182840526103973,0.2713979184627533,0.19279028475284576,0.06371785700321198,0.10496578365564346,0.25650086998939514,0.16815616190433502,0.32218530774116516,0.8168028593063354,0.1283303201198578
from,0.2737620174884796,0.1538000851869583,0.1811102032661438,0.22537901997566223,0.09100453555583954,0.31171464920043945,0.322764128446579,0.1858682930469513,0.1833937168121338,0.19969791173934937
huguenot,0.1912020891904831,0.3413231372833252,0.3196048438549042,0.18521495163440704,0.11023812741041183,0.24281072616577148,0.22502337396144867,1.0000001192092896,0.29184651374816895,0.1359742432832718
refugees,0.17684882879257202,0.24587766826152802,0.380304753780365,0.10246933251619339,0.09988846629858017,0.17160305380821228,0.2076767385005951,0.3226073086261749,0.23771750926971436,0.10817430168390274
",",0.3087472915649414,0.26820501685142517,0.2671184241771698,0.2546866536140442,0.21583496034145355,0.45456063747406006,0.427140474319458,0.24752236902713776,0.24288435280323029,0.31091248989105225
as,0.31749409437179565,0.21730048954486847,0.24018222093582153,0.2078300267457962,0.16544795036315918,0.3677520453929901,0.39550232887268066,0.15821954607963562,0.23801417648792267,0.27043893933296204
was,0.22111038863658905,0.3165914714336395,0.3560331463813782,0.15151886641979218,0.1976262480020523,1.0000001192092896,0.4508470594882965,0.24281072616577148,0.2843533754348755,0.18412111699581146
henry,0.1911626160144806,0.2887423634529114,0.2742631435394287,0.18384908139705658,0.18493543565273285,0.31945720314979553,0.24300003051757812,0.412917822599411,0.1831190288066864,0.16836383938789368
laurens,0.1609194576740265,0.19255557656288147,0.16461724042892456,0.19666831195354462,0.12804067134857178,0.23766860365867615,0.2220510095357895,0.32935595512390137,0.08814649283885956,0.10672305524349213
",",0.3087472915649414,0.26820501685142517,0.2671184241771698,0.2546866536140442,0.21583496034145355,0.45456063747406006,0.427140474319458,0.24752236902713776,0.24288435280323029,0.31091248989105225
who,0.40942975878715515,0.22930976748466492,0.24286115169525146,0.16358831524848938,0.2094506174325943,0.3318818509578705,0.36608949303627014,0.32233482599258423,0.3264788091182709,0.26220351457595825
signed,0.16368238627910614,0.16926032304763794,0.22609758377075195,0.11788271367549896,0.14086726307868958,0.2625274360179901,0.20831720530986786,0.1926909238100052,0.12958009541034698,0.14003296196460724
the,0.42745697498321533,0.24521014094352722,0.366199791431427,0.1777835637331009,0.2160169631242752,0.48711544275283813,0.5829201340675354,0.29557526111602783,0.27002206444740295,0.22068053483963013
articles,0.3181003928184509,0.1718582808971405,0.18132762610912323,0.11911541223526001,0.17573705315589905,0.1837339699268341,0.29038286209106445,0.16561856865882874,0.15217074751853943,0.44680753350257874
of,0.33290785551071167,0.29118266701698303,0.31680163741111755,0.14197178184986115,0.11310602724552155,0.4069072902202606,0.5052502155303955,0.29061198234558105,0.29808375239372253,0.1826142966747284
confederation,0.1672668308019638,0.36814549565315247,0.370603084564209,0.031035156920552254,0.17158514261245728,0.254781037569046,0.20444446802139282,0.3346739411354065,0.18233349919319153,0.1559038907289505
for,0.3017193675041199,0.15224315226078033,0.22632956504821777,0.18311990797519684,0.2193891853094101,0.3863949179649353,0.44038116931915283,0.14738403260707855,0.13423679769039154,0.264628142118454
