,who,was,the,main,crew,of,apollo,1,",",of,which,they,named,themselves,?
grissom,0.24186021089553833,0.24284367263317108,0.23234018683433533,0.08717183768749237,0.4065512418746948,0.1430860161781311,0.47608157992362976,-0.19928358495235443,0.32877612113952637,0.1430860161781311,0.16867676377296448,0.24284249544143677,0.21901701390743256,0.16353105008602142,0.20562298595905304
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.2217068374156952,0.4946078956127167,0.19808128476142883,-0.15742997825145721,1.0000001192092896,0.4946078956127167,0.3658004403114319,0.390799880027771,0.2530003488063812,0.19974499940872192,0.31091248989105225
white,0.19768168032169342,0.17150278389453888,0.25492873787879944,0.15139883756637573,0.18929274380207062,0.23826628923416138,0.1497035026550293,-0.13369986414909363,0.27337658405303955,0.23826628923416138,0.21100778877735138,0.2811111807823181,0.14935745298862457,0.1798328161239624,0.124679796397686
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.2217068374156952,0.4946078956127167,0.19808128476142883,-0.15742997825145721,1.0000001192092896,0.4946078956127167,0.3658004403114319,0.390799880027771,0.2530003488063812,0.19974499940872192,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.29831406474113464,0.22802916169166565,0.5116966962814331,0.15251155197620392,-0.20516018569469452,0.6633074283599854,0.5116966962814331,0.506277859210968,0.5073080658912659,0.23097854852676392,0.3146885335445404,0.20544172823429108
chaffee,0.26915082335472107,0.2758442759513855,0.2939971685409546,0.18450622260570526,0.34566739201545715,0.22950902581214905,0.31177636981010437,-0.17973746359348297,0.3729091286659241,0.22950902581214905,0.1841951608657837,0.26536694169044495,0.21929986774921417,0.16579124331474304,0.2570136785507202
decided,0.3009106516838074,0.41358432173728943,0.37534645199775696,0.14160189032554626,0.15728607773780823,0.2880963683128357,0.16955213248729706,-0.21272410452365875,0.2726382911205292,0.2880963683128357,0.23397822678089142,0.39493227005004883,0.23520348966121674,0.29403984546661377,0.258772075176239
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.26116618514060974,0.21819929778575897,0.41548454761505127,0.23190522193908691,-0.2769182622432709,0.44245919585227966,0.41548454761505127,0.5345056653022766,0.5452046394348145,0.23689822852611542,0.37259936332702637,0.29463258385658264
name,0.2027527540922165,0.2646567225456238,0.3171212375164032,0.19928081333637238,0.11840928345918655,0.24075818061828613,0.09833542257547379,-0.18995489180088043,0.28145334124565125,0.24075818061828613,0.2972666025161743,0.20157702267169952,0.44205352663993835,0.15265773236751556,0.15381577610969543
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.19033032655715942,0.18931342661380768,0.4329940676689148,0.1484338790178299,-0.33722230792045593,0.3045167922973633,0.4329940676689148,0.4582767188549042,0.7104025483131409,0.15600357949733734,0.5939331650733948,0.1898253709077835
flight,0.07788171619176865,0.19139665365219116,0.2498224973678589,0.09292026609182358,0.4442804455757141,0.2070007622241974,0.31322264671325684,-0.04262041300535202,0.23669111728668213,0.2070007622241974,0.20524488389492035,0.1568881869316101,0.12405931204557419,0.09254704415798187,0.20568472146987915
apollo,0.19149452447891235,0.2306441366672516,0.2169172167778015,0.03287544474005699,0.36530131101608276,0.1786269098520279,0.9999999403953552,-0.17533797025680542,0.19808128476142883,0.1786269098520279,0.19047300517559052,0.20052532851696014,0.13459736108779907,0.06626874208450317,0.191528782248497
1,-0.35742413997650146,-0.2275921255350113,-0.1554475575685501,-0.0636862963438034,-0.07515875995159149,-0.09473495930433273,-0.17533797025680542,1.0,-0.15742997825145721,-0.09473495930433273,-0.1852463036775589,-0.2891935706138611,-0.13982819020748138,-0.2460046261548996,-0.249979168176651
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.25940921902656555,0.15990298986434937,0.3886612355709076,0.15543952584266663,-0.2728762626647949,0.48816442489624023,0.3886612355709076,0.41006597876548767,0.3294360637664795,0.2754245400428772,0.28746727108955383,0.27043893933296204
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.27217230200767517,0.15305642783641815,0.5052502155303955,0.19996169209480286,-0.20817746222019196,0.427140474319458,0.5052502155303955,0.56894451379776,0.3528250455856323,0.3292267918586731,0.19371497631072998,0.23916715383529663
motivational,0.29541584849357605,0.19852666556835175,0.193790003657341,0.20551826059818268,0.1481168419122696,0.24062757194042206,0.1319606453180313,-0.35992226004600525,0.2767159044742584,0.24062757194042206,0.23640121519565582,0.2224275916814804,0.04962373897433281,0.25892335176467896,0.2348088026046753
focus,0.14902952313423157,0.18024994432926178,0.25318023562431335,0.3320443034172058,0.15509158372879028,0.2428540587425232,0.1104174330830574,-0.19652250409126282,0.23845507204532623,0.2428540587425232,0.2949202358722687,0.24832679331302643,0.06380070745944977,0.2623269259929657,0.23925252258777618
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.2898236811161041,0.24291740357875824,0.3966929316520691,0.16069947183132172,-0.09574633836746216,0.49057599902153015,0.3966929316520691,0.4245251417160034,0.31295230984687805,0.19771578907966614,0.15180964767932892,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,1.0,0.38631999492645264,0.25329816341400146,0.733189046382904,0.2169172167778015,-0.1554475575685501,0.4933079481124878,0.733189046382904,0.6521818041801453,0.49925389885902405,0.3521348536014557,0.3444426357746124,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,0.24865727126598358,0.22136586904525757,0.3536086082458496,0.21067003905773163,-0.26829156279563904,0.34503069519996643,0.3536086082458496,0.3828166127204895,0.3431090712547302,0.35798725485801697,0.2008821964263916,0.18701928853988647
manned,0.20781661570072174,0.24339483678340912,0.2392944097518921,0.050125639885663986,0.40104639530181885,0.17604194581508636,0.5195745825767517,-0.11803578585386276,0.1752677708864212,0.17604194581508636,0.21115973591804504,0.221416637301445,0.19919902086257935,0.1308075487613678,0.17514055967330933
flight,0.07788171619176865,0.19139665365219116,0.2498224973678589,0.09292026609182358,0.4442804455757141,0.2070007622241974,0.31322264671325684,-0.04262041300535202,0.23669111728668213,0.2070007622241974,0.20524488389492035,0.1568881869316101,0.12405931204557419,0.09254704415798187,0.20568472146987915
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.31122034788131714,0.24222686886787415,0.5352458953857422,0.22384987771511078,-0.15870751440525055,0.6812511086463928,0.5352458953857422,0.45942068099975586,0.4510921239852905,0.24760639667510986,0.20394743978977203,0.4130953550338745
