,how,many,paintings,did,john,sheeshanks,give,to,the,museum,?
in,0.2601168751716614,0.41474202275276184,0.2264205515384674,0.2593238651752472,0.22177861630916595,0.28479620814323425,0.20895415544509888,0.45010748505592346,0.6662389636039734,0.2407650351524353,0.20430970191955566
1857,0.18399372696876526,0.19097833335399628,0.02965756133198738,0.0872526690363884,-0.08969142287969589,0.03239268437027931,0.21075165271759033,0.11027031391859055,0.04397021234035492,0.02524988353252411,0.07002107053995132
john,0.16882067918777466,0.12777787446975708,0.1214088574051857,0.18785913288593292,1.0000001192092896,0.2444220930337906,0.14362460374832153,0.2070634365081787,0.2230520099401474,0.14412403106689453,0.13162356615066528
sheepshanks,0.31207898259162903,0.3183620572090149,0.31781435012817383,0.236932173371315,0.3003201186656952,0.8496423959732056,0.2347891628742218,0.3082112967967987,0.33741626143455505,0.18640516698360443,0.26307445764541626
donated,0.13368816673755646,0.23168876767158508,0.34472015500068665,0.20154082775115967,0.17012862861156464,0.15722212195396423,0.22460173070430756,0.25148287415504456,0.24606364965438843,0.32454055547714233,0.10052662342786789
233,0.17189213633537292,0.0990855023264885,0.1642085462808609,0.12346035987138748,0.19291822612285614,0.031180480495095253,0.14759427309036255,0.13374999165534973,0.11286590248346329,0.09406249970197678,0.15934571623802185
paintings,0.19760052859783173,0.3093363344669342,1.0,0.22205068171024323,0.1214088574051857,0.23456718027591705,0.16450467705726624,0.21597011387348175,0.2167874127626419,0.3647291660308838,0.1866389960050583
",",0.22659391164779663,0.40610817074775696,0.22040317952632904,0.3015086054801941,0.23961079120635986,0.3968662619590759,0.2844066619873047,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
mainly,0.29285627603530884,0.5025016665458679,0.14844375848770142,0.17338213324546814,0.16730929911136627,0.2540927231311798,0.20419374108314514,0.31092169880867004,0.3790479004383087,0.14806020259857178,0.07608037441968918
by,0.34370526671409607,0.3409687578678131,0.24946486949920654,0.18574509024620056,0.2502059042453766,0.34301090240478516,0.1874368041753769,0.33534231781959534,0.4408751428127289,0.15592984855175018,0.17966607213020325
contemporary,0.17400085926055908,0.2718525528907776,0.3579981327056885,0.21341855823993683,0.19271551072597504,0.189375102519989,0.16445066034793854,0.19410967826843262,0.25350451469421387,0.33069750666618347,0.09539991617202759
british,0.17564475536346436,0.23270447552204132,0.16699564456939697,0.2039594054222107,0.2667495906352997,0.31769752502441406,0.16256682574748993,0.22690963745117188,0.28973397612571716,0.1519032120704651,0.09711728990077972
artists,0.18595759570598602,0.32100793719291687,0.525743842124939,0.20933641493320465,0.1472584307193756,0.28201767802238464,0.1298692375421524,0.2258228361606598,0.2150506228208542,0.22386404871940613,0.1482434719800949
",",0.22659391164779663,0.40610817074775696,0.22040317952632904,0.3015086054801941,0.23961079120635986,0.3968662619590759,0.2844066619873047,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2532086968421936,0.34479495882987976,0.21634717285633087,0.34793683886528015,0.3040338158607483,0.48971283435821533,0.5171257257461548,0.21554097533226013,0.20544172823429108
