,who,created,the,theme,used,in,1986,?
a,0.36608949303627014,0.30777761340141296,0.5829201340675354,0.2278088480234146,0.3864384889602661,0.539380669593811,0.17319737374782562,0.23916715383529663
different,0.27202165126800537,0.20649270713329315,0.36412742733955383,0.23638859391212463,0.4402783513069153,0.29409363865852356,0.10305780172348022,0.24476227164268494
arrangement,0.12936225533485413,0.14107978343963623,0.290839284658432,0.30165839195251465,0.239437535405159,0.20867182314395905,0.11307302117347717,0.11038770526647568
was,0.3318818509578705,0.3592788577079773,0.48711544275283813,0.21860456466674805,0.23679393529891968,0.45514053106307983,0.030121389776468277,0.18412111699581146
recorded,0.18934021890163422,0.24363397061824799,0.2759207487106323,0.17997701466083527,0.2319517880678177,0.27585887908935547,0.07089511305093765,0.19213420152664185
by,0.39727845788002014,0.3492257595062256,0.4408751428127289,0.19824901223182678,0.27705541253089905,0.370934396982193,0.018979741260409355,0.17966607213020325
peter,0.2549128830432892,0.1432141214609146,0.24086274206638336,0.20640240609645844,0.0917978584766388,0.168073832988739,-0.04492597281932831,0.11650477349758148
howell,0.280401349067688,0.11612855643033981,0.22971536219120026,0.1943662166595459,0.06047403812408447,0.2428325116634369,-0.00032148571335710585,0.26617059111595154
for,0.37110671401023865,0.25684574246406555,0.4739971458911896,0.23964181542396545,0.4236139953136444,0.4322226941585541,0.11612676829099655,0.264628142118454
season,0.13809308409690857,0.1389758437871933,0.2507155239582062,0.20135252177715302,0.1434340626001358,0.2184021919965744,0.07116139680147171,0.16793298721313477
18,0.013901916332542896,-0.10448871552944183,-0.07796193659305573,0.010698555037379265,-0.05934447795152664,-0.061147160828113556,-0.1249789223074913,-0.04919438064098358
(,0.2443375140428543,0.2334475964307785,0.33289089798927307,0.17606106400489807,0.19005385041236877,0.3087427020072937,0.08517013490200043,0.40561532974243164
1980,-0.040801867842674255,-0.12317118048667908,0.020048053935170174,-0.009305380284786224,0.13083374500274658,-0.03510594367980957,0.059234630316495895,0.033455219119787216
),0.2457384318113327,0.2251489907503128,0.3456730246543884,0.16467611491680145,0.1905621439218521,0.3326910734176636,0.10203931480646133,0.42300865054130554
",",0.3365725874900818,0.2755771577358246,0.4933079481124878,0.21865783631801605,0.3120402991771698,0.5201468467712402,0.06415113806724548,0.31091248989105225
