,how,many,points,did,carolina,lead,the,nfl,in,scoring,for,offensive,plays,?
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,0.24749229848384857,0.21995973587036133,1.0,0.15305201709270477,0.6662389636039734,0.2582377791404724,0.4739971458911896,0.2699996531009674,0.1760704517364502,0.22068053483963013
panthers,0.1117783859372139,0.14744015038013458,0.2312498390674591,0.189295694231987,0.4154948592185974,0.19878502190113068,0.2602776288986206,0.4153780937194824,0.2115829735994339,0.3409317433834076,0.25358447432518005,0.28836125135421753,0.22348153591156006,0.16608978807926178
offense,0.18130072951316833,0.12988217175006866,0.2792750597000122,0.2501390278339386,0.14916947484016418,0.14286236464977264,0.25977253913879395,0.2917291224002838,0.17413577437400818,0.3182343542575836,0.313084214925766,0.7075560092926025,0.09353455156087875,0.28476977348327637
",",0.22659391164779663,0.40610817074775696,0.2862778604030609,0.3015086054801941,0.2566046118736267,0.2561914026737213,0.4933079481124878,0.18939071893692017,0.5201468467712402,0.23282180726528168,0.4464869201183319,0.2524537146091461,0.24874751269817352,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.23372256755828857,0.2750149369239807,0.16939401626586914,0.2136504352092743,0.6521818041801453,0.1353975087404251,0.4840516746044159,0.21572858095169067,0.44095608592033386,0.16861499845981598,0.20197759568691254,0.25814583897590637
led,0.15437260270118713,0.2798413932323456,0.14855854213237762,0.3213953971862793,0.1589251011610031,0.3712044358253479,0.3267505168914795,0.15811145305633545,0.2990247309207916,0.20341256260871887,0.2628403306007385,0.22133669257164001,0.13962231576442719,0.09273858368396759
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,0.24749229848384857,0.21995973587036133,1.0,0.15305201709270477,0.6662389636039734,0.2582377791404724,0.4739971458911896,0.2699996531009674,0.1760704517364502,0.22068053483963013
nfl,0.09207417815923691,0.09887322783470154,0.16934609413146973,0.16524574160575867,0.25462281703948975,0.1656275987625122,0.15305201709270477,1.0,0.12599408626556396,0.3191917836666107,0.23749186098575592,0.4299554228782654,0.18191593885421753,0.10610254108905792
in,0.2601168751716614,0.41474202275276184,0.1616203784942627,0.2593238651752472,0.2380082756280899,0.2055644989013672,0.6662389636039734,0.12599408626556396,1.0,0.19487565755844116,0.4322226941585541,0.20140975713729858,0.24790528416633606,0.20430970191955566
scoring,0.18229861557483673,0.1311546415090561,0.4390694797039032,0.1931239515542984,0.21223005652427673,0.21887224912643433,0.2582377791404724,0.3191917836666107,0.19487565755844116,0.9999999403953552,0.30792057514190674,0.3414282202720642,0.24262335896492004,0.0971682071685791
