,when,did,the,different,colonies,come,together,and,form,kenya,?
the,0.5091903209686279,0.34736719727516174,1.0,0.36412742733955383,0.30451729893684387,0.36020293831825256,0.26662585139274597,0.5171257257461548,0.29286009073257446,0.21657514572143555,0.22068053483963013
colony,0.23867273330688477,0.17398406565189362,0.2740810811519623,0.16477768123149872,0.7375558614730835,0.1799638420343399,0.14023640751838684,0.2406650185585022,0.1936379224061966,0.22999060153961182,0.13831071555614471
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3747533857822418,0.2890703082084656,0.3194141983985901,0.26678720116615295,0.5116966962814331,0.29600051045417786,0.22226637601852417,0.1826142966747284
kenya,0.11853623390197754,0.16214214265346527,0.21657514572143555,0.14144453406333923,0.18769590556621552,0.1500818133354187,0.17036072909832,0.20742860436439514,0.10288314521312714,1.0,0.17197901010513306
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.39536112546920776,0.311396062374115,0.3412281572818756,0.37008100748062134,1.0,0.30469027161598206,0.20742860436439514,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.36412742733955383,0.30451729893684387,0.36020293831825256,0.26662585139274597,0.5171257257461548,0.29286009073257446,0.21657514572143555,0.22068053483963013
protectorate,0.19512973725795746,0.164311021566391,0.2715727984905243,0.12418734282255173,0.3411330282688141,0.13852085173130035,0.20462733507156372,0.28061163425445557,0.15307854115962982,0.3262830078601837,0.09938298910856247
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3747533857822418,0.2890703082084656,0.3194141983985901,0.26678720116615295,0.5116966962814331,0.29600051045417786,0.22226637601852417,0.1826142966747284
kenya,0.11853623390197754,0.16214214265346527,0.21657514572143555,0.14144453406333923,0.18769590556621552,0.1500818133354187,0.17036072909832,0.20742860436439514,0.10288314521312714,1.0,0.17197901010513306
each,0.3531915247440338,0.20516681671142578,0.470844566822052,0.5394036769866943,0.20746232569217682,0.28984543681144714,0.34179630875587463,0.2984027564525604,0.27021676301956177,0.13855169713497162,0.21173812448978424
came,0.2824265956878662,0.4016856253147125,0.39390382170677185,0.2706233561038971,0.22799281775951385,0.6062419414520264,0.21653960645198822,0.3049735128879547,0.15894043445587158,0.15190489590168,0.1739392727613449
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.3617510497570038,0.2835637629032135,0.4297197163105011,0.33225905895233154,0.48971283435821533,0.2772196829319,0.17769291996955872,0.29463258385658264
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.20424599945545197,0.13473175466060638,0.15195004642009735,0.13278141617774963,0.2838519215583801,0.1558980643749237,0.1525012105703354,0.19793890416622162
end,0.3228412866592407,0.18808481097221375,0.39658910036087036,0.21113894879817963,0.16597211360931396,0.25680065155029297,0.24260301887989044,0.24708716571331024,0.19813299179077148,0.11729869991540909,0.12543344497680664
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.3056946098804474,0.19056418538093567,0.22001175582408905,0.28666210174560547,0.4077630043029785,0.1214052140712738,0.18445201218128204,0.2714994251728058
12,0.24838608503341675,0.11160892248153687,0.28907760977745056,0.1656447798013687,0.11146359890699387,0.20419564843177795,0.14073269069194794,0.18034417927265167,0.13039331138134003,0.10184599459171295,0.10021790862083435
december,0.28435230255126953,0.2542226016521454,0.23266014456748962,0.07446818798780441,0.15786367654800415,0.13701604306697845,0.11782936751842499,0.22940969467163086,0.08034238964319229,0.15531376004219055,0.2480352818965912
1963,-0.029794543981552124,0.022874606773257256,0.03728247061371803,-0.03262339159846306,-0.042853329330682755,-0.0006981880869716406,-0.0033329823054373264,0.09263621270656586,0.040228188037872314,0.0339445136487484,0.03411978855729103
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.3571763038635254,0.17207865417003632,0.27227720618247986,0.48732393980026245,0.5477725267410278,0.29348593950271606,0.13224487006664276,0.2433311939239502
