,what,countries,are,used,as,an,example,of,harsher,discipline,with,successful,education,?
this,0.5489566326141357,0.3181088864803314,0.35762670636177063,0.3996967375278473,0.43993282318115234,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.30514445900917053,0.2229543775320053,0.36358317732810974,0.30019158124923706,0.17015472054481506,0.3155723512172699
viewpoint,0.3907443583011627,0.22846752405166626,0.2899015247821808,0.21593722701072693,0.290304958820343,0.24581389129161835,0.27365177869796753,0.20330668985843658,0.31022197008132935,0.25545546412467957,0.24413658678531647,0.16678257286548615,0.23466598987579346,0.3248816728591919
is,0.28837618231773376,0.254234254360199,0.5330929756164551,0.3288823366165161,0.43216490745544434,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.20184089243412018,0.13422119617462158,0.3250955045223236,0.24266567826271057,0.18778188526630402,0.22961433231830597
supported,0.16402992606163025,0.23237062990665436,0.20564687252044678,0.3142521381378174,0.27369120717048645,0.21082468330860138,0.15967221558094025,0.30414751172065735,0.2089109569787979,0.20613688230514526,0.2909988462924957,0.29681602120399475,0.25760418176651,0.11593948304653168
by,0.2455483376979828,0.2241220921278,0.37842893600463867,0.27705541253089905,0.3815547823905945,0.2719563841819763,0.29030951857566833,0.3646814823150635,0.17778387665748596,0.11979961395263672,0.39731505513191223,0.1869579404592514,0.18719787895679474,0.17966607213020325
the,0.42745697498321533,0.33290645480155945,0.40399202704429626,0.3718377649784088,0.48381632566452026,0.4207492768764496,0.3755223751068115,0.733189046382904,0.229921355843544,0.1981438249349594,0.4223487675189972,0.31354787945747375,0.23982903361320496,0.22068053483963013
educational,0.2158561795949936,0.25359925627708435,0.23404355347156525,0.20349182188510895,0.2641761302947998,0.14616814255714417,0.20623350143432617,0.3187834620475769,0.22071000933647156,0.3666919767856598,0.12280987948179245,0.1734042912721634,0.8527971506118774,0.20904642343521118
attainment,0.19037768244743347,0.24279315769672394,0.12658442556858063,0.14389720559120178,0.19840455055236816,0.10435451567173004,0.19026730954647064,0.215433731675148,0.1309042125940323,0.30423927307128906,0.22496284544467926,0.1281365305185318,0.3486926257610321,0.0981084555387497
of,0.33290785551071167,0.2800094783306122,0.39081433415412903,0.3075267970561981,0.3886612355709076,0.32280945777893066,0.3570667505264282,1.0,0.21791879832744598,0.2260950356721878,0.41827285289764404,0.2304827868938446,0.3015166223049164,0.1826142966747284
countries—in,0.23739516735076904,0.9358564615249634,0.30451545119285583,0.31324100494384766,0.25224873423576355,0.2214966118335724,0.2993190586566925,0.30782291293144226,0.22471432387828827,0.2169240117073059,0.3460799753665924,0.22882036864757538,0.27602943778038025,0.19664320349693298
east,0.19840149581432343,0.28804680705070496,0.16636624932289124,0.17829805612564087,0.19617025554180145,0.19809120893478394,0.13272297382354736,0.314786434173584,0.19927506148815155,0.1687701791524887,0.18583141267299652,0.13492247462272644,0.16562743484973907,0.10070597380399704
asia,0.14832128584384918,0.39507102966308594,0.21773061156272888,0.19163498282432556,0.18690064549446106,0.07536222040653229,0.1775292307138443,0.2372564673423767,0.21836259961128235,0.12039383500814438,0.21806661784648895,0.20966807007789612,0.11163447052240372,0.1340748518705368
for,0.3017193675041199,0.299202024936676,0.3895993232727051,0.4236139953136444,0.44774648547172546,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.2598012685775757,0.23497483134269714,0.39140474796295166,0.2988608777523041,0.27265021204948425,0.264628142118454
instance—that,0.46437013149261475,0.33443504571914673,0.35547253489494324,0.45776602625846863,0.4276859760284424,0.3379271924495697,0.541948676109314,0.38061654567718506,0.32275187969207764,0.25318029522895813,0.3532360792160034,0.23782217502593994,0.2474854737520218,0.3573967218399048
combine,0.27796897292137146,0.17373503744602203,0.38254690170288086,0.33066219091415405,0.20603586733341217,0.22289782762527466,0.3296511769294739,0.3253297805786133,0.24626648426055908,0.30218395590782166,0.35364508628845215,0.20070815086364746,0.12553156912326813,0.23649157583713531
strict,0.2741048336029053,0.2379683256149292,0.2695472240447998,0.22136297821998596,0.2560356855392456,0.2044963538646698,0.2247699797153473,0.20961691439151764,0.3057170510292053,0.3146241307258606,0.19456852972507477,0.1325521618127823,0.21323038637638092,0.18498127162456512
discipline,0.2522185742855072,0.23142412304878235,0.12893009185791016,0.22370967268943787,0.1783600002527237,0.1651821732521057,0.15541037917137146,0.2260950356721878,0.20304688811302185,1.0000001192092896,0.1664356142282486,0.16259586811065674,0.3033060133457184,0.06836310029029846
with,0.2464839518070221,0.33792537450790405,0.38996943831443787,0.3047430217266083,0.40387406945228577,0.2730048894882202,0.3082926869392395,0.41827285289764404,0.22113953530788422,0.1664356142282486,0.9999999403953552,0.23784777522087097,0.11138669401407242,0.2433311939239502
high,0.20466077327728271,0.18718457221984863,0.21708175539970398,0.2048027515411377,0.23253053426742554,0.13532011210918427,0.18444988131523132,0.2803038954734802,0.24493810534477234,0.17905139923095703,0.19851811230182648,0.18497750163078308,0.32903406023979187,0.11137914657592773
