,which,logo,was,used,for,the,third,doctor,who,'s,last,season,?
the,0.6521818041801453,0.2806010842323303,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.4229298532009125,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.3698786795139313,0.2507155239582062,0.22068053483963013
logo,0.25611594319343567,1.0000001192092896,0.17813098430633545,0.20441769063472748,0.2166183590888977,0.2806010842323303,0.11864504963159561,0.12991586327552795,0.15606588125228882,0.036982785910367966,0.1289052516222,0.17979180812835693,0.23347119987010956
used,0.414506196975708,0.20441769063472748,0.23679393529891968,0.9999998807907104,0.4236139953136444,0.3718377649784088,0.12432441860437393,0.15671396255493164,0.20756356418132782,0.00600846204906702,0.18826596438884735,0.1434340626001358,0.22430120408535004
in,0.4840516746044159,0.1848117560148239,0.45514053106307983,0.3090210556983948,0.4322226941585541,0.6662389636039734,0.3309578001499176,0.25567495822906494,0.2792111933231354,-0.037580832839012146,0.30714505910873413,0.2184021919965744,0.20430970191955566
the,0.6521818041801453,0.2806010842323303,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.4229298532009125,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.3698786795139313,0.2507155239582062,0.22068053483963013
television,0.21160198748111725,0.19883376359939575,0.2516675293445587,0.19304737448692322,0.27045196294784546,0.24569597840309143,0.1466340273618698,0.31410008668899536,0.2515988349914551,0.11021530628204346,0.19744735956192017,0.28917866945266724,0.16825827956199646
movie,0.18620790541172028,0.1665901243686676,0.3245687186717987,0.16255176067352295,0.22823558747768402,0.2636405825614929,0.1879468709230423,0.2817206084728241,0.2578212320804596,0.0758422240614891,0.2402564436197281,0.2579651176929474,0.18408656120300293
featuring,0.231018528342247,0.20685851573944092,0.16899792850017548,0.1777140498161316,0.18349294364452362,0.21340800821781158,0.16075831651687622,0.1270301192998886,0.19577710330486298,0.006669926922768354,0.18572600185871124,0.18363769352436066,0.24838131666183472
the,0.6521818041801453,0.2806010842323303,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.4229298532009125,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.3698786795139313,0.2507155239582062,0.22068053483963013
eighth,0.19658172130584717,0.10433226823806763,0.360525518655777,0.14485949277877808,0.20475642383098602,0.3654443025588989,0.579902172088623,0.2051202654838562,0.15218470990657806,0.06549409031867981,0.35753700137138367,0.2523028552532196,0.06661298125982285
doctor,0.19030126929283142,0.12991586327552795,0.19672659039497375,0.15671396255493164,0.1556548923254013,0.2820442318916321,0.19177944958209991,0.9999999403953552,0.3504868149757385,0.031664930284023285,0.14827261865139008,0.16388003528118134,0.1462511420249939
was,0.2830964922904968,0.17813098430633545,1.0000001192092896,0.23679393529891968,0.3863949179649353,0.48711544275283813,0.3460187017917633,0.19672659039497375,0.3318818509578705,0.008974763564765453,0.32424551248550415,0.24797968566417694,0.18412111699581146
an,0.3611921966075897,0.1312703788280487,0.3694365322589874,0.25728896260261536,0.3236706852912903,0.4207492768764496,0.233324334025383,0.1790127456188202,0.2848317325115204,0.025255560874938965,0.1592187136411667,0.1245875135064125,0.19793890416622162
updated,0.2557225823402405,0.27932873368263245,0.19127553701400757,0.2722228765487671,0.25356394052505493,0.22450833022594452,0.11499463766813278,0.09811475872993469,0.11662891507148743,-0.1562560349702835,0.292176753282547,0.20664821565151215,0.38058117032051086
version,0.28911566734313965,0.301392525434494,0.297456830739975,0.21223314106464386,0.19780562818050385,0.27268242835998535,0.1937885582447052,0.16003715991973877,0.17217524349689484,-0.009124638512730598,0.21911989152431488,0.20000047981739044,0.2573966085910797
of,0.5011631846427917,0.1528109908103943,0.4069072902202606,0.3075267970561981,0.4185989499092102,0.733189046382904,0.30602210760116577,0.16895952820777893,0.2827862501144409,-0.03817026689648628,0.3052992522716522,0.1598338931798935,0.1826142966747284
the,0.6521818041801453,0.2806010842323303,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.4229298532009125,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.3698786795139313,0.2507155239582062,0.22068053483963013
logo,0.25611594319343567,1.0000001192092896,0.17813098430633545,0.20441769063472748,0.2166183590888977,0.2806010842323303,0.11864504963159561,0.12991586327552795,0.15606588125228882,0.036982785910367966,0.1289052516222,0.17979180812835693,0.23347119987010956
used,0.414506196975708,0.20441769063472748,0.23679393529891968,0.9999998807907104,0.4236139953136444,0.3718377649784088,0.12432441860437393,0.15671396255493164,0.20756356418132782,0.00600846204906702,0.18826596438884735,0.1434340626001358,0.22430120408535004
for,0.44095608592033386,0.2166183590888977,0.3863949179649353,0.4236139953136444,0.9999999403953552,0.4739971458911896,0.2187870591878891,0.1556548923254013,0.37110671401023865,-0.07241261005401611,0.3043119013309479,0.24490800499916077,0.264628142118454
