,according,to,wilson,'s,theorem,",",what,factorial,must,be,divisible,by,n,if,some,integer,n,>,4,is,to,be,considered,composite,?
+,0.0785888209939003,0.1585809290409088,-0.011393764056265354,0.03738560900092125,0.1321732997894287,0.20503701269626617,0.1158081665635109,0.1773463785648346,0.1660509705543518,0.1886403113603592,0.29852673411369324,0.16763314604759216,0.27411696314811707,0.25962647795677185,0.21267129480838776,0.35346612334251404,0.27411696314811707,0.325987309217453,0.04477747157216072,0.12961794435977936,0.1585809290409088,0.1886403113603592,0.09750521183013916,0.22023999691009521,0.2903686463832855
1,-0.1403331756591797,-0.2769182622432709,-0.2164074331521988,0.003928052727133036,-0.19035573303699493,-0.15742997825145721,-0.21266892552375793,-0.14660818874835968,-0.2533520460128784,-0.2923636734485626,-0.18026161193847656,-0.2582099735736847,-0.08674373477697372,-0.3333838880062103,-0.24203214049339294,-0.18673858046531677,-0.08674373477697372,-0.12961597740650177,-0.022251660004258156,-0.12491171807050705,-0.2769182622432709,-0.2923636734485626,-0.19963058829307556,-0.04089200869202614,-0.249979168176651
is,0.2838992476463318,0.42745086550712585,0.09424737840890884,0.02396530658006668,0.23679251968860626,0.4691906273365021,0.28837618231773376,0.2297896295785904,0.3093329071998596,0.4819129705429077,0.24465152621269226,0.3899846076965332,0.2254602462053299,0.30927813053131104,0.3038453459739685,0.2086324691772461,0.2254602462053299,0.09800601750612259,0.025936461985111237,1.0,0.42745086550712585,0.4819129705429077,0.4096149802207947,0.2680354416370392,0.22961433231830597
divisible,0.13524757325649261,0.24267692863941193,0.10736366361379623,-0.011311073787510395,0.3042280673980713,0.2419033646583557,0.2841363549232483,0.31620097160339355,0.2327093631029129,0.3093906044960022,1.0,0.21426066756248474,0.21958380937576294,0.31472691893577576,0.24720078706741333,0.47040653228759766,0.21958380937576294,0.22608132660388947,0.05505887791514397,0.24465152621269226,0.24267692863941193,0.3093906044960022,0.30156904458999634,0.27539825439453125,0.17578034102916718
by,0.2975466847419739,0.33534231781959534,0.2165776640176773,-0.010884488001465797,0.1199604943394661,0.3680937886238098,0.2455483376979828,0.20782147347927094,0.2841154634952545,0.43158695101737976,0.21426066756248474,1.0000001192092896,0.17974872887134552,0.2429230511188507,0.306446373462677,0.09935232251882553,0.17974872887134552,0.13443799316883087,0.14685025811195374,0.3899846076965332,0.33534231781959534,0.43158695101737976,0.23957760632038116,0.18750335276126862,0.17966607213020325
p.,0.12361577153205872,0.09675496071577072,0.1797255128622055,-0.02999347820878029,0.15269100666046143,0.08701876550912857,0.07387562096118927,0.21654964983463287,0.080617256462574,0.11326488852500916,0.06966269016265869,0.18667933344841003,0.1259630024433136,0.10653145611286163,0.10306442528963089,0.14851896464824677,0.1259630024433136,0.1254790723323822,-0.09546566754579544,-0.03573467582464218,0.09675496071577072,0.11326488852500916,0.04157235100865364,0.08810710906982422,0.11662347614765167
moreover,0.21019363403320312,0.3006484806537628,0.11793816834688187,0.016748646274209023,0.2213481217622757,0.26501938700675964,0.34821099042892456,0.2201436311006546,0.2739889323711395,0.3224743902683258,0.23859620094299316,0.24316640198230743,0.12962743639945984,0.35543814301490784,0.40786877274513245,0.19086191058158875,0.12962743639945984,0.08929437398910522,0.03216329962015152,0.2429884523153305,0.3006484806537628,0.3224743902683258,0.3004763424396515,0.19947685301303864,0.25369012355804443
",",0.3107093870639801,0.44245919585227966,0.27987003326416016,-0.0016132977325469255,0.16003508865833282,1.0000001192092896,0.3087472915649414,0.24799054861068726,0.2231246829032898,0.39254459738731384,0.2419033646583557,0.3680937886238098,0.2316582053899765,0.257730096578598,0.42400437593460083,0.20468677580356598,0.2316582053899765,0.1912437379360199,0.15652385354042053,0.4691906273365021,0.44245919585227966,0.39254459738731384,0.32932984828948975,0.22170902788639069,0.31091248989105225
an,0.16550497710704803,0.3138085603713989,0.18222500383853912,0.025255560874938965,0.16890296339988708,0.3581022024154663,0.2821882665157318,0.16710582375526428,0.2022276371717453,0.33041056990623474,0.19256256520748138,0.2719563841819763,0.18102464079856873,0.26347705721855164,0.2864145338535309,0.18641431629657745,0.18102464079856873,0.14249342679977417,0.10494957864284515,0.4654068350791931,0.3138085603713989,0.33041056990623474,0.3028697371482849,0.1772468388080597,0.19793890416622162
integer,0.10880346596240997,0.18582624197006226,0.13582156598567963,0.023855846375226974,0.4884721338748932,0.20468677580356598,0.23293888568878174,0.29944050312042236,0.28751975297927856,0.2557193338871002,0.47040653228759766,0.09935232251882553,0.3231755495071411,0.38328951597213745,0.1685035526752472,1.0,0.3231755495071411,0.23496054112911224,-0.03526390716433525,0.2086324691772461,0.18582624197006226,0.2557193338871002,0.1913161277770996,0.3552619516849518,0.2503974437713623
