,who,presented,the,mac,to,the,scottish,parliament,when,it,was,initially,opened,?
presented,0.19792668521404266,1.0,0.3251480758190155,0.15366131067276,0.24592746794223785,0.3251480758190155,0.21606935560703278,0.21905829012393951,0.17158125340938568,0.1980280727148056,0.2883085608482361,0.2257341891527176,0.21795441210269928,0.17025142908096313
to,0.42656609416007996,0.24592746794223785,0.535392165184021,0.1797141134738922,1.0,0.535392165184021,0.1268421709537506,0.20290622115135193,0.5423505902290344,0.513711154460907,0.3636345863342285,0.30896347761154175,0.18903055787086487,0.29463258385658264
the,0.3733934462070465,0.3251480758190155,1.0,0.13527071475982666,0.535392165184021,1.0,0.21724988520145416,0.26521381735801697,0.5091903209686279,0.6251175999641418,0.48711544275283813,0.2997018098831177,0.28544309735298157,0.22068053483963013
scottish,0.27621203660964966,0.21606935560703278,0.21724988520145416,0.30702200531959534,0.1268421709537506,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.12086563557386398,0.13680848479270935,0.20229777693748474,0.15586654841899872,0.12945835292339325,0.06442669779062271
parliament,0.237068772315979,0.21905829012393951,0.26521381735801697,0.18457473814487457,0.20290622115135193,0.26521381735801697,0.3418616056442261,1.0,0.18992289900779724,0.22944188117980957,0.24742799997329712,0.12268925458192825,0.24331699311733246,0.1586504578590393
by,0.39727845788002014,0.3042648136615753,0.4408751428127289,0.12802281975746155,0.33534231781959534,0.4408751428127289,0.1562303602695465,0.1523929238319397,0.4376842677593231,0.40926623344421387,0.4752357602119446,0.3889850080013275,0.17930090427398682,0.17966607213020325
the,0.3733934462070465,0.3251480758190155,1.0,0.13527071475982666,0.535392165184021,1.0,0.21724988520145416,0.26521381735801697,0.5091903209686279,0.6251175999641418,0.48711544275283813,0.2997018098831177,0.28544309735298157,0.22068053483963013
queen,0.20093972980976105,0.2084008902311325,0.24681736528873444,0.17918343842029572,0.23068656027317047,0.24681736528873444,0.15073919296264648,0.285058856010437,0.18993566930294037,0.22712574899196625,0.24258024990558624,0.1342783421278,0.2550303637981415,0.17460165917873383
upon,0.19846883416175842,0.17260365188121796,0.28184252977371216,0.11809191852807999,0.2616317570209503,0.28184252977371216,0.14950676262378693,0.2168634980916977,0.2915102541446686,0.2216275930404663,0.21848641335964203,0.2517203986644745,0.07117344439029694,0.13780277967453003
its,0.1326070874929428,0.1710420399904251,0.559237003326416,0.15851745009422302,0.3691340684890747,0.559237003326416,0.12293983995914459,0.23021577298641205,0.34032323956489563,0.5786119699478149,0.3518870174884796,0.3351334035396576,0.2527921199798584,0.15103481709957123
official,0.11444056034088135,0.1476723551750183,0.3133983910083771,0.1458207666873932,0.18259026110172272,0.3133983910083771,0.11383575946092606,0.23006054759025574,0.17409171164035797,0.1837632805109024,0.24680811166763306,0.21277980506420135,0.1501002162694931,0.18097688257694244
opening,0.12329958379268646,0.266964316368103,0.37298497557640076,0.11157091706991196,0.2393702119588852,0.37298497557640076,0.14858298003673553,0.24828915297985077,0.2410094141960144,0.2575235366821289,0.20817555487155914,0.2023216336965561,0.5178986191749573,0.16502447426319122
in,0.2792111933231354,0.3047972023487091,0.6662389636039734,0.05314561352133751,0.45010748505592346,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.4431333839893341,0.5130809545516968,0.45514053106307983,0.2391221970319748,0.2972770035266876,0.20430970191955566
july,0.2606464624404907,0.21016690135002136,0.2371699959039688,0.19564712047576904,0.228788822889328,0.2371699959039688,0.19503153860569,0.22719301283359528,0.24211758375167847,0.22927126288414001,0.40724116563796997,0.2051094025373459,0.19572360813617706,0.2897891402244568
1999,0.0312652513384819,0.05211248621344566,0.06755080074071884,-0.00445683253929019,0.03205801546573639,0.06755080074071884,-0.03078138455748558,0.14630579948425293,0.012987824156880379,0.05650762468576431,0.08547663688659668,0.003732305020093918,0.01901947520673275,0.05416720360517502
