,what,ca,n't,parliament,do,that,causes,equality,and,democracy,to,be,deficient,?
in,0.30808621644973755,0.12653891742229462,-0.0012929976219311357,0.2323146015405655,0.23402775824069977,0.435920387506485,0.2674790024757385,0.1692870706319809,0.4954058527946472,0.19644030928611755,0.45010748505592346,0.3481820821762085,0.22775745391845703,0.20430970191955566
practice,0.2749895751476288,0.1009669229388237,0.010439993813633919,0.22291912138462067,0.26808103919029236,0.3368259370326996,0.10033559054136276,0.30948370695114136,0.2791718542575836,0.24887146055698395,0.289366751909256,0.2743644714355469,0.20749305188655853,0.21386858820915222
",",0.3087472915649414,0.26931890845298767,0.11016341298818588,0.25442883372306824,0.3283645510673523,0.4137537479400635,0.3057606518268585,0.2189975380897522,0.6633074283599854,0.2104731798171997,0.44245919585227966,0.39254459738731384,0.26042988896369934,0.31091248989105225
equality,0.2506782114505768,0.11738516390323639,0.04378359019756317,0.3073523938655853,0.14486326277256012,0.3037876486778259,0.14814108610153198,1.0,0.27724745869636536,0.49296072125434875,0.24343636631965637,0.24246369302272797,0.21609386801719666,0.19821703433990479
and,0.31309178471565247,0.21252579987049103,-0.0602874718606472,0.26227831840515137,0.276123583316803,0.4731321930885315,0.2964467406272888,0.27724745869636536,1.0,0.21234042942523956,0.48971283435821533,0.41766801476478577,0.30286654829978943,0.20544172823429108
democracy,0.22238294780254364,0.139055997133255,0.08772626519203186,0.4489254355430603,0.14181070029735565,0.23255355656147003,0.14264698326587677,0.49296072125434875,0.21234042942523956,1.0000001192092896,0.1917584091424942,0.17567305266857147,0.1568048894405365,0.20770417153835297
are,0.29724663496017456,0.1191050261259079,-0.1517762839794159,0.09480422735214233,0.41111594438552856,0.45265161991119385,0.21512891352176666,0.1863248646259308,0.48576638102531433,0.15860235691070557,0.3504326641559601,0.5556803941726685,0.3488158583641052,0.24591213464736938
deficient,0.2751655578613281,0.20908398926258087,-0.05991221219301224,0.11451510339975357,0.30092644691467285,0.4049839377403259,0.3593950867652893,0.21609386801719666,0.30286654829978943,0.1568048894405365,0.2989615201950073,0.39709991216659546,0.9999998807907104,0.22139598429203033
because,0.46729007363319397,0.10465729981660843,-0.1617082953453064,0.18986336886882782,0.39530807733535767,0.6503599286079407,0.34277501702308655,0.2906852662563324,0.5069696307182312,0.19217205047607422,0.5166091918945312,0.5052481293678284,0.4082620441913605,0.2528740465641022
the,0.42745697498321533,0.15812695026397705,-0.11449059844017029,0.26521381735801697,0.30239659547805786,0.5473989248275757,0.2518732249736786,0.2277037352323532,0.5171257257461548,0.22284646332263947,0.535392165184021,0.4248143136501312,0.26661884784698486,0.22068053483963013
elected,0.16005432605743408,0.07774791121482849,0.09780319035053253,0.5323356986045837,0.1694035679101944,0.16469326615333557,0.10971078276634216,0.2694660425186157,0.19514460861682892,0.37971293926239014,0.21424545347690582,0.156069815158844,0.09799584746360779,0.1966295689344406
representatives,0.20896917581558228,0.14333273470401764,0.09340881556272507,0.5233114957809448,0.18403325974941254,0.2068973034620285,0.18389590084552765,0.24246875941753387,0.21731732785701752,0.37453901767730713,0.24800893664360046,0.18422095477581024,0.1588371843099594,0.14079871773719788
in,0.30808621644973755,0.12653891742229462,-0.0012929976219311357,0.2323146015405655,0.23402775824069977,0.435920387506485,0.2674790024757385,0.1692870706319809,0.4954058527946472,0.19644030928611755,0.45010748505592346,0.3481820821762085,0.22775745391845703,0.20430970191955566
the,0.42745697498321533,0.15812695026397705,-0.11449059844017029,0.26521381735801697,0.30239659547805786,0.5473989248275757,0.2518732249736786,0.2277037352323532,0.5171257257461548,0.22284646332263947,0.535392165184021,0.4248143136501312,0.26661884784698486,0.22068053483963013
parliament,0.21650300920009613,0.1331840306520462,0.12146173417568207,1.0,0.12404073029756546,0.17629513144493103,0.11796782910823822,0.3073523938655853,0.26227831840515137,0.4489254355430603,0.20290622115135193,0.1534755527973175,0.11451510339975357,0.1586504578590393
