,what,organization,was,led,by,hasan,al-hudaybi,?
while,0.35511791706085205,0.19824106991291046,0.3253832161426544,0.2681278884410858,0.3083919286727905,0.18261565268039703,0.18793174624443054,0.21076419949531555
qutb,0.2122718095779419,0.24951215088367462,0.37132319808006287,0.28683993220329285,0.22461478412151337,0.6532846093177795,0.5082085132598877,0.18769441545009613
's,0.02692362666130066,0.033295970410108566,0.008974763564765453,-0.01628696173429489,-0.010884488001465797,-0.03124871291220188,0.02375205233693123,-0.023395681753754616
ideas,0.42330971360206604,0.2180335521697998,0.2628113329410553,0.2672214210033417,0.2588382065296173,0.08904048055410385,0.15447072684764862,0.2857283353805542
became,0.1434093862771988,0.19845446944236755,0.6575068235397339,0.35553088784217834,0.24051691591739655,0.1728634238243103,0.2511041462421417,0.11374033987522125
increasingly,0.19974569976329803,0.26916053891181946,0.2546843886375427,0.3224193751811981,0.2621919810771942,0.14493128657341003,0.2019921839237213,0.059327382594347
radical,0.24992598593235016,0.3363218605518341,0.1976642906665802,0.22036442160606384,0.1902960240840912,0.1610485017299652,0.14956489205360413,0.1306871920824051
during,0.24137552082538605,0.19484125077724457,0.4470829963684082,0.3935515582561493,0.3220438063144684,0.1714574694633484,0.209804505109787,0.1325719803571701
his,0.26976513862609863,0.16276459395885468,0.4405253231525421,0.30691808462142944,0.3107621967792511,0.2933173179626465,0.23042576014995575,0.18075084686279297
imprisonment,0.16481763124465942,0.2185942828655243,0.2781297266483307,0.20354288816452026,0.15846490859985352,0.2808096408843994,0.23950111865997314,0.13416679203510284
prior,0.2537507116794586,0.2031623274087906,0.29096508026123047,0.25720614194869995,0.2645944356918335,0.1255224496126175,0.11568018049001694,0.16978254914283752
to,0.455847829580307,0.26166829466819763,0.3636345863342285,0.21815308928489685,0.33534231781959534,0.1414252668619156,0.18542440235614777,0.29463258385658264
his,0.26976513862609863,0.16276459395885468,0.4405253231525421,0.30691808462142944,0.3107621967792511,0.2933173179626465,0.23042576014995575,0.18075084686279297
execution,0.2218502163887024,0.2189931422472,0.2584546208381653,0.22481413185596466,0.2716760039329529,0.17087985575199127,0.20816552639007568,0.15878841280937195
in,0.30808621644973755,0.2513086795806885,0.45514053106307983,0.2990247309207916,0.370934396982193,0.1818476766347885,0.24707773327827454,0.20430970191955566
1966,0.04680648446083069,-0.13138823211193085,-0.12360594421625137,-0.09801480174064636,0.044637467712163925,-0.020715951919555664,0.030303502455353737,0.08956238627433777
",",0.3087472915649414,0.1819751113653183,0.45456063747406006,0.22548827528953552,0.3680937886238098,0.22302143275737762,0.3180411756038666,0.31091248989105225
the,0.42745697498321533,0.311172217130661,0.48711544275283813,0.3267505168914795,0.4408751428127289,0.20245325565338135,0.1992262452840805,0.22068053483963013
leadership,0.2053566873073578,0.337603896856308,0.31339120864868164,0.4325118362903595,0.2747199237346649,0.24228623509407043,0.1945219486951828,0.08979988098144531
of,0.33290785551071167,0.25438958406448364,0.4069072902202606,0.32918456196784973,0.3646814823150635,0.197733074426651,0.1626335084438324,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.48711544275283813,0.3267505168914795,0.4408751428127289,0.20245325565338135,0.1992262452840805,0.22068053483963013
brotherhood,0.168807253241539,0.3668496310710907,0.2586901783943176,0.2333245426416397,0.25664007663726807,0.32690978050231934,0.2912295460700989,0.1117945984005928
",",0.3087472915649414,0.1819751113653183,0.45456063747406006,0.22548827528953552,0.3680937886238098,0.22302143275737762,0.3180411756038666,0.31091248989105225
led,0.12112844735383987,0.24316361546516418,0.34443995356559753,0.9999999403953552,0.30694612860679626,0.1941705197095871,0.1792096197605133,0.09273858368396759
by,0.2455483376979828,0.19509689509868622,0.4752357602119446,0.30694612860679626,1.0000001192092896,0.15265321731567383,0.17986024916172028,0.17966607213020325
hasan,0.15078935027122498,0.15517006814479828,0.2544812262058258,0.1941705197095871,0.15265321731567383,1.0,0.5635098218917847,0.19237303733825684
