,besides,countries,of,origin,and,date,of,production,",",how,are,the,textiles,classified,?
these,0.4513048827648163,0.3716108500957489,0.42684608697891235,0.1912320852279663,0.5314885973930359,0.15472975373268127,0.42684608697891235,0.21990540623664856,0.37613096833229065,0.41104358434677124,0.7107698917388916,0.49086877703666687,0.3251889944076538,0.3837910592556,0.2571668326854706
are,0.4436670243740082,0.35174399614334106,0.39081433415412903,0.19181038439273834,0.48576638102531433,0.1222395971417427,0.39081433415412903,0.17701907455921173,0.4062570035457611,0.311818927526474,1.0,0.40399202704429626,0.2753138542175293,0.3116118311882019,0.24591213464736938
classified,0.1694626361131668,0.18199163675308228,0.1888706386089325,0.24688032269477844,0.19425830245018005,0.13052596151828766,0.1888706386089325,0.17371766269207,0.26173529028892517,0.18867139518260956,0.3116118311882019,0.24516408145427704,0.09916151314973831,1.0,0.1583244353532791
by,0.23799698054790497,0.2241220921278,0.3646814823150635,0.15467306971549988,0.4289871156215668,0.1930214762687683,0.3646814823150635,0.24570661783218384,0.3680937886238098,0.34370526671409607,0.37842893600463867,0.4408751428127289,0.18405647575855255,0.2039472460746765,0.17966607213020325
technique,0.1325547844171524,0.17222651839256287,0.1720840036869049,0.13174986839294434,0.1709360033273697,0.16810669004917145,0.1720840036869049,0.2599514126777649,0.19078779220581055,0.27609971165657043,0.17833267152309418,0.17307476699352264,0.3223145604133606,0.16714631021022797,0.13460883498191833
",",0.340058833360672,0.2966555655002594,0.4946078956127167,0.2943580448627472,0.6633074283599854,0.2279704213142395,0.4946078956127167,0.24176549911499023,1.0000001192092896,0.22659391164779663,0.4062570035457611,0.4933079481124878,0.26673367619514465,0.26173529028892517,0.31091248989105225
countries,0.2701526880264282,0.9999999403953552,0.2800094783306122,0.14874783158302307,0.37200918793678284,0.19721011817455292,0.2800094783306122,0.2255096286535263,0.2966555655002594,0.22695748507976532,0.35174399614334106,0.33290645480155945,0.27367085218429565,0.18199163675308228,0.15128466486930847
of,0.3665722906589508,0.2800094783306122,1.0,0.23941168189048767,0.5116966962814331,0.19568462669849396,1.0,0.1928233802318573,0.4946078956127167,0.2480744868516922,0.39081433415412903,0.733189046382904,0.2785990536212921,0.1888706386089325,0.1826142966747284
origin,0.16201630234718323,0.14874783158302307,0.23941168189048767,1.0,0.18243800103664398,0.17742155492305756,0.23941168189048767,0.09980234503746033,0.2943580448627472,0.1764616072177887,0.19181038439273834,0.24161343276500702,0.18100614845752716,0.24688032269477844,0.12716172635555267
and,0.3610946238040924,0.37200918793678284,0.5116966962814331,0.18243800103664398,1.0,0.21585220098495483,0.5116966962814331,0.25569969415664673,0.6633074283599854,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.3158003091812134,0.19425830245018005,0.20544172823429108
date,0.09219133108854294,0.19721011817455292,0.19568462669849396,0.17742155492305756,0.21585220098495483,1.0,0.19568462669849396,0.11940356343984604,0.2279704213142395,0.16644634306430817,0.1222395971417427,0.25333094596862793,0.13990461826324463,0.13052596151828766,0.2698357403278351
of,0.3665722906589508,0.2800094783306122,1.0,0.23941168189048767,0.5116966962814331,0.19568462669849396,1.0,0.1928233802318573,0.4946078956127167,0.2480744868516922,0.39081433415412903,0.733189046382904,0.2785990536212921,0.1888706386089325,0.1826142966747284
production,0.18911601603031158,0.2255096286535263,0.1928233802318573,0.09980234503746033,0.25569969415664673,0.11940356343984604,0.1928233802318573,1.0,0.24176549911499023,0.19858919084072113,0.17701907455921173,0.2657334506511688,0.37792345881462097,0.17371766269207,0.19318072497844696
.,0.28636154532432556,0.27938392758369446,0.5352458953857422,0.21880026161670685,0.588965117931366,0.2508279085159302,0.5352458953857422,0.22297915816307068,0.6812511086463928,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.24163475632667542,0.22738878428936005,0.4130953550338745
