,what,way,do,some,people,perform,civil,disobedience,in,a,constructive,way,?
some,0.4491020441055298,0.40999090671539307,0.4725562036037445,0.9999999403953552,0.40364471077919006,0.28113824129104614,0.1851816177368164,0.28606411814689636,0.4010399878025055,0.34539633989334106,0.32149437069892883,0.40999090671539307,0.2562315762042999
civil,0.15091551840305328,0.19996517896652222,0.12413616478443146,0.1851816177368164,0.24625034630298615,0.11787226051092148,1.0,0.5442691445350647,0.26466667652130127,0.21693918108940125,0.1971656233072281,0.19996517896652222,0.1494513899087906
disobedience,0.3298627436161041,0.31525278091430664,0.26727163791656494,0.28606411814689636,0.2943185269832611,0.2712376117706299,0.5442691445350647,1.0,0.3054615259170532,0.25352153182029724,0.2657301425933838,0.31525278091430664,0.19890835881233215
defendants,0.2779662609100342,0.2191048115491867,0.2739960253238678,0.28657054901123047,0.3481615483760834,0.1973840296268463,0.30029261112213135,0.4582981467247009,0.2303522229194641,0.2493535876274109,0.24616330862045288,0.2191048115491867,0.2534805238246918
choose,0.37237128615379333,0.3084987998008728,0.37000808119773865,0.3382846713066101,0.26329439878463745,0.29189884662628174,0.1378699243068695,0.22345413267612457,0.20494447648525238,0.2866401672363281,0.2115217000246048,0.3084987998008728,0.2863835394382477
to,0.455847829580307,0.4772548973560333,0.38876664638519287,0.4636894166469574,0.37275731563568115,0.3513144552707672,0.2019355595111847,0.30665844678878784,0.45010748505592346,0.45503583550453186,0.3608773350715637,0.4772548973560333,0.29463258385658264
make,0.3792211413383484,0.4440181851387024,0.41790449619293213,0.4977634847164154,0.33739447593688965,0.2674369215965271,0.13057351112365723,0.22929057478904724,0.268858402967453,0.34303420782089233,0.36945369839668274,0.4440181851387024,0.28314751386642456
a,0.3320399522781372,0.3330821096897125,0.26237669587135315,0.34539633989334106,0.3483705520629883,0.219420924782753,0.21693918108940125,0.25352153182029724,0.539380669593811,1.0,0.3074401915073395,0.3330821096897125,0.23916715383529663
defiant,0.22705425322055817,0.2373705357313156,0.132068932056427,0.2782115936279297,0.18193207681179047,0.06393271684646606,0.28877177834510803,0.3716519773006439,0.23851805925369263,0.24813856184482574,0.19491954147815704,0.2373705357313156,0.23026308417320251
speech,0.2549518346786499,0.24372898042201996,0.16211816668510437,0.20965929329395294,0.24817392230033875,0.22776620090007782,0.19007819890975952,0.33553940057754517,0.22392018139362335,0.2413124442100525,0.1745814085006714,0.24372898042201996,0.1412617564201355
",",0.3087472915649414,0.2861018478870392,0.3283645510673523,0.42400437593460083,0.36644625663757324,0.19458305835723877,0.24795588850975037,0.2878543734550476,0.5201468467712402,0.427140474319458,0.3148652911186218,0.2861018478870392,0.31091248989105225
or,0.33867141604423523,0.3864600956439972,0.39439281821250916,0.5009974837303162,0.335800439119339,0.24756552278995514,0.12588919699192047,0.2553665041923523,0.3586423695087433,0.48853766918182373,0.3073066174983978,0.3864600956439972,0.32389625906944275
a,0.3320399522781372,0.3330821096897125,0.26237669587135315,0.34539633989334106,0.3483705520629883,0.219420924782753,0.21693918108940125,0.25352153182029724,0.539380669593811,1.0,0.3074401915073395,0.3330821096897125,0.23916715383529663
speech,0.2549518346786499,0.24372898042201996,0.16211816668510437,0.20965929329395294,0.24817392230033875,0.22776620090007782,0.19007819890975952,0.33553940057754517,0.22392018139362335,0.2413124442100525,0.1745814085006714,0.24372898042201996,0.1412617564201355
explaining,0.48103222250938416,0.41489535570144653,0.34968847036361694,0.3808285892009735,0.2082887589931488,0.1605936735868454,0.17318010330200195,0.3370790183544159,0.2945616543292999,0.3281087875366211,0.3541822135448456,0.41489535570144653,0.4030202329158783
their,0.35142919421195984,0.34286630153656006,0.35424983501434326,0.5109887719154358,0.2901504337787628,0.3414086103439331,0.18000862002372742,0.31147265434265137,0.34976133704185486,0.29698723554611206,0.2323688417673111,0.34286630153656006,0.1898253709077835
actions,0.39243605732917786,0.3240288496017456,0.2960616946220398,0.28824669122695923,0.24580195546150208,0.2645101845264435,0.2958154082298279,0.4774394929409027,0.2084859013557434,0.22348695993423462,0.38233575224876404,0.3240288496017456,0.2841099798679352
",",0.3087472915649414,0.2861018478870392,0.3283645510673523,0.42400437593460083,0.36644625663757324,0.19458305835723877,0.24795588850975037,0.2878543734550476,0.5201468467712402,0.427140474319458,0.3148652911186218,0.2861018478870392,0.31091248989105225
in,0.30808621644973755,0.30444321036338806,0.23402775824069977,0.4010399878025055,0.39605680108070374,0.22578492760658264,0.26466667652130127,0.3054615259170532,1.0,0.539380669593811,0.23151977360248566,0.30444321036338806,0.20430970191955566
allocution,0.28556495904922485,0.3411257266998291,0.17879052460193634,0.31426259875297546,0.1804238259792328,0.23209421336650848,0.2576449513435364,0.48074665665626526,0.29397282004356384,0.3419976234436035,0.2566915452480316,0.3411257266998291,0.22413255274295807
.,0.3567904531955719,0.33520638942718506,0.3613996207714081,0.40663889050483704,0.33118996024131775,0.20621563494205475,0.2541380822658539,0.2603943943977356,0.5591574311256409,0.50484299659729,0.2817938029766083,0.33520638942718506,0.4130953550338745
