,what,problems,did,the,yuan,dynasty,have,near,its,end,?
the,0.42745697498321533,0.2659202516078949,0.34736719727516174,1.0,0.2548272907733917,0.26267939805984497,0.40389683842658997,0.2879819869995117,0.559237003326416,0.39658910036087036,0.22068053483963013
final,0.20972409844398499,0.1411440521478653,0.24226084351539612,0.3543182611465454,0.14317958056926727,0.15709464251995087,0.13584725558757782,0.05689831078052521,0.19899703562259674,0.2635479271411896,0.17315025627613068
years,0.1981470286846161,0.19183285534381866,0.2695724070072174,0.2912273406982422,0.17562805116176605,0.2351672351360321,0.31441381573677063,0.17832300066947937,0.17322497069835663,0.2339317500591278,0.1914375126361847
of,0.33290785551071167,0.2450421154499054,0.2513895630836487,0.733189046382904,0.22696353495121002,0.285645067691803,0.3802283704280853,0.2651676535606384,0.48690423369407654,0.2215006798505783,0.1826142966747284
the,0.42745697498321533,0.2659202516078949,0.34736719727516174,1.0,0.2548272907733917,0.26267939805984497,0.40389683842658997,0.2879819869995117,0.559237003326416,0.39658910036087036,0.22068053483963013
yuan,0.13503028452396393,0.20521967113018036,0.1467057168483734,0.2548272907733917,1.0,0.49336904287338257,0.16232050955295563,0.06293001025915146,0.17185570299625397,0.09810364991426468,0.12871281802654266
dynasty,0.17240095138549805,0.10537845641374588,0.19201454520225525,0.26267939805984497,0.49336904287338257,1.0,0.176484152674675,0.11781732738018036,0.2021685689687729,0.13392165303230286,0.15884074568748474
were,0.22298263013362885,0.2077484428882599,0.4162326455116272,0.3906462490558624,0.19657303392887115,0.195143923163414,0.5193349123001099,0.17739489674568176,0.20452921092510223,0.199965700507164,0.17890112102031708
marked,0.20913204550743103,0.16601543128490448,0.17826566100120544,0.36085957288742065,0.1276630014181137,0.14494086802005768,0.24599042534828186,0.19419918954372406,0.3192845284938812,0.3677976131439209,0.1466940939426422
by,0.2455483376979828,0.20223401486873627,0.18574509024620056,0.4408751428127289,0.19831176102161407,0.198152095079422,0.3359639644622803,0.10611382126808167,0.24398943781852722,0.19136181473731995,0.17966607213020325
struggle,0.23432134091854095,0.2691510021686554,0.21746955811977386,0.22927843034267426,0.17911428213119507,0.28915297985076904,0.18310581147670746,0.12095287442207336,0.19654519855976105,0.23878519237041473,0.1330908089876175
",",0.3087472915649414,0.2596952021121979,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.1976536363363266,0.3541618287563324,0.3141826391220093,0.33157986402511597,0.25448864698410034,0.31091248989105225
famine,0.28019973635673523,0.3060445487499237,0.2533646523952484,0.33704057335853577,0.30272623896598816,0.27916887402534485,0.2047826051712036,0.19465038180351257,0.18403571844100952,0.24110287427902222,0.17393353581428528
",",0.3087472915649414,0.2596952021121979,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.1976536363363266,0.3541618287563324,0.3141826391220093,0.33157986402511597,0.25448864698410034,0.31091248989105225
and,0.31309178471565247,0.285793662071228,0.34479495882987976,0.5171257257461548,0.22359056770801544,0.21357402205467224,0.4711785912513733,0.25046437978744507,0.3841775357723236,0.24708716571331024,0.20544172823429108
bitterness,0.25140270590782166,0.28959107398986816,0.237933948636055,0.28410470485687256,0.11531482636928558,0.16926783323287964,0.3342231214046478,0.23625998198986053,0.23959000408649445,0.20191431045532227,0.1547718197107315
among,0.21154822409152985,0.2574266791343689,0.2415449470281601,0.3507058024406433,0.14632277190685272,0.1666606217622757,0.3610895574092865,0.16018445789813995,0.2030593305826187,0.14241282641887665,0.14343059062957764
the,0.42745697498321533,0.2659202516078949,0.34736719727516174,1.0,0.2548272907733917,0.26267939805984497,0.40389683842658997,0.2879819869995117,0.559237003326416,0.39658910036087036,0.22068053483963013
populace,0.23344634473323822,0.1759338676929474,0.14657682180404663,0.25085875391960144,0.1444096714258194,0.24828188121318817,0.23096723854541779,0.16849233210086823,0.25879931449890137,0.15656550228595734,0.2383187860250473
.,0.3567904531955719,0.2602308988571167,0.35288307070732117,0.5934505462646484,0.17233723402023315,0.20616187155246735,0.41614407300949097,0.2532462477684021,0.3566088080406189,0.26526886224746704,0.4130953550338745
