,what,kind,of,audience,share,did,mnf,allow,abc,to,attain,according,to,goldenson,?
according,0.2776208221912384,0.15423284471035004,0.3307822346687317,0.22241464257240295,0.23197996616363525,0.19118738174438477,0.12774106860160828,0.20876452326774597,0.17095112800598145,0.28520727157592773,0.2559065520763397,1.0,0.28520727157592773,0.15906700491905212,0.21173474192619324
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.3071196377277374,0.27366065979003906,0.4452643394470215,0.3333909213542938,0.4900954067707062,0.1762417107820511,1.0,0.3310965299606323,0.28520727157592773,1.0,0.18715453147888184,0.29463258385658264
goldenson,0.24370093643665314,0.16647036373615265,0.21861588954925537,0.17078393697738647,0.19079406559467316,0.18173369765281677,0.26497912406921387,0.16081266105175018,0.29072654247283936,0.18715453147888184,0.10227002203464508,0.15906700491905212,0.18715453147888184,1.0,0.2495560646057129
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20119218528270721,0.29725754261016846,0.3015086054801941,0.34382107853889465,0.24557842314243317,0.2097204476594925,0.44245919585227966,0.21641060709953308,0.3107093870639801,0.44245919585227966,0.3194567561149597,0.31091248989105225
monday,0.2309933304786682,0.1122768372297287,0.11139426380395889,0.25597089529037476,0.22413334250450134,0.17025557160377502,0.3435167372226715,0.17307329177856445,0.32618746161460876,0.2069530338048935,0.05796407163143158,0.16972783207893372,0.2069530338048935,0.21626411378383636,0.21348176896572113
night,0.20251014828681946,0.17595313489437103,0.19958451390266418,0.22217467427253723,0.1068917065858841,0.22770699858665466,0.23554417490959167,0.13862784206867218,0.21145369112491608,0.1691640168428421,0.13204970955848694,0.17696967720985413,0.1691640168428421,0.24620766937732697,0.13794848322868347
football,0.21136903762817383,0.0776723176240921,0.2184123694896698,0.17682069540023804,0.12187011539936066,0.1318265050649643,0.3184952735900879,0.11687274277210236,0.17121970653533936,0.14816443622112274,0.05022260546684265,0.13956913352012634,0.14816443622112274,0.1707572340965271,0.14957410097122192
helped,0.1926339715719223,0.17214511334896088,0.26548290252685547,0.1517956405878067,0.17818428575992584,0.48476338386535645,0.19951680302619934,0.35058876872062683,0.0955943837761879,0.42226478457450867,0.16460055112838745,0.21834519505500793,0.42226478457450867,0.1595458984375,0.16572049260139465
earn,0.16168662905693054,0.1636970043182373,0.1868710219860077,0.21428371965885162,0.2639015316963196,0.2935096025466919,0.17273066937923431,0.29739856719970703,0.16075991094112396,0.2928581237792969,0.3400404155254364,0.17408029735088348,0.2928581237792969,0.2253519594669342,0.20429526269435883
abc,0.1317344456911087,0.16052275896072388,0.14607268571853638,0.09336394816637039,0.12420445680618286,0.13353709876537323,0.31312915682792664,0.14492779970169067,1.0000001192092896,0.1762417107820511,0.012086250819265842,0.17095112800598145,0.1762417107820511,0.29072654247283936,0.19065172970294952
