,if,two,thirds,of,the,rhine,flows,through,waal,",",where,does,the,other,third,flow,through,?
the,0.33724796772003174,0.43858039379119873,0.39219605922698975,0.733189046382904,1.0,0.30735138058662415,0.32405155897140503,0.44071322679519653,0.14903073012828827,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.44152235984802246,0.4229298532009125,0.314039409160614,0.44071322679519653,0.22068053483963013
other,0.3864276111125946,0.46609029173851013,0.34256601333618164,0.38583824038505554,0.44152235984802246,0.19601790606975555,0.1795012354850769,0.261025607585907,0.16507025063037872,0.4446498453617096,0.3730994164943695,0.2947014272212982,0.44152235984802246,0.9999999403953552,0.200852170586586,0.2357497215270996,0.261025607585907,0.24682199954986572
third,0.2098575085401535,0.31169626116752625,0.5024660229682922,0.30602210760116577,0.4229298532009125,0.13787733018398285,0.10832085460424423,0.20344193279743195,0.08055504411458969,0.283071368932724,0.23761779069900513,0.16555646061897278,0.4229298532009125,0.200852170586586,1.0,0.11308018863201141,0.20344193279743195,0.15394791960716248
of,0.2557544410228729,0.37726253271102905,0.3725324273109436,1.0,0.733189046382904,0.2548927664756775,0.25574392080307007,0.3647414743900299,0.18245531618595123,0.4946078956127167,0.38066378235816956,0.3119818866252899,0.733189046382904,0.38583824038505554,0.30602210760116577,0.2407451719045639,0.3647414743900299,0.1826142966747284
the,0.33724796772003174,0.43858039379119873,0.39219605922698975,0.733189046382904,1.0,0.30735138058662415,0.32405155897140503,0.44071322679519653,0.14903073012828827,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.44152235984802246,0.4229298532009125,0.314039409160614,0.44071322679519653,0.22068053483963013
water,0.2533992528915405,0.20420964062213898,0.29542580246925354,0.2741255462169647,0.297396719455719,0.18943050503730774,0.39950031042099,0.3048591613769531,0.2104029655456543,0.26706066727638245,0.2081080675125122,0.29202038049697876,0.297396719455719,0.2921212315559387,0.1922961324453354,0.4377398192882538,0.3048591613769531,0.14731885492801666
flows,0.1637578308582306,0.1489696204662323,0.22187849879264832,0.25574392080307007,0.32405155897140503,0.2871347963809967,1.0,0.4745402932167053,0.2016027569770813,0.2638954818248749,0.23452386260032654,0.23165354132652283,0.32405155897140503,0.1795012354850769,0.10832085460424423,0.6895013451576233,0.4745402932167053,0.11636040359735489
through,0.24420002102851868,0.24710188806056976,0.2649146020412445,0.3647414743900299,0.44071322679519653,0.23343999683856964,0.4745402932167053,1.0,0.12586866319179535,0.3060276508331299,0.331196665763855,0.21495459973812103,0.44071322679519653,0.261025607585907,0.20344193279743195,0.3991040587425232,1.0,0.16913433372974396
the,0.33724796772003174,0.43858039379119873,0.39219605922698975,0.733189046382904,1.0,0.30735138058662415,0.32405155897140503,0.44071322679519653,0.14903073012828827,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.44152235984802246,0.4229298532009125,0.314039409160614,0.44071322679519653,0.22068053483963013
pannerdens,0.18533769249916077,0.21976600587368011,0.2825206518173218,0.28731927275657654,0.280071884393692,0.3437498211860657,0.1689608097076416,0.12913250923156738,0.31919509172439575,0.29709041118621826,0.2039089798927307,0.1983363777399063,0.280071884393692,0.1618623286485672,0.2071792036294937,0.18456484377384186,0.12913250923156738,0.1864292174577713
