,what,was,the,given,name,of,miami,'s,stadium,at,the,time,of,super,bowl,50,?
the,0.42745697498321533,0.48711544275283813,1.0,0.37508252263069153,0.3171212375164032,0.733189046382904,0.19180938601493835,-0.01540423184633255,0.21145665645599365,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
league,0.16616638004779816,0.21425791084766388,0.2724147439002991,0.1291443258523941,0.1580641269683838,0.23588460683822632,0.21914012730121613,0.0167086161673069,0.3161369860172272,0.21134859323501587,0.2724147439002991,0.2200031578540802,0.23588460683822632,0.37144264578819275,0.3365440368652344,0.07430867850780487,0.15941482782363892
eventually,0.28470873832702637,0.35699570178985596,0.42022404074668884,0.23713485896587372,0.16192349791526794,0.313495934009552,0.2125120609998703,-0.021462872624397278,0.11016884446144104,0.2721650004386902,0.42022404074668884,0.29147541522979736,0.313495934009552,0.2287168651819229,0.1778719127178192,-0.020709319040179253,0.13642115890979767
narrowed,0.25415581464767456,0.19033023715019226,0.3612460196018219,0.22041672468185425,0.1297641545534134,0.2496551126241684,0.08859174698591232,-0.01888054423034191,0.16127634048461914,0.20390474796295166,0.3612460196018219,0.1418663114309311,0.2496551126241684,0.14927197992801666,0.14345666766166687,0.030878890305757523,0.1559450924396515
the,0.42745697498321533,0.48711544275283813,1.0,0.37508252263069153,0.3171212375164032,0.733189046382904,0.19180938601493835,-0.01540423184633255,0.21145665645599365,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
bids,0.11914563924074173,0.18575212359428406,0.2717687487602234,0.18582043051719666,0.06371021270751953,0.26786938309669495,0.2861831784248352,0.0399346649646759,0.2175513356924057,0.2733835279941559,0.2717687487602234,0.22455017268657684,0.26786938309669495,0.16850195825099945,0.21797062456607819,0.06577780842781067,0.13915638625621796
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.3428947925567627,0.27806994318962097,0.41548454761505127,0.19240398705005646,0.03782717138528824,0.2075904905796051,0.36524343490600586,0.535392165184021,0.3679993152618408,0.41548454761505127,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
three,0.24888746440410614,0.2748996615409851,0.43452659249305725,0.2880477011203766,0.1462973952293396,0.3844621181488037,0.21556203067302704,0.03946888819336891,0.10102047026157379,0.2833487093448639,0.43452659249305725,0.3144358992576599,0.3844621181488037,0.14228717982769012,0.18332304060459137,-0.002454916713759303,0.20928427577018738
sites,0.23563508689403534,0.16607749462127686,0.2751152217388153,0.11849058419466019,0.1365012526512146,0.24120540916919708,0.08073759824037552,0.005346949212253094,0.2154092788696289,0.21714144945144653,0.2751152217388153,0.20653221011161804,0.24120540916919708,0.05213000252842903,0.041055768728256226,0.010206971317529678,0.20032718777656555
:,-0.12022944539785385,0.002802103292196989,-0.03403344005346298,-0.050898440182209015,-0.0774015560746193,-0.08807745575904846,-0.030870305374264717,0.07621461898088455,0.007205923553556204,-0.003970166202634573,-0.03403344005346298,0.031685952097177505,-0.08807745575904846,0.14034654200077057,0.14579139649868011,0.06510673463344574,-0.07156077772378922
