,how,many,modern,types,of,primality,tests,for,general,numbers,n,are,there,?
modern,0.15316444635391235,0.32647043466567993,0.9999999403953552,0.2835370600223541,0.3482828736305237,0.22611944377422333,0.16700369119644165,0.22431503236293793,0.10259630531072617,0.18817472457885742,0.11631318181753159,0.21159417927265167,0.18601153790950775,0.12475407868623734
primality,0.2755393981933594,0.226038858294487,0.22611944377422333,0.17405474185943604,0.28515246510505676,1.0,0.3223152756690979,0.2394213080406189,0.20099611580371857,0.33137062191963196,0.19567985832691193,0.20207759737968445,0.2484184056520462,0.24305593967437744
tests,0.330532968044281,0.24223513901233673,0.16700369119644165,0.3038696348667145,0.20151495933532715,0.3223152756690979,0.9999999403953552,0.22876225411891937,0.13637681305408478,0.21438613533973694,0.128870889544487,0.29837971925735474,0.22079099714756012,0.18650490045547485
for,0.3308170735836029,0.40972793102264404,0.22431503236293793,0.29793059825897217,0.4185989499092102,0.2394213080406189,0.22876225411891937,0.9999999403953552,0.23497237265110016,0.2885598838329315,0.1384572833776474,0.3895993232727051,0.3728419542312622,0.264628142118454
general,0.19638104736804962,0.21976788341999054,0.10259630531072617,0.13047192990779877,0.28352999687194824,0.20099611580371857,0.13637681305408478,0.23497237265110016,1.0000001192092896,0.2060379683971405,0.19029462337493896,0.15219135582447052,0.1402231752872467,0.1972234547138214
numbers,0.26623308658599854,0.3370567262172699,0.18817472457885742,0.2869747579097748,0.228018656373024,0.33137062191963196,0.21438613533973694,0.2885598838329315,0.2060379683971405,1.0,0.2380986362695694,0.37760815024375916,0.3104099631309509,0.19297972321510315
n,0.11270806193351746,0.10965675115585327,0.11631318181753159,0.10820002853870392,0.18925218284130096,0.19567985832691193,0.128870889544487,0.1384572833776474,0.19029462337493896,0.2380986362695694,1.0,0.17244575917720795,0.14223720133304596,0.19161871075630188
can,0.49246567487716675,0.4275496006011963,0.16479086875915527,0.42601388692855835,0.2603091299533844,0.2570280134677887,0.2953241169452667,0.35690054297447205,0.12571799755096436,0.32231637835502625,0.22125642001628876,0.5408529043197632,0.36423051357269287,0.3226337134838104
be,0.4158933162689209,0.3961109519004822,0.2118767350912094,0.31168943643569946,0.33904364705085754,0.23992806673049927,0.2834279537200928,0.3801851272583008,0.1851358562707901,0.2776923179626465,0.1837998479604721,0.5556803941726685,0.41019052267074585,0.3324260413646698
divided,0.1862497329711914,0.21604293584823608,0.2001308649778366,0.2466910481452942,0.37450557947158813,0.21693161129951477,0.12976139783859253,0.1359763741493225,0.1246214509010315,0.28001150488853455,0.12046375870704651,0.2984093725681305,0.3226991295814514,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.19603824615478516,0.2332717925310135,0.32255905866622925,0.05844903737306595,0.16526810824871063,0.231735959649086,0.11531101912260056,0.18468491733074188,0.11515535414218903,0.2930682599544525,0.2823928892612457,0.15662476420402527
two,0.2499001920223236,0.5147606730461121,0.2429143786430359,0.33505547046661377,0.37726253271102905,0.17501188814640045,0.1654592901468277,0.34734001755714417,0.20819194614887238,0.29811564087867737,0.18697558343410492,0.46276170015335083,0.40416133403778076,0.19645625352859497
main,0.1668178290128708,0.27179279923439026,0.202540323138237,0.3100771903991699,0.3177044689655304,0.140470951795578,0.11793704330921173,0.27491986751556396,0.13948088884353638,0.11359115689992905,0.09752874821424484,0.2828797399997711,0.3717656433582306,0.1665669083595276
classes,0.27750828862190247,0.2907905578613281,0.21086809039115906,0.375129371881485,0.19099700450897217,0.20035412907600403,0.29218414425849915,0.20599915087223053,0.1587367057800293,0.2427024245262146,0.08158168941736221,0.2913099527359009,0.22966980934143066,0.14397528767585754
",",0.22659391164779663,0.40610817074775696,0.2557750344276428,0.24108222126960754,0.4946078956127167,0.2514013350009918,0.1946844905614853,0.4464869201183319,0.3022127151489258,0.26479464769363403,0.2316582053899765,0.4062570035457611,0.4587128460407257,0.31091248989105225
probabilistic,0.33305326104164124,0.27064967155456543,0.24892574548721313,0.2953827679157257,0.27044472098350525,0.4517516493797302,0.3286546468734741,0.2172369658946991,0.15587720274925232,0.3827165961265564,0.29838740825653076,0.2588419020175934,0.2479742020368576,0.2061566412448883
(,0.1676948219537735,0.1455259770154953,0.15444137156009674,0.12465982884168625,0.35032153129577637,0.23235595226287842,0.128361314535141,0.3357032239437103,0.23743551969528198,0.16701039671897888,0.23732076585292816,0.23263892531394958,0.22351126372814178,0.40561532974243164
or,0.3378981947898865,0.36905089020729065,0.23133128881454468,0.41673311591148376,0.3792596757411957,0.2643619477748871,0.27414265275001526,0.4111599624156952,0.16815856099128723,0.28782588243484497,0.24063420295715332,0.5374364256858826,0.4594070315361023,0.32389625906944275
``,-0.01591024175286293,0.012824942357838154,0.07341054081916809,0.001780139748007059,0.06780257821083069,0.1691097617149353,0.04267153888940811,0.01270448137074709,0.09047812968492508,0.3660886883735657,0.11577767878770828,0.12624181807041168,0.0756821483373642,0.0685480609536171
monte,0.07608926296234131,0.20040225982666016,0.17856967449188232,0.082942433655262,0.2197408378124237,0.2099359780550003,0.037796344608068466,0.11504677683115005,0.15226681530475616,0.23688670992851257,0.12482141703367233,0.14704068005084991,0.16576515138149261,0.09090651571750641
carlo,0.07524445652961731,0.16617535054683685,0.10108596831560135,0.10543065518140793,0.19275137782096863,0.23388506472110748,0.16849592328071594,0.17271707952022552,0.08092988282442093,0.2201300412416458,0.08818279951810837,0.13816297054290771,0.13121548295021057,0.09809290617704391
'',-0.0029843549709767103,-0.016843097284436226,0.0925660952925682,-0.006088451948016882,0.13035868108272552,0.05380835011601448,0.02609436772763729,-0.04479556903243065,0.022419413551688194,-0.03071683831512928,0.07452951371669769,0.0263817198574543,0.03646579384803772,0.018684765323996544
),0.17939934134483337,0.16602720320224762,0.17084072530269623,0.11417452245950699,0.3680361211299896,0.22714713215827942,0.1236291229724884,0.3639558255672455,0.22449038922786713,0.18779772520065308,0.23685944080352783,0.2373749315738678,0.24042794108390808,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.3277876079082489,0.3014242649078369,0.5116966962814331,0.2639926075935364,0.24490387737751007,0.5064792633056641,0.25860127806663513,0.24053069949150085,0.2290663868188858,0.48576638102531433,0.4242868423461914,0.20544172823429108
deterministic,0.3834975063800812,0.2691665291786194,0.2809147238731384,0.25489720702171326,0.3430701494216919,0.5305546522140503,0.36841627955436707,0.3079332709312439,0.2794766128063202,0.32849597930908203,0.2690950036048889,0.32042157649993896,0.2738858461380005,0.26914435625076294
algorithms,0.26876819133758545,0.20716683566570282,0.23668377101421356,0.2503676116466522,0.22317801415920258,0.3967086672782898,0.34709712862968445,0.25604015588760376,0.25513726472854614,0.427986741065979,0.1639273315668106,0.2718161344528198,0.17341506481170654,0.186949223279953
.,0.3287222981452942,0.3974229395389557,0.22790057957172394,0.2097296416759491,0.5352458953857422,0.23931632936000824,0.2334611713886261,0.4726039469242096,0.2929490804672241,0.2591777741909027,0.29137879610061646,0.3452940285205841,0.43897318840026855,0.4130953550338745
