,what,is,the,name,of,the,supposition,that,any,number,larger,than,2,can,be,represented,as,the,sum,of,two,primes,?
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.206878662109375,0.37253960967063904,0.4335206151008606,0.2615402936935425,0.5391656160354614,0.39810672402381897,0.41408368945121765,0.2907698154449463,0.39069414138793945,-0.06294522434473038,0.4275496006011963,0.3961109519004822,0.20285002887248993,0.4070141911506653,0.4335206151008606,0.16164201498031616,0.37253960967063904,0.5147606730461121,0.2377949059009552,0.2124512493610382
questions,0.4857400059700012,0.2165350317955017,0.23562853038311005,0.06590934097766876,0.2210283875465393,0.23562853038311005,0.33632251620292664,0.3304099440574646,0.42970648407936096,0.19542355835437775,0.09192489087581635,0.24236910045146942,-0.10295894742012024,0.3215586841106415,0.3082304298877716,0.19054332375526428,0.2683158814907074,0.23562853038311005,0.23827536404132843,0.2210283875465393,0.2383899986743927,0.29572951793670654,0.42967134714126587
regarding,0.36432263255119324,0.2110801786184311,0.29280903935432434,0.09078078716993332,0.2715161442756653,0.29280903935432434,0.346858948469162,0.40174636244773865,0.4058089852333069,0.2139064520597458,0.1263331025838852,0.2226802408695221,-0.003680927213281393,0.241890549659729,0.31820258498191833,0.18277259171009064,0.2799603343009949,0.29280903935432434,0.16528421640396118,0.2715161442756653,0.23036836087703705,0.18835978209972382,0.36967232823371887
prime,0.15586113929748535,0.16680827736854553,0.19960100948810577,0.15097270905971527,0.23935265839099884,0.19960100948810577,0.2541818916797638,0.18163643777370453,0.11211950331926346,0.2556258738040924,0.1134101077914238,0.1307777762413025,0.058812014758586884,0.1305878609418869,0.14576895534992218,0.22543124854564667,0.17482610046863556,0.19960100948810577,0.20612673461437225,0.23935265839099884,0.15357251465320587,0.7104739546775818,0.11276303976774216
numbers,0.24586999416351318,0.19465886056423187,0.293011337518692,0.1817430555820465,0.228018656373024,0.293011337518692,0.27412301301956177,0.342125803232193,0.3530762493610382,0.7132124304771423,0.26419615745544434,0.2706771492958069,-0.025768423452973366,0.32231637835502625,0.2776923179626465,0.21105548739433289,0.2396276444196701,0.293011337518692,0.39133813977241516,0.228018656373024,0.29811564087867737,0.47689586877822876,0.19297972321510315
remain,0.29587244987487793,0.2643626928329468,0.33184581995010376,0.10734425485134125,0.29009148478507996,0.33184581995010376,0.3616069555282593,0.36095982789993286,0.3558341860771179,0.20532414317131042,0.19793842732906342,0.20885278284549713,0.03316029906272888,0.25729820132255554,0.4349404573440552,0.237509623169899,0.2654021382331848,0.33184581995010376,0.1476570963859558,0.29009148478507996,0.25093111395835876,0.16688890755176544,0.1868363618850708
open,0.2022915631532669,0.1846783459186554,0.2764171361923218,0.09410279989242554,0.17970167100429535,0.2764171361923218,0.1180267184972763,0.2551592290401459,0.2379334419965744,0.20972773432731628,0.19954194128513336,0.1975470632314682,0.04849756509065628,0.24541886150836945,0.25130099058151245,0.13794632256031036,0.1737249791622162,0.2764171361923218,0.11131305247545242,0.17970167100429535,0.2000420242547989,0.14219556748867035,0.20715104043483734
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24216924607753754,0.4137537479400635,0.3237466514110565,0.2535701394081116,0.2491181194782257,0.3371901512145996,-0.08638399094343185,0.3139454126358032,0.39254459738731384,0.3088570833206177,0.48816442489624023,0.4933079481124878,0.2446640431880951,0.4946078956127167,0.35859420895576477,0.29003697633743286,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.14280109107494354,0.3209529519081116,0.3575236201286316,0.20327481627464294,0.4479874074459076,0.4017013609409332,0.30011066794395447,0.32803186774253845,0.4386829137802124,0.0024840845726430416,0.396209716796875,0.5239806771278381,0.2220982164144516,0.6207084655761719,0.3575236201286316,0.14079442620277405,0.3209529519081116,0.29377371072769165,0.22065632045269012,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.3040417730808258,0.4735107421875,0.35746830701828003,0.26786008477211,0.2847188115119934,0.40532299876213074,-0.038299113512039185,0.3245031237602234,0.5230465531349182,0.2912856340408325,1.0,0.48381632566452026,0.13355539739131927,0.3886612355709076,0.3029302954673767,0.23833559453487396,0.27043893933296204
