,mazda,",",mitsubishi,and,isuzu,joined,partnership,with,which,american,car,company,?
mazda,1.0000001192092896,0.22017808258533478,0.5887457132339478,0.20674490928649902,0.46176984906196594,0.12421702593564987,0.2224714308977127,0.1473810374736786,0.24258381128311157,0.14167708158493042,0.3329314887523651,0.29245197772979736,0.22066384553909302
",",0.22017808258533478,1.0000001192092896,0.1618453562259674,0.6633074283599854,0.24572883546352386,0.23146051168441772,0.23560190200805664,0.4120737314224243,0.3658004403114319,0.3048616647720337,0.21104301512241364,0.2697763442993164,0.31091248989105225
mitsubishi,0.5887457132339478,0.1618453562259674,0.9999998807907104,0.18785473704338074,0.6337601542472839,0.18361113965511322,0.3332013487815857,0.22887730598449707,0.2878035306930542,0.15363861620426178,0.3772517442703247,0.4345223605632782,0.15891717374324799
and,0.20674490928649902,0.6633074283599854,0.18785473704338074,1.0,0.23023195564746857,0.31977471709251404,0.3011729121208191,0.5477725267410278,0.506277859210968,0.32290002703666687,0.19568514823913574,0.23788511753082275,0.20544172823429108
isuzu,0.46176984906196594,0.24572883546352386,0.6337601542472839,0.23023195564746857,1.0000001192092896,0.1806746870279312,0.3084787130355835,0.15237995982170105,0.2576717138290405,0.15654654800891876,0.3727826476097107,0.2946875989437103,0.10127309709787369
had,0.1477375030517578,0.35487717390060425,0.18954402208328247,0.3872550129890442,0.23124974966049194,0.3271741569042206,0.22367151081562042,0.4739086329936981,0.3188965916633606,0.20283499360084534,0.21089300513267517,0.19269630312919617,0.20728366076946259
joint,0.14177778363227844,0.1446857750415802,0.2486112415790558,0.1892649531364441,0.2030467391014099,0.3146643340587616,0.30873194336891174,0.2725379467010498,0.24165283143520355,0.14885377883911133,0.17496660351753235,0.2951229512691498,0.15804731845855713
partnerships,0.2155846208333969,0.2320704162120819,0.3378473222255707,0.3430631458759308,0.29676854610443115,0.287691593170166,0.9057395458221436,0.272896945476532,0.2327248752117157,0.15415838360786438,0.18436561524868011,0.3801414966583252,0.13447776436805725
with,0.1473810374736786,0.4120737314224243,0.22887730598449707,0.5477725267410278,0.15237995982170105,0.3091675937175751,0.2440488487482071,0.9999999403953552,0.46403205394744873,0.20245933532714844,0.13829351961612701,0.24132338166236877,0.2433311939239502
ford,0.3037164807319641,0.17111018300056458,0.3281996548175812,0.1880313605070114,0.3925749361515045,0.14433448016643524,0.19168202579021454,0.1284576803445816,0.1759905368089676,0.2701592445373535,0.44395124912261963,0.2871502637863159,0.19164219498634338
",",0.22017808258533478,1.0000001192092896,0.1618453562259674,0.6633074283599854,0.24572883546352386,0.23146051168441772,0.23560190200805664,0.4120737314224243,0.3658004403114319,0.3048616647720337,0.21104301512241364,0.2697763442993164,0.31091248989105225
chrysler,0.38102656602859497,0.21499164402484894,0.522925853729248,0.1509794294834137,0.5203332304954529,0.0874251052737236,0.2964853048324585,0.15594998002052307,0.24411582946777344,0.22841422259807587,0.424324631690979,0.4021018445491791,0.17612145841121674
",",0.22017808258533478,1.0000001192092896,0.1618453562259674,0.6633074283599854,0.24572883546352386,0.23146051168441772,0.23560190200805664,0.4120737314224243,0.3658004403114319,0.3048616647720337,0.21104301512241364,0.2697763442993164,0.31091248989105225
and,0.20674490928649902,0.6633074283599854,0.18785473704338074,1.0,0.23023195564746857,0.31977471709251404,0.3011729121208191,0.5477725267410278,0.506277859210968,0.32290002703666687,0.19568514823913574,0.23788511753082275,0.20544172823429108
gm,0.2337796688079834,0.20211827754974365,0.2747988700866699,0.16249778866767883,0.3597660958766937,0.04922342300415039,0.19922615587711334,0.18620672821998596,0.1851051151752472,0.10491989552974701,0.25701549649238586,0.1891874074935913,0.15425772964954376
",",0.22017808258533478,1.0000001192092896,0.1618453562259674,0.6633074283599854,0.24572883546352386,0.23146051168441772,0.23560190200805664,0.4120737314224243,0.3658004403114319,0.3048616647720337,0.21104301512241364,0.2697763442993164,0.31091248989105225
respectively,0.10653217881917953,0.388640433549881,0.1709272712469101,0.4110310673713684,0.2698622941970825,0.21884900331497192,0.21363167464733124,0.40220972895622253,0.28874409198760986,0.1340257227420807,0.10849788039922714,0.13129442930221558,0.1307799071073532
.,0.28650200366973877,0.6812511086463928,0.2622373104095459,0.588965117931366,0.19161511957645416,0.23954392969608307,0.21834100782871246,0.4446153938770294,0.45942068099975586,0.29108086228370667,0.2388465255498886,0.266353577375412,0.4130953550338745
