,what,cytokines,are,responsible,for,communication,between,white,blood,cells,?
common,0.19989867508411407,0.24072232842445374,0.3463647663593292,0.17239226400852203,0.25494384765625,0.17130924761295319,0.21916918456554413,0.15768906474113464,0.20218788087368011,0.1744508147239685,0.20434872806072235
cytokines,0.23624680936336517,1.0000001192092896,0.3043077886104584,0.3426264226436615,0.20282796025276184,0.34814736247062683,0.20954269170761108,0.18724416196346283,0.41006290912628174,0.6944684386253357,0.15750601887702942
include,0.1535889357328415,0.25032639503479004,0.5140694975852966,0.1871393620967865,0.39020416140556335,0.1379396617412567,0.2095978707075119,0.0995388925075531,0.20222443342208862,0.1654159277677536,0.14925788342952728
interleukins,0.26145076751708984,0.5773234367370605,0.3613850474357605,0.23352503776550293,0.3255369961261749,0.3963146209716797,0.3326335549354553,0.2638217806816101,0.3372890055179596,0.48237016797065735,0.24482977390289307
that,0.6297725439071655,0.31150537729263306,0.45265161991119385,0.3398503065109253,0.4137635827064514,0.3133529722690582,0.299440860748291,0.2370445281267166,0.2747363746166229,0.2709589898586273,0.32716336846351624
are,0.29724663496017456,0.3043077886104584,1.0,0.2889936864376068,0.3895993232727051,0.27097564935684204,0.2766000032424927,0.17937533557415009,0.21018937230110168,0.2908284366130829,0.24591213464736938
responsible,0.26869386434555054,0.3426264226436615,0.2889936864376068,1.0,0.35061514377593994,0.27832168340682983,0.2000165581703186,0.15708211064338684,0.156202033162117,0.25393199920654297,0.11367333680391312
for,0.3017193675041199,0.20282796025276184,0.3895993232727051,0.35061514377593994,0.9999999403953552,0.27785179018974304,0.24671313166618347,0.17847545444965363,0.17462210357189178,0.18419811129570007,0.264628142118454
communication,0.283955842256546,0.34814736247062683,0.27097564935684204,0.27832168340682983,0.27785179018974304,1.0,0.27635160088539124,0.12801098823547363,0.2159799486398697,0.2809174358844757,0.1517418920993805
between,0.2462156116962433,0.20954269170761108,0.2766000032424927,0.2000165581703186,0.24671313166618347,0.27635160088539124,0.9999999403953552,0.16982188820838928,0.19532427191734314,0.14604967832565308,0.12887074053287506
white,0.1410645991563797,0.18724416196346283,0.17937533557415009,0.15708211064338684,0.17847545444965363,0.12801098823547363,0.16982188820838928,1.0,0.24106302857398987,0.2878720462322235,0.124679796397686
blood,0.15800324082374573,0.41006290912628174,0.21018937230110168,0.156202033162117,0.17462210357189178,0.2159799486398697,0.19532427191734314,0.24106302857398987,1.0,0.4241664409637451,0.156274676322937
cells,0.1758001297712326,0.6944684386253357,0.2908284366130829,0.25393199920654297,0.18419811129570007,0.2809174358844757,0.14604967832565308,0.2878720462322235,0.4241664409637451,1.0,0.1898086667060852
;,0.10986888408660889,-0.033842284232378006,0.15315808355808258,0.03771171718835831,0.0293948445469141,0.03346971049904823,0.1024872213602066,0.06796436011791229,-0.04677518829703331,0.02023681066930294,0.10349778085947037
chemokines,0.3139217495918274,0.7158467769622803,0.35403233766555786,0.2925374209880829,0.30005061626434326,0.32138168811798096,0.21599702537059784,0.2291487604379654,0.4458971619606018,0.5179926753044128,0.26568546891212463
that,0.6297725439071655,0.31150537729263306,0.45265161991119385,0.3398503065109253,0.4137635827064514,0.3133529722690582,0.299440860748291,0.2370445281267166,0.2747363746166229,0.2709589898586273,0.32716336846351624
promote,0.23983411490917206,0.22211061418056488,0.21925854682922363,0.2909996211528778,0.31158262491226196,0.301338255405426,0.14676974713802338,0.11705102771520615,0.08620086312294006,0.19983509182929993,0.23677967488765717
chemotaxis,0.3181557059288025,0.5172423124313354,0.3221941590309143,0.23944857716560364,0.34497788548469543,0.34732091426849365,0.22352568805217743,0.23759837448596954,0.38544225692749023,0.4889155924320221,0.28672122955322266
;,0.10986888408660889,-0.033842284232378006,0.15315808355808258,0.03771171718835831,0.0293948445469141,0.03346971049904823,0.1024872213602066,0.06796436011791229,-0.04677518829703331,0.02023681066930294,0.10349778085947037
and,0.31309178471565247,0.2512097656726837,0.48576638102531433,0.29945531487464905,0.5064792633056641,0.31177079677581787,0.40645647048950195,0.2696375846862793,0.2636592388153076,0.24033623933792114,0.20544172823429108
interferons,0.23493219912052155,0.4980069398880005,0.34043261408805847,0.2823948562145233,0.22859583795070648,0.3614969253540039,0.28918585181236267,0.19357655942440033,0.26786908507347107,0.385160356760025,0.10243367403745651
that,0.6297725439071655,0.31150537729263306,0.45265161991119385,0.3398503065109253,0.4137635827064514,0.3133529722690582,0.299440860748291,0.2370445281267166,0.2747363746166229,0.2709589898586273,0.32716336846351624
have,0.39808809757232666,0.27713605761528015,0.6577680706977844,0.22827203571796417,0.41175219416618347,0.2801489233970642,0.3203330636024475,0.21639792621135712,0.22628743946552277,0.294906347990036,0.32991164922714233
anti-viral,0.18674710392951965,0.5667652487754822,0.24784009158611298,0.2767255902290344,0.23260103166103363,0.2319236397743225,0.12506651878356934,0.12742875516414642,0.3498435318470001,0.43595483899116516,0.16968686878681183
effects,0.22572848200798035,0.3973258137702942,0.27667149901390076,0.27051082253456116,0.28118398785591125,0.23150673508644104,0.14152158796787262,0.10481924563646317,0.15209592878818512,0.2317633479833603,0.16749060153961182
",",0.3087472915649414,0.19288359582424164,0.4062570035457611,0.2192283272743225,0.4464869201183319,0.25464728474617004,0.27714940905570984,0.27337658405303955,0.21615765988826752,0.20582014322280884,0.31091248989105225
such,0.23989605903625488,0.27597951889038086,0.4654397666454315,0.2124599665403366,0.36098620295524597,0.2821505665779114,0.17754530906677246,0.12009726464748383,0.2023639976978302,0.19361209869384766,0.17851735651493073
as,0.31749409437179565,0.217203289270401,0.3826591968536377,0.25070908665657043,0.44774648547172546,0.23491299152374268,0.22009976208209991,0.22857752442359924,0.18639904260635376,0.2328435331583023,0.27043893933296204
shutting,0.3658701479434967,0.3166036605834961,0.2512791156768799,0.23534710705280304,0.30126598477363586,0.30763623118400574,0.1711001843214035,0.200773224234581,0.20771870017051697,0.24654512107372284,0.2226816862821579
down,0.26226112246513367,0.1778552085161209,0.20758381485939026,0.15517789125442505,0.22538931667804718,0.11413620412349701,0.17107777297496796,0.1722559928894043,0.19068965315818787,0.17235685884952545,0.13836295902729034
protein,0.20633074641227722,0.5846453309059143,0.279949426651001,0.25872936844825745,0.23279118537902832,0.20983752608299255,0.16604317724704742,0.22534456849098206,0.3571329116821289,0.5497204661369324,0.169142946600914
synthesis,0.2376978099346161,0.45204958319664,0.18494781851768494,0.1468404084444046,0.22060653567314148,0.20868127048015594,0.09109429270029068,0.04585929214954376,0.17002075910568237,0.3238125145435333,0.20288079977035522
in,0.30808621644973755,0.2473907619714737,0.3841303884983063,0.24309778213500977,0.4322226941585541,0.18435372412204742,0.41100412607192993,0.1821274310350418,0.12106697261333466,0.1711641103029251,0.20430970191955566
the,0.42745697498321533,0.2860266864299774,0.40399202704429626,0.3305104374885559,0.4739971458911896,0.2984345257282257,0.39067012071609497,0.25492873787879944,0.2815113961696625,0.19095487892627716,0.22068053483963013
host,0.12779991328716278,0.29259976744651794,0.17550541460514069,0.20822305977344513,0.2458597868680954,0.24570396542549133,0.15239253640174866,0.15502271056175232,0.19095855951309204,0.2798769474029541,0.1021634042263031
cell,0.19222842156887054,0.5710588693618774,0.19039002060890198,0.178481787443161,0.1766597181558609,0.2373727411031723,0.1286385953426361,0.19623517990112305,0.3146288990974426,0.7729857563972473,0.2058541625738144
.,0.3567904531955719,0.21912617981433868,0.3452940285205841,0.2309054434299469,0.4726039469242096,0.24448274075984955,0.30295518040657043,0.2806001901626587,0.21786832809448242,0.2868211269378662,0.4130953550338745
