,who,had,a,12-yard,rush,on,this,drive,?
a,0.36608949303627014,0.34897568821907043,1.0,0.24791721999645233,0.23367373645305634,0.3848365545272827,0.5422310829162598,0.24929353594779968,0.23916715383529663
16-yard,0.30357441306114197,0.23845495283603668,0.32420042157173157,0.9292411208152771,0.24602027237415314,0.24204136431217194,0.28027454018592834,0.27579131722450256,0.12999987602233887
reception,0.1436082124710083,0.22611229121685028,0.23858176171779633,0.2936488091945648,0.2701014280319214,0.23968230187892914,0.3329823613166809,0.24015843868255615,0.17967697978019714
by,0.39727845788002014,0.37294110655784607,0.32094135880470276,0.2587191164493561,0.14509932696819305,0.33887791633605957,0.38438332080841064,0.12660659849643707,0.17966607213020325
devin,0.30263060331344604,0.20516452193260193,0.25191959738731384,0.2730073928833008,0.18603599071502686,0.18232600390911102,0.10426023602485657,0.2637844383716583,0.16963998973369598
funchess,0.2051171064376831,0.21342651546001434,0.3001127243041992,0.18774300813674927,0.14380072057247162,0.2326052188873291,0.2579522430896759,0.16727431118488312,0.20353761315345764
and,0.41279885172843933,0.3872550129890442,0.3739250600337982,0.258515328168869,0.2590593099594116,0.4077630043029785,0.42353692650794983,0.19344621896743774,0.20544172823429108
a,0.36608949303627014,0.34897568821907043,1.0,0.24791721999645233,0.23367373645305634,0.3848365545272827,0.5422310829162598,0.24929353594779968,0.23916715383529663
12-yard,0.26935866475105286,0.23139090836048126,0.24791721999645233,1.0,0.21052038669586182,0.2173544019460678,0.2356901466846466,0.240431010723114,0.10327286273241043
run,0.2372417002916336,0.2118133157491684,0.2607046067714691,0.21949967741966248,0.24269603192806244,0.2348233312368393,0.25478053092956543,0.2819477915763855,0.17904110252857208
by,0.39727845788002014,0.37294110655784607,0.32094135880470276,0.2587191164493561,0.14509932696819305,0.33887791633605957,0.38438332080841064,0.12660659849643707,0.17966607213020325
stewart,0.27337461709976196,0.2736739218235016,0.1547141820192337,0.3523397147655487,0.16455642879009247,0.20678496360778809,0.1576966792345047,0.21277709305286407,0.11473192274570465
then,0.29952746629714966,0.3312450647354126,0.3970017731189728,0.19542467594146729,0.2479100227355957,0.30262795090675354,0.3881414830684662,0.194991797208786,0.2884598970413208
set,0.19352185726165771,0.2224624902009964,0.2540091574192047,0.220763698220253,0.16316324472427368,0.23748746514320374,0.2594413459300995,0.1735120564699173,0.1698019951581955
up,0.26056501269340515,0.28205862641334534,0.32523053884506226,0.20518918335437775,0.2482571303844452,0.34194523096084595,0.37110671401023865,0.17436625063419342,0.1819818764925003
gano,0.1414909064769745,0.12096472829580307,0.21979376673698425,0.13624942302703857,0.040085677057504654,0.13263817131519318,0.1670469492673874,0.19872908294200897,0.12128016352653503
's,0.05599616840481758,-0.004401352722197771,0.04866964742541313,0.026286372914910316,-0.07185095548629761,0.0026888418942689896,0.02106832154095173,0.051911450922489166,-0.023395681753754616
39-yard,0.26629775762557983,0.2275531142950058,0.28543829917907715,0.951707661151886,0.25520288944244385,0.2358408421278,0.27816566824913025,0.301363080739975,0.1945265233516693
field,0.18098586797714233,0.14218349754810333,0.2030690312385559,0.2330370992422104,0.09962686151266098,0.192391499876976,0.23614506423473358,0.10428697615861893,0.11279727518558502
goal,0.24070286750793457,0.17518562078475952,0.20853768289089203,0.2229161262512207,0.13496637344360352,0.2157920002937317,0.2654769718647003,0.27302247285842896,0.1964566856622696
",",0.3365725874900818,0.35487717390060425,0.427140474319458,0.21126626431941986,0.27547889947891235,0.49057599902153015,0.4316047728061676,0.17920437455177307,0.31091248989105225
cutting,0.15921923518180847,0.19914786517620087,0.23154695332050323,0.23163066804409027,0.18534013628959656,0.27064773440361023,0.2812359929084778,0.18638743460178375,0.07885761559009552
the,0.3733934462070465,0.3875846862792969,0.5829201340675354,0.2714778780937195,0.2648257911205292,0.5107308030128479,0.6274310946464539,0.2083187699317932,0.22068053483963013
panthers,0.2132880985736847,0.1570805162191391,0.2255268394947052,0.19921287894248962,0.18690039217472076,0.17721405625343323,0.18392351269721985,0.1978069394826889,0.16608978807926178
deficit,0.246929332613945,0.2441452592611313,0.22604411840438843,0.10718239843845367,0.2267911285161972,0.18830692768096924,0.3167400062084198,0.24933089315891266,0.2131306529045105
to,0.42656609416007996,0.37984350323677063,0.45503583550453186,0.2022000402212143,0.2161642611026764,0.41031414270401,0.5759071707725525,0.291306734085083,0.29463258385658264
one,0.40083858370780945,0.3595404326915741,0.4910551905632019,0.22145496308803558,0.16217942535877228,0.3601475656032562,0.4978463351726532,0.21425491571426392,0.2673267424106598
score,0.1809227615594864,0.12216859310865402,0.19997252523899078,0.22528617084026337,0.19255302846431732,0.1815592646598816,0.16921186447143555,0.24250289797782898,0.199510395526886
at,0.22096660733222961,0.3288320302963257,0.3095070421695709,0.2570013105869293,0.1569189578294754,0.4806317389011383,0.32544323801994324,0.1466808021068573,0.21978627145290375
16–10,0.1518099159002304,0.09288656711578369,-0.0399751253426075,0.012368252500891685,0.015727799385786057,0.022324657067656517,-0.10440269112586975,-0.1133575588464737,0.00041399712790735066
.,0.3541337847709656,0.37348684668540955,0.50484299659729,0.20808999240398407,0.264044851064682,0.49257001280784607,0.500583827495575,0.21262511610984802,0.4130953550338745
