,what,type,of,destination,is,the,area,around,grey,'s,monument,?
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.21959657967090607,0.25895947217941284,0.44152235984802246,0.21664315462112427,0.3442040681838989,0.2412824034690857,0.04445967823266983,0.1300002783536911,0.24682199954986572
shopping,0.128513902425766,0.08088680356740952,0.22668150067329407,0.36210063099861145,0.2358693778514862,0.2492470145225525,0.3571910262107849,0.3129299283027649,0.15765592455863953,0.012786374427378178,0.21455121040344238,0.1303974688053131
destinations,0.15052582323551178,0.1582229733467102,0.24543997645378113,0.9396302103996277,0.2483750432729721,0.3131893277168274,0.3477145731449127,0.3030739426612854,0.11325439810752869,0.02312648482620716,0.24891358613967896,0.12842917442321777
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2689290940761566,0.5394441485404968,0.6662389636039734,0.33632898330688477,0.41294145584106445,0.2611379623413086,-0.037580832839012146,0.24587227404117584,0.20430970191955566
newcastle,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.1958422064781189,0.1841045320034027,0.2253497689962387,0.18503880500793457,0.19274786114692688,0.197810560464859,-0.017262522131204605,0.10455471277236938,0.0902252271771431
include,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.20595020055770874,0.28863582015037537,0.2951717972755432,0.18827053904533386,0.25361505150794983,0.14107294380664825,-0.07849370688199997,0.15012304484844208,0.14925788342952728
grainger,0.19038473069667816,0.12170808762311935,0.19878338277339935,0.059855710715055466,0.1666562706232071,0.19754326343536377,0.06910525262355804,0.14336945116519928,0.3110596239566803,0.05577683821320534,0.1407286375761032,0.14470532536506653
street,0.14271703362464905,0.09114528447389603,0.18984536826610565,0.16148851811885834,0.1302390694618225,0.20947860181331635,0.2058890163898468,0.16890227794647217,0.11912738531827927,0.06000900641083717,0.2699645161628723,0.07315441966056824
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2021334022283554,0.3859752118587494,0.5171257257461548,0.3044000566005707,0.34341543912887573,0.2760346531867981,0.06895173341035843,0.18470770120620728,0.20544172823429108
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3243162930011749,0.5823672413825989,1.0,0.37834644317626953,0.40085816383361816,0.3208131790161133,-0.01540423184633255,0.23366175591945648,0.22068053483963013
area,0.21965408325195312,0.11782461404800415,0.3409860134124756,0.3615351617336273,0.29283958673477173,0.37834644317626953,1.0,0.3866288661956787,0.12186817079782486,-0.002423585159704089,0.23604701459407806,0.12640461325645447
around,0.27475327253341675,0.18621544539928436,0.3296394646167755,0.2776278257369995,0.286477267742157,0.40085816383361816,0.3866288661956787,1.0,0.19112545251846313,-0.039796680212020874,0.18706199526786804,0.14729668200016022
grey,0.13404807448387146,0.15068607032299042,0.24977219104766846,0.08209898322820663,0.22512753307819366,0.3208131790161133,0.12186817079782486,0.19112545251846313,1.0000001192092896,0.00626614922657609,0.11343783140182495,0.1291438490152359
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,-0.007044254336506128,0.02396530658006668,-0.01540423184633255,-0.002423585159704089,-0.039796680212020874,0.00626614922657609,0.9999999403953552,-0.008981022983789444,-0.023395681753754616
monument,0.16629868745803833,0.1282833218574524,0.23529943823814392,0.25629040598869324,0.2182770073413849,0.23366175591945648,0.23604701459407806,0.18706199526786804,0.11343783140182495,-0.008981022983789444,0.9999999403953552,0.1146806851029396
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.22128739953041077,0.4691906273365021,0.4933079481124878,0.2664283812046051,0.3298884332180023,0.26616328954696655,-0.0016132977325469255,0.20374365150928497,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3243162930011749,0.5823672413825989,1.0,0.37834644317626953,0.40085816383361816,0.3208131790161133,-0.01540423184633255,0.23366175591945648,0.22068053483963013
relatively,0.24081343412399292,0.19551675021648407,0.2916591167449951,0.2219637930393219,0.33787083625793457,0.33481109142303467,0.2657290995121002,0.27392515540122986,0.2132158875465393,0.04332387074828148,0.08915437012910843,0.1281091868877411
modern,0.2655639946460724,0.19044294953346252,0.3482828736305237,0.1295977681875229,0.24170172214508057,0.3283970355987549,0.1968824565410614,0.19189168512821198,0.06822659820318222,0.03816800191998482,0.14574451744556427,0.12475407868623734
eldon,0.17536026239395142,0.06583423167467117,0.1765909343957901,0.10590378195047379,0.18042348325252533,0.21200692653656006,0.12682810425758362,0.08804064244031906,0.17330996692180634,0.03882766515016556,0.19876308739185333,0.18489088118076324
garden,0.20641201734542847,0.05053752660751343,0.23306405544281006,0.16956272721290588,0.21094022691249847,0.23359008133411407,0.25230154395103455,0.19349049031734467,0.13582341372966766,0.005806881468743086,0.24439434707164764,0.16720405220985413
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2021334022283554,0.3859752118587494,0.5171257257461548,0.3044000566005707,0.34341543912887573,0.2760346531867981,0.06895173341035843,0.18470770120620728,0.20544172823429108
