,when,was,operation,market,garden,?
the,0.5091903209686279,0.48711544275283813,0.2985492944717407,0.2041238248348236,0.23359008133411407,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.18561981618404388,0.2060876041650772,0.1560509204864502,0.13754533231258392
bridge,0.14630869030952454,0.23293238878250122,0.10905613005161285,0.1742459535598755,0.19532373547554016,0.1396101862192154
at,0.38876327872276306,0.36707764863967896,0.16873885691165924,0.23849736154079437,0.23102568089962006,0.21978627145290375
arnhem,0.13074664771556854,0.22958490252494812,0.21758873760700226,0.1570739597082138,0.2389189451932907,0.08843215554952621
",",0.36674630641937256,0.45456063747406006,0.24555085599422455,0.2499394416809082,0.2712799608707428,0.31091248989105225
immortalized,0.29881274700164795,0.2748701870441437,0.12013735622167587,0.1044241189956665,0.13019785284996033,0.18472376465797424
in,0.4431333839893341,0.45514053106307983,0.26394933462142944,0.27003997564315796,0.22543586790561676,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.2985492944717407,0.2041238248348236,0.23359008133411407,0.22068053483963013
book,0.22583149373531342,0.24848085641860962,0.06466520577669144,0.06693007797002792,0.20515121519565582,0.20572158694267273
",",0.36674630641937256,0.45456063747406006,0.24555085599422455,0.2499394416809082,0.2712799608707428,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.22423553466796875,0.2680419683456421,0.2035326063632965,0.23916715383529663
bridge,0.14630869030952454,0.23293238878250122,0.10905613005161285,0.1742459535598755,0.19532373547554016,0.1396101862192154
too,0.4218566417694092,0.21435821056365967,0.08312886953353882,0.12763601541519165,0.10223186016082764,0.33757779002189636
far,0.227741077542305,0.24026422202587128,0.13314902782440186,0.16749252378940582,0.18988081812858582,0.2170870453119278
and,0.4716290831565857,0.3740963041782379,0.23037932813167572,0.23057621717453003,0.2236175239086151,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,0.2985492944717407,0.2041238248348236,0.23359008133411407,0.22068053483963013
film,0.1969265341758728,0.25235438346862793,0.07294994592666626,0.14331626892089844,0.15718258917331696,0.16369038820266724
",",0.36674630641937256,0.45456063747406006,0.24555085599422455,0.2499394416809082,0.2712799608707428,0.31091248989105225
was,0.37326499819755554,1.0000001192092896,0.21184805035591125,0.2252027839422226,0.2112511396408081,0.18412111699581146
a,0.44397395849227905,0.4508470594882965,0.22423553466796875,0.2680419683456421,0.2035326063632965,0.23916715383529663
central,0.16662165522575378,0.21519865095615387,0.17046643793582916,0.12940466403961182,0.24764256179332733,0.14787602424621582
focus,0.13758622109889984,0.18024994432926178,0.17647609114646912,0.2388574182987213,0.13873513042926788,0.23925252258777618
of,0.3757161796092987,0.4069072902202606,0.259731262922287,0.1694333702325821,0.23306405544281006,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.2985492944717407,0.2041238248348236,0.23359008133411407,0.22068053483963013
battle,0.15145152807235718,0.23319749534130096,0.26028817892074585,0.16602292656898499,0.12185204029083252,0.1680624783039093
for,0.43402108550071716,0.3863949179649353,0.23706424236297607,0.20589932799339294,0.19887973368167877,0.264628142118454
arnhem,0.13074664771556854,0.22958490252494812,0.21758873760700226,0.1570739597082138,0.2389189451932907,0.08843215554952621
",",0.36674630641937256,0.45456063747406006,0.24555085599422455,0.2499394416809082,0.2712799608707428,0.31091248989105225
during,0.46721696853637695,0.4470829963684082,0.29719287157058716,0.16474197804927826,0.18560467660427094,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,0.2985492944717407,0.2041238248348236,0.23359008133411407,0.22068053483963013
failed,0.277310311794281,0.32486093044281006,0.23851685225963593,0.18751107156276703,0.04585625231266022,0.16487033665180206
operation,0.22467392683029175,0.21184805035591125,1.0,0.2423725724220276,0.20308613777160645,0.12387953698635101
market,0.16571037471294403,0.2252027839422226,0.2423725724220276,1.0000001192092896,0.26570945978164673,0.12805593013763428
garden,0.15807344019412994,0.2112511396408081,0.20308613777160645,0.26570945978164673,1.0,0.16720405220985413
of,0.3757161796092987,0.4069072902202606,0.259731262922287,0.1694333702325821,0.23306405544281006,0.1826142966747284
september,0.2483685463666916,0.4425655007362366,0.2282562553882599,0.17765890061855316,0.15132150053977966,0.2665146589279175
1944,0.09802473336458206,0.06458820402622223,0.015464194118976593,0.061248380690813065,0.06922020763158798,0.21799609065055847
.,0.475719153881073,0.40146201848983765,0.21765126287937164,0.19660170376300812,0.231033593416214,0.4130953550338745
